dataset,dataset_label,player,player_key,signal,target,horizon,n,pearson_r,spearman_r,slope_pp_per_unit,hac_t,hac_p,bucket_n,bucket_top_n,bucket_bottom_n,bucket_top_avg,bucket_bottom_avg,bucket_top_minus_bottom,bucket_top_hit,bucket_bottom_hit,bucket_top_avg_drawdown,bucket_bottom_avg_drawdown,abs_spearman,top_minus_bottom_abs,evidence,evidence_rank
tff,TFF Detailed,Other Reportables,other_reportable,flow4_z,NASDAQ-100,13w,461,-0.16669191748491077,-0.16242511614576127,-0.8506553133629129,-3.3342987479497586,0.0008551475758255176,461,139,139,3.2783194439298584,6.398657820975835,-3.1203383770459765,65.46762589928058,79.13669064748201,-7.956171970841653,-5.031765526243621,0.16242511614576127,3.1203383770459765,supported,0
tff,TFF Detailed,Other Reportables,other_reportable,flow4_z,S&P 500,13w,461,-0.15586843566606445,-0.14415670154611968,-0.5954471084933691,-3.2112474022777056,0.0013216010129723911,461,139,139,1.9831066022240542,4.418822823258807,-2.4357162210347534,65.46762589928058,82.01438848920863,-7.0874891372719215,-4.100020218908592,0.14415670154611968,2.4357162210347534,supported,0
tff,TFF Detailed,Other Reportables,other_reportable,trend13_z,NASDAQ-100,4w,461,-0.19747848578022664,-0.19219995321098787,-0.5857795091304022,-3.123892134597277,0.0017847587123880355,461,139,139,0.021944694628155827,2.5773524598714337,-2.555407765243278,51.07913669064749,77.6978417266187,-4.976463148677128,-2.065299235815661,0.19219995321098787,2.555407765243278,supported,0
legacy,Legacy,Commercial,commercial,net_z,NASDAQ-100,26w,452,0.28198013204657074,0.3179850126302513,1.8894575074392945,2.0483593389896453,0.04052480260698752,452,136,136,14.22686711673857,3.071415796631855,11.155451320106714,88.23529411764706,61.029411764705884,-5.232042656662393,-13.62860291904418,0.3179850126302513,11.155451320106714,supported,0
legacy,Legacy,Noncommercial,noncommercial,net_z,NASDAQ-100,13w,465,-0.24042214768572917,-0.2057981686852822,-1.322574162577076,-2.046996841101286,0.040658394702070944,465,140,140,2.1912697469450437,6.782177396723122,-4.590907649778078,61.42857142857143,79.28571428571428,-7.642261609485494,-4.631118808871798,0.2057981686852822,4.590907649778078,supported,0
legacy,Legacy,Noncommercial,noncommercial,net_z,NASDAQ-100,26w,452,-0.3136244516255656,-0.32743245879071076,-2.317784320257851,-2.027760099595419,0.04258473846719913,452,136,136,2.2398935132165816,13.537895799085822,-11.298002285869241,55.14705882352941,89.70588235294117,-12.541380223380887,-5.03173943299396,0.32743245879071076,11.298002285869241,supported,0
tff,TFF Detailed,Other Reportables,other_reportable,trend13_z,S&P 500,4w,461,-0.168290848446991,-0.1656455965047873,-0.39750436345054874,-2.63593476628006,0.00839058603579691,461,139,139,-0.2439914353566991,1.7050298968247504,-1.9490213321814496,53.956834532374096,80.57553956834532,-4.194317339657243,-1.6839994644955896,0.1656455965047873,1.9490213321814496,tentative,1
tff,TFF Detailed,Non-reportable,non_reportable,trend13_z,NASDAQ-100,4w,461,-0.18291137813834263,-0.15109507110827494,-0.491764409877814,-2.373214239843757,0.017634032269669628,461,139,139,1.6422323371295109,2.8814078613550507,-1.2391755242255398,67.62589928057554,75.53956834532374,-2.8183830822154525,-3.1541789682653203,0.15109507110827494,1.2391755242255398,tentative,1
legacy,Legacy,Nonreportable,nonreportable,trend13_z,NASDAQ-100,4w,461,-0.18291137813834263,-0.15109507110827494,-0.491764409877814,-2.373214239843757,0.017634032269669628,461,139,139,1.6422323371295109,2.8814078613550507,-1.2391755242255398,67.62589928057554,75.53956834532374,-2.8183830822154525,-3.1541789682653203,0.15109507110827494,1.2391755242255398,tentative,1
legacy,Legacy,Commercial,commercial,net_z,NASDAQ-100,4w,474,0.15905082754285738,0.1293502147264755,0.4556871322627324,2.1818642660551597,0.029119551810293527,474,142,142,1.974830261168351,0.4051015180465561,1.569728743121795,69.01408450704226,56.33802816901409,-3.065161914571277,-4.169028356508069,0.1293502147264755,1.569728743121795,tentative,1
legacy,Legacy,Noncommercial,noncommercial,net_z,NASDAQ-100,4w,474,-0.14686160649637886,-0.11306801807956078,-0.4561327864922468,-2.151078452970863,0.031470007900667805,474,142,142,0.6895728268720972,2.202007823063538,-1.5124349961914407,61.267605633802816,71.12676056338029,-3.8597435668598266,-2.793380496732978,0.11306801807956078,1.5124349961914407,tentative,1
tff,TFF Detailed,Other Reportables,other_reportable,flow1_z,NASDAQ-100,13w,464,-0.07859318026695465,-0.06516539855899403,-0.40576249449982205,-2.0128524824948566,0.04413015075039777,464,139,139,5.106190691337774,6.2159064597098705,-1.1097157683720962,71.94244604316546,78.41726618705036,-6.749738545531359,-5.228468528730609,0.06516539855899403,1.1097157683720962,tentative,1
legacy,Legacy,Commercial,commercial,net_z,NASDAQ-100,13w,465,0.24114440239948196,0.24828254569932262,1.2073471135715625,1.9452692344571865,0.051742582894527316,465,140,140,7.006338431621876,0.7666415616385144,6.239696869983362,81.42857142857143,54.285714285714285,-4.84843922484277,-8.95924065605112,0.24828254569932262,6.239696869983362,tentative,1
tff,TFF Detailed,Non-reportable,non_reportable,trend13_z,NASDAQ-100,13w,452,-0.2297015295193022,-0.1644066406832226,-1.0856761595679665,-1.929575010688842,0.05365951759088019,452,136,136,4.414528216674821,6.9225518719824795,-2.5080236553076585,75.0,72.05882352941177,-5.132454330793356,-5.782883515618284,0.1644066406832226,2.5080236553076585,tentative,1
legacy,Legacy,Nonreportable,nonreportable,trend13_z,NASDAQ-100,13w,452,-0.2297015295193022,-0.1644066406832226,-1.0856761595679665,-1.929575010688842,0.05365951759088019,452,136,136,4.414528216674821,6.9225518719824795,-2.5080236553076585,75.0,72.05882352941177,-5.132454330793356,-5.782883515618284,0.1644066406832226,2.5080236553076585,tentative,1
tff,TFF Detailed,Non-reportable,non_reportable,flow4_z,NASDAQ-100,13w,461,-0.16610439910350516,-0.08345677711894822,-0.8416259476712673,-1.9125976452244704,0.05579958137285567,461,139,139,4.1786604790606185,6.514651879861264,-2.335991400800645,73.38129496402878,73.38129496402878,-5.439453173184568,-6.372830368818416,0.08345677711894822,2.335991400800645,tentative,1
legacy,Legacy,Nonreportable,nonreportable,flow4_z,NASDAQ-100,13w,461,-0.16610439910350516,-0.08345677711894822,-0.8416259476712673,-1.9125976452244704,0.05579958137285567,461,139,139,4.1786604790606185,6.514651879861264,-2.335991400800645,73.38129496402878,73.38129496402878,-5.439453173184568,-6.372830368818416,0.08345677711894822,2.335991400800645,tentative,1
tff,TFF Detailed,Leveraged Funds,lev_money,flow4_z,S&P 500,26w,448,0.09489955066359261,0.0870094297117062,0.4773049164375658,1.9024725476236082,0.05710940448486446,448,135,135,8.01134403114258,6.879988199826829,1.1313558313157506,80.74074074074075,81.48148148148148,-7.387682144643695,-6.217862982948204,0.0870094297117062,1.1313558313157506,tentative,1
legacy,Legacy,Noncommercial,noncommercial,net_z,S&P 500,13w,465,-0.1811186533833177,-0.15751705519246473,-0.7457574197059754,-1.84365257031859,0.06523378937073888,465,140,140,1.8220976805205316,4.193133396270655,-2.371035715750123,62.857142857142854,80.0,-5.952594309327075,-3.7395518916099038,0.15751705519246473,2.371035715750123,tentative,1
legacy,Legacy,Noncommercial,noncommercial,net_z,S&P 500,26w,452,-0.26410307818688605,-0.3041595038498908,-1.4112495733668535,-1.7678719277441646,0.07708231679336817,452,136,136,1.866238025126554,8.868364624399772,-7.002126599273218,52.20588235294118,92.64705882352942,-10.217740307816744,-4.020475060577915,0.3041595038498908,7.002126599273218,tentative,1
legacy,Legacy,Commercial,commercial,net_z,S&P 500,13w,465,0.1828719439010074,0.1910810533401443,0.6853160213687546,1.7667521891411178,0.07726973890401873,465,140,140,4.347117846718337,0.7638363662114397,3.5832814805068973,80.0,55.714285714285715,-3.9147663539323965,-7.003026658969928,0.1910810533401443,3.5832814805068973,tentative,1
tff,TFF Detailed,Non-reportable,non_reportable,trend13_z,S&P 500,13w,452,-0.2011607564277322,-0.15172363068752776,-0.7118052249401177,-1.7408067552861308,0.08171745746615507,452,136,136,3.377212321310596,4.74300139152009,-1.3657890702094937,75.73529411764706,74.26470588235294,-4.0033543571313785,-4.549125050964865,0.15172363068752776,1.3657890702094937,tentative,1
legacy,Legacy,Nonreportable,nonreportable,trend13_z,S&P 500,13w,452,-0.2011607564277322,-0.15172363068752776,-0.7118052249401177,-1.7408067552861308,0.08171745746615507,452,136,136,3.377212321310596,4.74300139152009,-1.3657890702094937,75.73529411764706,74.26470588235294,-4.0033543571313785,-4.549125050964865,0.15172363068752776,1.3657890702094937,tentative,1
