category,extreme,date,contract,open_interest,asset_mgr_long,asset_mgr_short,asset_mgr_net,asset_mgr_net_oi_pct,asset_mgr_short_oi_pct,dealer_long,dealer_short,dealer_net,dealer_net_oi_pct,dealer_short_oi_pct,lev_money_long,lev_money_short,lev_money_net,lev_money_net_oi_pct,lev_money_short_oi_pct,other_reportable_long,other_reportable_short,other_reportable_net,other_reportable_net_oi_pct,other_reportable_short_oi_pct,non_reportable_long,non_reportable_short,non_reportable_net,non_reportable_net_oi_pct,non_reportable_short_oi_pct,price,next_week_monday_target,next_week_monday_date,next_week_monday_price,next_week_monday_return,next_week_tuesday_target,next_week_tuesday_date,next_week_tuesday_price,next_week_tuesday_return,next_week_wednesday_target,next_week_wednesday_date,next_week_wednesday_price,next_week_wednesday_return,next_week_thursday_target,next_week_thursday_date,next_week_thursday_price,next_week_thursday_return,next_week_friday_target,next_week_friday_date,next_week_friday_price,next_week_friday_return,next_week_monday_daily_return,next_week_tuesday_daily_return,next_week_wednesday_daily_return,next_week_thursday_daily_return,next_week_friday_daily_return,price_return_1w,asset_mgr_net_oi_pct_change,asset_mgr_net_change,dealer_net_oi_pct_change,dealer_net_change,lev_money_net_oi_pct_change,lev_money_net_change,non_reportable_net_oi_pct_change,non_reportable_net_change,other_reportable_net_oi_pct_change,other_reportable_net_change,forward_return_1w,forward_return_2w,forward_return_3w,forward_return_4w,forward_return_13w,forward_return_26w,forward_return_52w,contract_multiplier,contract_unit,contract_notional_usd,asset_mgr_long_notional_usd,asset_mgr_short_notional_usd,asset_mgr_net_notional_usd,asset_mgr_net_flow_1w_notional_usd,asset_mgr_net_flow_4w_notional_usd,dealer_long_notional_usd,dealer_short_notional_usd,dealer_net_notional_usd,dealer_net_flow_1w_notional_usd,dealer_net_flow_4w_notional_usd,lev_money_long_notional_usd,lev_money_short_notional_usd,lev_money_net_notional_usd,lev_money_net_flow_1w_notional_usd,lev_money_net_flow_4w_notional_usd,non_reportable_long_notional_usd,non_reportable_short_notional_usd,non_reportable_net_notional_usd,non_reportable_net_flow_1w_notional_usd,non_reportable_net_flow_4w_notional_usd,other_reportable_long_notional_usd,other_reportable_short_notional_usd,other_reportable_net_notional_usd,other_reportable_net_flow_1w_notional_usd,other_reportable_net_flow_4w_notional_usd
asset_mgr,highest_net_oi_pct,2019-07-16,DJIA Consolidated - CHICAGO BOARD OF TRADE,48891,20307,1191,19116,39.09922071546911,2.4360311713812357,5335,28322,-22987,-47.01683336401383,57.928862162770244,10908,5167,5741,11.742447485222229,10.56840727332229,1543,1786,-243,-0.49702399214579374,3.6530240739604425,7997,9623,-1626,-3.3257654783088912,19.682559162217995,27335.630859375,2019-07-22,2019-07-22,27171.900390625,-0.005989635636810209,2019-07-23,2019-07-23,27349.189453125,0.0004960044207411585,2019-07-24,2019-07-24,27269.970703125,-0.002401998936398475,2019-07-25,2019-07-25,27140.98046875,-0.007120757213409767,2019-07-26,2019-07-26,27192.44921875,-0.005237912428711855,-0.005989635636810209,0.006524720757520752,-0.0028965666472776652,-0.0047301200202689575,0.0018963482199643167,0.020614961686037603,0.2662276771674712,3330.0,0.8122483313934197,-3544.0,2.689779654172561,2061.0,-3.2937859452100744,-1613.0,-0.46996438721602574,-232.0,0.0004960044207411585,-0.005034137636439673,-0.047780544551693005,-0.03862068186960943,-0.011370876338066993,0.058679423597421065,-0.025353028038396785,5.0,DJIA x $5,136678.154296875,2775523279.3066406,162783681.76757812,2612739597.5390625,455138253.80859375,1450291895.2441406,729177953.1738281,3870998685.9960938,-3141820732.8222656,-484387378.828125,-2018462982.65625,1490885307.0703125,706216023.2519531,784669283.8183594,281693676.0058594,634186635.9375,1093015199.9121094,1315253878.7988281,-222238678.88671875,-220461862.88085938,46333894.306640625,210894392.08007812,244107183.57421875,-33212791.494140625,-31709331.796875,-112076086.5234375
asset_mgr,lowest_net_oi_pct,2022-05-24,DJIA Consolidated - CHICAGO BOARD OF TRADE,41510,3365,11101,-7736,-18.63647313900265,26.74295350517947,21056,7697,13359,32.18260660081908,18.54251987472898,9404,6395,3009,7.248855697422307,15.405926282823415,1269,8802,-7533,-18.14743435316791,21.2045290291496,5869,6968,-1099,-2.6475548060708265,16.78631655022886,31928.619140625,2022-05-30,2022-05-31,32990.12109375,0.033246096502005607,2022-05-31,2022-05-31,32990.12109375,0.033246096502005607,2022-06-01,2022-06-01,32813.23046875,0.027705906235056865,2022-06-02,2022-06-02,33248.28125,0.04133163741165058,2022-06-03,2022-06-03,32899.69921875,0.03041409570041287,0.033246096502005607,0.0,-0.005361927120464904,0.013258395319056593,-0.010484212059833964,-0.022231812023936648,-3.3892101149870886,-1622.0,3.1594389407776795,1721.0,-1.83366506369393,-633.0,0.1081248866895912,6.0,1.9553113512137443,528.0,0.033246096502005607,0.03919748232339315,-0.04897766031197648,-0.043796730903584824,0.030723868727440262,0.06794789377892685,0.03529412196505466,5.0,DJIA x $5,159643.095703125,537199017.0410156,1772198005.4003906,-1234998988.359375,-258941101.23046875,-489625374.5214844,3361445023.125,1228772907.6269531,2132672115.4980469,274745767.7050781,464242122.3046875,1501283671.9921875,1020917597.0214844,480366074.9707031,-101054079.58007812,246329296.66992188,936945328.6816406,1112393090.859375,-175447762.17773438,957858.57421875,-158046664.74609375,202587088.44726562,1405178528.3789062,-1202591439.9316406,84291554.53125,-62899379.70703125
asset_mgr,highest_short_oi_pct,2022-05-24,DJIA Consolidated - CHICAGO BOARD OF TRADE,41510,3365,11101,-7736,-18.63647313900265,26.74295350517947,21056,7697,13359,32.18260660081908,18.54251987472898,9404,6395,3009,7.248855697422307,15.405926282823415,1269,8802,-7533,-18.14743435316791,21.2045290291496,5869,6968,-1099,-2.6475548060708265,16.78631655022886,31928.619140625,2022-05-30,2022-05-31,32990.12109375,0.033246096502005607,2022-05-31,2022-05-31,32990.12109375,0.033246096502005607,2022-06-01,2022-06-01,32813.23046875,0.027705906235056865,2022-06-02,2022-06-02,33248.28125,0.04133163741165058,2022-06-03,2022-06-03,32899.69921875,0.03041409570041287,0.033246096502005607,0.0,-0.005361927120464904,0.013258395319056593,-0.010484212059833964,-0.022231812023936648,-3.3892101149870886,-1622.0,3.1594389407776795,1721.0,-1.83366506369393,-633.0,0.1081248866895912,6.0,1.9553113512137443,528.0,0.033246096502005607,0.03919748232339315,-0.04897766031197648,-0.043796730903584824,0.030723868727440262,0.06794789377892685,0.03529412196505466,5.0,DJIA x $5,159643.095703125,537199017.0410156,1772198005.4003906,-1234998988.359375,-258941101.23046875,-489625374.5214844,3361445023.125,1228772907.6269531,2132672115.4980469,274745767.7050781,464242122.3046875,1501283671.9921875,1020917597.0214844,480366074.9707031,-101054079.58007812,246329296.66992188,936945328.6816406,1112393090.859375,-175447762.17773438,957858.57421875,-158046664.74609375,202587088.44726562,1405178528.3789062,-1202591439.9316406,84291554.53125,-62899379.70703125
asset_mgr,latest,2026-09-01,DJIA Consolidated - CHICAGO BOARD OF TRADE,91196,15318,9791,5527,6.0605728321417605,10.736216500723717,44001,53166,-9165,-10.049782885214263,58.298609588139826,9979,11714,-1735,-1.9024957234966444,12.844861616737576,249,250,-1,-0.0010965393219000833,0.27413483047502085,17920,12545,5375,5.893898855212948,13.756085793236544,52766.87890625,2026-09-07,,,,2026-09-08,,,,2026-09-09,,,,2026-09-10,,,,2026-09-11,,,,,,,,,-0.015128012088819531,-0.17091472071056923,15.0,0.6846101326255187,330.0,-0.05407733653845148,-100.0,-0.45177234111508646,-238.0,-0.006749194939509237,-6.0,,,,,,,,5.0,DJIA x $5,263834.39453125,4041415255.4296875,2583202556.8554688,1458212698.5742188,3957515.91796875,-811554597.578125,11608977193.769531,14027019419.648438,-2418042225.8789062,87065350.1953125,1466127730.4101562,2632803423.0273438,3090556097.5390625,-457752674.51171875,-26383439.453125,-981727782.0507812,4727912350.0,3309802479.3945312,1418109870.6054688,-62792585.8984375,385198216.015625,65694764.23828125,65958598.6328125,-263834.39453125,-1583006.3671875,-57779732.40234375
dealer,highest_net_oi_pct,2020-05-05,DJIA Consolidated - CHICAGO BOARD OF TRADE,33234,2767,7166,-4399,-13.23644460492267,21.56225552145393,16040,1955,14085,42.38129626286333,5.882529939218872,6979,7516,-537,-1.6158151290846725,22.615393873743756,0,6368,-6368,-19.161100078233133,19.161100078233133,5435,8217,-2782,-8.370945417343684,24.724679545044232,23883.08984375,2020-05-11,2020-05-11,24221.990234375,0.014189972605813672,2020-05-12,2020-05-12,23764.779296875,-0.004953737043616235,2020-05-13,2020-05-13,23247.970703125,-0.026592838061579638,2020-05-14,2020-05-14,23625.33984375,-0.010792154687114364,2020-05-15,2020-05-15,23685.419921875,-0.008276564011114651,0.014189972605813672,-0.018875861689149787,-0.021746829090811715,0.016232347564610228,0.002543035508583147,-0.009064185930722446,-2.543428101707951,-790.0,2.2639664059702014,545.0,0.24783335540467588,92.0,0.9443341299289898,362.0,-0.9127518811426789,-209.0,-0.004953737043616235,0.013556434002810924,0.04656095750278344,0.07786097021117344,0.12332494993924681,0.15060611824756376,0.429171496372875,5.0,DJIA x $5,119415.44921875,330422547.98828125,855731109.1015625,-525308561.11328125,-94338204.8828125,-575821296.1328125,1915423805.46875,233457203.22265625,1681966602.2460938,65081419.82421875,728195409.3359375,833400420.0976562,897526516.328125,-64126096.23046875,10986221.328125,-60304801.85546875,649022966.5039062,981236746.2304688,-332213779.7265625,43228392.6171875,-10627974.98046875,0.0,760437580.625,-760437580.625,-24957828.88671875,-81441336.3671875
dealer,lowest_net_oi_pct,2017-09-26,DJIA Consolidated - CHICAGO BOARD OF TRADE,78934,14466,2766,11700,14.822509945017357,3.5041933767451288,4868,56429,-51561,-65.3216611346188,71.48883877669952,46007,5144,40863,51.76856614386702,6.51683685104011,1342,1970,-628,-0.7956013885017863,2.495755948007196,9682,10055,-373,-0.47254668457192084,12.738490384371753,22284.3203125,2017-10-02,2017-10-02,22557.599609375,0.012263299622457424,2017-10-03,2017-10-03,22641.669921875,0.016035921417560717,2017-10-04,2017-10-04,22661.640625,0.01693209876759627,2017-10-05,2017-10-05,22775.390625,0.02203658472026815,2017-10-06,2017-10-06,22773.669921875,0.021959368852749295,0.012263299622457424,0.0037269174892642365,0.0008820331359793432,0.005019495361448412,-7.555098190548115e-05,-0.003865774390270471,-1.4277661329860454,-808.0,-3.7556167802515574,-4173.0,4.757354128952308,4678.0,-0.3491235771678336,-278.0,0.7764192426450094,582.0,0.016035921417560717,0.024517659382840895,0.03200093745847776,0.05193963454545014,0.1104763614270543,0.0706052777439854,0.18882741613795861,5.0,DJIA x $5,111421.6015625,1611824888.203125,308192149.921875,1303632738.28125,-90028654.0625,143176758.0078125,542400356.40625,6287409554.5703125,-5745009198.1640625,-464962343.3203125,-605576404.4921875,5126173623.0859375,573152718.4375,4553020904.6484375,521230252.109375,479001465.1171875,1078783946.328125,1120344203.7109375,-41560257.3828125,-30975205.234375,-19387358.671875,149527789.296875,219500555.078125,-69972765.78125,64847372.109375,3008383.2421875
dealer,highest_short_oi_pct,2017-11-14,DJIA Consolidated - CHICAGO BOARD OF TRADE,79161,13220,2725,10495,13.25779108399338,3.4423516630664093,8450,58282,-49832,-62.95019011887166,73.62463839516934,39572,4233,35339,44.641932264625254,5.347330124682609,1594,828,766,0.9676482106087594,1.0459696062454997,12596,9364,3232,4.082818559644269,11.82905723778123,23409.470703125,2017-11-20,2017-11-20,23430.330078125,0.0008910656402503214,2017-11-21,2017-11-21,23590.830078125,0.007747265083434263,2017-11-22,2017-11-22,23526.1796875,0.004985545630445287,2017-11-23,2017-11-24,23557.990234375,0.006344420731826839,2017-11-24,2017-11-24,23557.990234375,0.006344420731826839,0.0008910656402503214,0.00685009555839966,-0.002740488164719057,0.0013521339757471829,0.0,-0.006272374242847101,0.8693167941097393,817.0,-2.607900593647969,-2692.0,0.5551950236785146,898.0,0.4359118380201221,383.0,0.7474769378395936,594.0,0.007747265083434263,0.01825074303444052,0.03294264666018498,0.04679004032238887,0.05258463684361181,0.05540233991501009,0.08018205772586873,5.0,DJIA x $5,117047.353515625,1547366013.4765625,318954038.3300781,1228411975.1464844,95627687.82226562,-44595041.689453125,989050137.2070312,6821753857.597656,-5832703720.390625,-315091475.6640625,-472520166.1425781,4631797873.3203125,495461447.4316406,4136336425.888672,105108523.45703125,49862172.59765625,1474328464.8828125,1096031418.3203125,378297046.5625,44829136.396484375,262069024.52148438,186573481.50390625,96915208.7109375,89658272.79296875,69526127.98828125,205066963.359375
dealer,latest,2026-09-01,DJIA Consolidated - CHICAGO BOARD OF TRADE,91196,15318,9791,5527,6.0605728321417605,10.736216500723717,44001,53166,-9165,-10.049782885214263,58.298609588139826,9979,11714,-1735,-1.9024957234966444,12.844861616737576,249,250,-1,-0.0010965393219000833,0.27413483047502085,17920,12545,5375,5.893898855212948,13.756085793236544,52766.87890625,2026-09-07,,,,2026-09-08,,,,2026-09-09,,,,2026-09-10,,,,2026-09-11,,,,,,,,,-0.015128012088819531,-0.17091472071056923,15.0,0.6846101326255187,330.0,-0.05407733653845148,-100.0,-0.45177234111508646,-238.0,-0.006749194939509237,-6.0,,,,,,,,5.0,DJIA x $5,263834.39453125,4041415255.4296875,2583202556.8554688,1458212698.5742188,3957515.91796875,-811554597.578125,11608977193.769531,14027019419.648438,-2418042225.8789062,87065350.1953125,1466127730.4101562,2632803423.0273438,3090556097.5390625,-457752674.51171875,-26383439.453125,-981727782.0507812,4727912350.0,3309802479.3945312,1418109870.6054688,-62792585.8984375,385198216.015625,65694764.23828125,65958598.6328125,-263834.39453125,-1583006.3671875,-57779732.40234375
lev_money,highest_net_oi_pct,2017-09-26,DJIA Consolidated - CHICAGO BOARD OF TRADE,78934,14466,2766,11700,14.822509945017357,3.5041933767451288,4868,56429,-51561,-65.3216611346188,71.48883877669952,46007,5144,40863,51.76856614386702,6.51683685104011,1342,1970,-628,-0.7956013885017863,2.495755948007196,9682,10055,-373,-0.47254668457192084,12.738490384371753,22284.3203125,2017-10-02,2017-10-02,22557.599609375,0.012263299622457424,2017-10-03,2017-10-03,22641.669921875,0.016035921417560717,2017-10-04,2017-10-04,22661.640625,0.01693209876759627,2017-10-05,2017-10-05,22775.390625,0.02203658472026815,2017-10-06,2017-10-06,22773.669921875,0.021959368852749295,0.012263299622457424,0.0037269174892642365,0.0008820331359793432,0.005019495361448412,-7.555098190548115e-05,-0.003865774390270471,-1.4277661329860454,-808.0,-3.7556167802515574,-4173.0,4.757354128952308,4678.0,-0.3491235771678336,-278.0,0.7764192426450094,582.0,0.016035921417560717,0.024517659382840895,0.03200093745847776,0.05193963454545014,0.1104763614270543,0.0706052777439854,0.18882741613795861,5.0,DJIA x $5,111421.6015625,1611824888.203125,308192149.921875,1303632738.28125,-90028654.0625,143176758.0078125,542400356.40625,6287409554.5703125,-5745009198.1640625,-464962343.3203125,-605576404.4921875,5126173623.0859375,573152718.4375,4553020904.6484375,521230252.109375,479001465.1171875,1078783946.328125,1120344203.7109375,-41560257.3828125,-30975205.234375,-19387358.671875,149527789.296875,219500555.078125,-69972765.78125,64847372.109375,3008383.2421875
lev_money,lowest_net_oi_pct,2025-11-25,DJIA Consolidated - CHICAGO BOARD OF TRADE,85923,19366,5989,13377,15.568590482175901,6.970194243683298,39656,30230,9426,10.970287350302014,35.18266354759494,6120,32817,-26697,-31.070842498516114,38.193498830348105,24,200,-176,-0.20483456117686766,0.23276654679189507,14499,10430,4069,4.735635394481105,12.138775415197328,47112.44921875,2025-12-01,2025-12-01,47289.328125,0.003754398448459373,2025-12-02,2025-12-02,47474.4609375,0.007683992761003067,2025-12-03,2025-12-03,47882.8984375,0.016353410436648952,2025-12-04,2025-12-04,47850.94140625,0.01567509649245946,2025-12-05,2025-12-05,47954.98828125,0.01788357592253309,0.003754398448459373,0.003914896232203535,0.008603309904618106,-0.0006673996832441409,0.002174395569705778,0.022145203794911472,3.3973949611565466,3290.0,2.743538955109196,2608.0,-5.031941007131394,-5117.0,-0.5433355983274284,-306.0,-0.5668211435408814,-476.0,0.007683992761003067,0.009505764424825758,0.021264283997387556,0.028229501109670485,0.04376870265597099,0.0710901369869148,,5.0,DJIA x $5,235562.24609375,4561898457.8515625,1410782291.8554688,3151116165.9960938,774999789.6484375,-1046603059.3945312,9341456431.09375,7121046699.4140625,2220409731.6796875,614346337.8125,1416200223.515625,1441640946.09375,7730446230.058594,-6288805283.964844,-1205372013.2617188,-1027051392.96875,3415417006.1132812,2456914226.7578125,958502779.3554688,-72082047.3046875,592910173.4179688,5653493.90625,47112449.21875,-41458955.3125,-112127629.140625,64308493.18359375
