date,contract,open_interest,asset_mgr_long,asset_mgr_short,asset_mgr_net,asset_mgr_net_oi_pct,asset_mgr_short_oi_pct,dealer_long,dealer_short,dealer_net,dealer_net_oi_pct,dealer_short_oi_pct,lev_money_long,lev_money_short,lev_money_net,lev_money_net_oi_pct,lev_money_short_oi_pct,other_reportable_long,other_reportable_short,other_reportable_net,other_reportable_net_oi_pct,other_reportable_short_oi_pct,non_reportable_long,non_reportable_short,non_reportable_net,non_reportable_net_oi_pct,non_reportable_short_oi_pct,price,next_week_monday_target,next_week_monday_date,next_week_monday_price,next_week_monday_return,next_week_tuesday_target,next_week_tuesday_date,next_week_tuesday_price,next_week_tuesday_return,next_week_wednesday_target,next_week_wednesday_date,next_week_wednesday_price,next_week_wednesday_return,next_week_thursday_target,next_week_thursday_date,next_week_thursday_price,next_week_thursday_return,next_week_friday_target,next_week_friday_date,next_week_friday_price,next_week_friday_return,next_week_monday_daily_return,next_week_tuesday_daily_return,next_week_wednesday_daily_return,next_week_thursday_daily_return,next_week_friday_daily_return,price_return_1w,asset_mgr_net_oi_pct_change,asset_mgr_net_change,dealer_net_oi_pct_change,dealer_net_change,lev_money_net_oi_pct_change,lev_money_net_change,non_reportable_net_oi_pct_change,non_reportable_net_change,other_reportable_net_oi_pct_change,other_reportable_net_change,forward_return_1w,forward_return_2w,forward_return_3w,forward_return_4w,forward_return_13w,forward_return_26w,forward_return_52w,contract_multiplier,contract_unit,contract_notional_usd,asset_mgr_long_notional_usd,asset_mgr_short_notional_usd,asset_mgr_net_notional_usd,asset_mgr_net_flow_1w_notional_usd,asset_mgr_net_flow_4w_notional_usd,dealer_long_notional_usd,dealer_short_notional_usd,dealer_net_notional_usd,dealer_net_flow_1w_notional_usd,dealer_net_flow_4w_notional_usd,lev_money_long_notional_usd,lev_money_short_notional_usd,lev_money_net_notional_usd,lev_money_net_flow_1w_notional_usd,lev_money_net_flow_4w_notional_usd,non_reportable_long_notional_usd,non_reportable_short_notional_usd,non_reportable_net_notional_usd,non_reportable_net_flow_1w_notional_usd,non_reportable_net_flow_4w_notional_usd,other_reportable_long_notional_usd,other_reportable_short_notional_usd,other_reportable_net_notional_usd,other_reportable_net_flow_1w_notional_usd,other_reportable_net_flow_4w_notional_usd
2022-02-08,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,497652,191729,198588,-6859,-1.3782723670355992,39.90499385112488,120888,40937,79951,16.06564426547065,8.226029434223111,84279,125769,-41490,-8.337151262327893,25.272479564032697,8258,41731,-33473,-6.72618617025552,8.385578677469397,25718,23847,1871,0.3759655341483607,4.791902775433435,2045.3699951171875,2022-02-14,2022-02-14,2020.7900390625,-0.012017364150919363,2022-02-15,2022-02-15,2076.4599609375,0.015200167155347,2022-02-16,2022-02-16,2079.31005859375,0.01659360583052738,2022-02-17,2022-02-17,2028.0899658203125,-0.008448363542110648,2022-02-18,2022-02-18,2009.3299560546875,-0.0176203030006975,-0.012017364150919363,0.0275485927775192,0.0013725753011692987,-0.024633215504222594,-0.009250087561099463,,,,,,,,,,,,0.015200167155347,-0.031876849336561985,-0.018021182201536368,-0.04026654617412817,-0.1386448206102877,-0.06477066779360863,-0.035573030766717695,50.0,Russell 2000 Index x $50,102268.49975585938,19607837189.691162,20309296829.5166,-701459639.8254395,,,12363034398.486328,4186565574.505615,8176468823.980713,,,8619086890.924072,12862206945.794678,-4243120054.8706055,,,2630141276.7211914,2438796913.6779785,191344363.0432129,,,844533270.9838867,4267766763.3117676,-3423233492.327881,,
2022-02-15,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,495518,195655,199852,-4197,-0.8469924402342599,40.33193546954904,138889,40835,98054,19.788181256785826,8.240871169160354,61765,116042,-54277,-10.953587962495813,23.418321836946387,6184,46078,-39894,-8.05096888508591,9.298955840151114,25678,25364,314,0.0633680310301543,5.118683882321127,2076.4599609375,2022-02-21,2022-02-22,1980.1700439453125,-0.04637215202970424,2022-02-22,2022-02-22,1980.1700439453125,-0.04637215202970424,2022-02-23,2022-02-23,1944.0899658203125,-0.06374791597591112,2022-02-24,2022-02-24,1996.010009765625,-0.03874380083666662,2022-02-25,2022-02-25,2040.9300537109373,-0.017110807766561154,-0.04637215202970424,0.0,-0.018220696871625086,0.026706605588288523,0.022504919176526084,0.015200167155347,0.5312799268013393,2662.0,3.7225369913151773,18103.0,-2.6164367001679203,-12787.0,-0.3125975031182064,-1557.0,-1.3247827148303895,-6421.0,-0.04637215202970424,-0.03272393999891832,-0.054636233448322136,-0.051765982612948847,-0.11373198450826438,-0.02693523241130702,-0.06576092451894022,50.0,Russell 2000 Index x $50,103822.998046875,20313488682.86133,20749233805.664062,-435745122.8027344,276376820.80078125,,14419872375.732422,4239612125.2441406,10180260250.488281,1879507733.6425781,,6412627474.365234,12047828339.355469,-5635200864.990234,-1327584676.0253906,,2665966943.8476562,2633366522.4609375,32600421.38671875,-161652407.95898438,,642041419.921875,4783956104.003906,-4141914684.0820312,-666647470.4589844,
2022-02-22,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,509340,197815,208449,-10634,-2.0877998979070953,40.925315113676525,139224,49417,89807,17.632033612125493,9.702163584246279,73149,119343,-46194,-9.069383908587584,23.43091059017552,10192,43187,-32995,-6.477991125770605,8.479012054816035,25402,25386,16,0.003141320139788746,4.9840970667923195,1980.1700439453125,2022-02-28,2022-02-28,2048.090087890625,0.034300106777692685,2022-03-01,2022-03-01,2008.510009765625,0.014311884934814723,2022-03-02,2022-03-02,2058.8701171875,0.039744098484282064,2022-03-03,2022-03-03,2032.4100341796875,0.026381567782073567,2022-03-04,2022-03-04,2000.9000244140625,0.010468788037742094,0.034300106777692685,-0.01932535993363671,0.0250733664144156,-0.012851749504217413,-0.0155037660883931,-0.04637215202970424,-1.2408074576728354,-6437.0,-2.156147644660333,-8247.0,1.8842040539082294,8083.0,-0.060226710890365555,-298.0,1.5729777593153047,6899.0,0.014311884934814723,-0.008665939691471003,-0.005656116895836005,0.05462664394709926,-0.1087482807595549,-0.030820600222432604,-0.04644049802136696,50.0,Russell 2000 Index x $50,99008.50219726562,19585366862.1521,20638223274.517822,-1052856412.3657227,-637317728.6437988,,13784359709.91211,4892703153.082275,8891656556.829834,-816523117.6208496,,7242372927.227783,11815971677.728271,-4573598750.500488,800285723.260498,,2515013972.8149414,2513429836.779785,1584136.03515625,-29504533.654785156,,1009094654.3945312,4275880184.3933105,-3266785529.9987793,683059656.6589355,
2022-03-01,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,509940,188067,227171,-39104,-7.668353139585049,44.54857434207946,160488,41841,118647,23.266854924108717,8.205082950935404,68248,115670,-47422,-9.299525434364828,22.683060752245364,9659,37718,-28059,-5.502412048476291,7.396556457622465,22140,26202,-4062,-0.796564301682551,5.138251559006942,2008.510009765625,2022-03-07,2022-03-07,1951.3299560546875,-0.028468891582775768,2022-03-08,2022-03-08,1963.010009765625,-0.02265360878401068,2022-03-09,2022-03-09,2016.2900390625,0.003873532747682429,2022-03-10,2022-03-10,2011.6700439453125,0.0015733225945218088,2022-03-11,2022-03-11,1979.6700439453125,-0.01435888578104616,-0.028468891582775768,0.005985688722041083,0.027142005915311795,-0.002291334593576444,-0.015907181247895474,0.014311884934814723,-5.580553241677954,-28470.0,5.634821311983224,28840.0,-0.23014152577724367,-1228.0,-0.7997056218223397,-4078.0,0.9755790772943138,4936.0,-0.02265360878401068,-0.01968625442255778,0.039745919978917854,0.062031101306367686,-0.07192892741419965,-0.07613606265430406,-0.05552375591310266,50.0,Russell 2000 Index x $50,100425.50048828125,18886722600.32959,22813761371.42334,-3927038771.09375,-2859113998.901367,,16117087722.363281,4201903365.930176,11915184356.433105,2896271434.0820312,,6853839557.324219,11616217641.479492,-4762378084.155273,-123322514.59960938,,2223420580.810547,2631348963.7939453,-407928382.98339844,-409535190.99121094,,970009909.2163086,3787849027.416992,-2817839118.2006836,495700270.41015625,
2022-03-08,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,525504,183899,237339,-53440,-10.169285105346486,45.16407106320789,163067,44575,118492,22.548258433808304,8.482333150651565,73678,112352,-38674,-7.359411155766654,21.379856290342225,16218,37522,-21304,-4.054012909511631,7.140193033735233,21856,26930,-5074,-0.9655492631835343,5.124604189501888,1963.010009765625,2022-03-14,2022-03-14,1941.719970703125,-0.010845609017063551,2022-03-15,2022-03-15,1968.969970703125,0.003036133747586822,2022-03-16,2022-03-16,2030.719970703125,0.03449292698491346,2022-03-17,2022-03-17,2065.02001953125,0.05196611798113282,2022-03-18,2022-03-18,2086.139892578125,0.06272504072824425,-0.010845609017063551,0.014033949493825526,0.031361575300180355,0.016890585271709613,0.010227442275193566,-0.02265360878401068,-2.5009319657614366,-14336.0,-0.7185964903004134,-155.0,1.9401142785981733,8748.0,-0.1689849615009833,-1012.0,1.4483991389646604,6755.0,0.003036133747586822,0.06384586808090909,0.08664759071245531,0.04229730306204016,-0.022134350286406757,-0.08695323132709964,-0.04293917944542924,50.0,Russell 2000 Index x $50,98150.50048828125,18049778889.294434,23294941635.388184,-5245162746.09375,-1407085575.0,-4571948463.244629,16005107663.122559,4375058559.265137,11630049103.857422,-15213327.575683594,3782818439.3188477,7231532574.975586,11027405030.859375,-3795872455.883789,858620578.2714844,276391809.375,2145177338.671875,2643192978.149414,-498015639.47753906,-99328306.49414062,-681655225.8911133,1591804816.9189453,3682803079.321289,-2090998262.4023438,663006630.7983398,1194393440.4418945
2022-03-15,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,582619,188360,245115,-56755,-9.741357559571522,42.07123351624303,172450,42935,129515,22.229793398430193,7.36930996071189,74858,122661,-47803,-8.204847421728436,21.05338136929966,15655,36390,-20735,-3.55892959206617,6.24593430698278,29110,33332,-4222,-0.7246588250640642,5.721062993139599,1968.969970703125,2022-03-21,2022-03-21,2065.93994140625,0.04924908563663699,2022-03-22,2022-03-22,2088.340087890625,0.06062566670068237,2022-03-23,2022-03-23,2052.2099609375,0.04227590642464185,2022-03-24,2022-03-24,2075.43994140625,0.05407394337512628,2022-03-25,2022-03-25,2077.97998046875,0.05536397780952296,0.04924908563663699,0.010842593260057543,-0.0173008827262513,0.011319495037504845,0.0012238557290069618,0.003036133747586822,0.4279275457749634,-3315.0,-0.3184650353781109,11023.0,-0.8454362659617818,-9129.0,0.24089043811947008,852.0,0.49508331744546075,569.0,0.06062566670068237,0.08335836980515943,0.039142327971539936,0.009126584442884056,-0.13262772847428628,-0.06978269169082174,-0.09755352235569914,50.0,Russell 2000 Index x $50,98448.49853515625,18543759184.08203,24131203718.444824,-5587444534.362793,-326356772.64404297,-5174256186.010742,16977443572.387695,4226886284.6069336,12750557287.780762,1085197799.3530273,3097288212.414551,7369657703.344727,12075791278.8208,-4706133575.476074,-898736343.1274414,637355579.5166016,2865835792.3583984,3281485353.173828,-415649560.8154297,83878120.75195312,-446562389.35546875,1541211244.567871,3582540861.694336,-2041329617.1264648,56017195.666503906,1886174783.4350586
2022-03-22,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,483220,184343,217488,-33145,-6.859194569761186,45.008070857994284,165027,12729,152298,31.517321302926206,2.6342038822896403,41961,132573,-90612,-18.751707296883406,27.435329663507307,12060,39255,-27195,-5.627871362940275,8.123628988866354,22505,23851,-1346,-0.2785480733413352,4.935847026199246,2088.340087890625,2022-03-28,2022-03-28,2078.06005859375,-0.004922583901197153,2022-03-29,2022-03-29,2133.10009765625,0.021433295288046716,2022-03-30,2022-03-30,2091.070068359375,0.0013072489890799677,2022-03-31,2022-03-31,2070.1298828125,-0.008719942304281747,2022-04-01,2022-04-01,2091.110107421875,0.0013264216625021863,-0.004922583901197153,0.026486260026452824,-0.019703730426460342,-0.010014100370775436,0.0101347383000292,0.06062566670068237,2.882162989810336,23610.0,9.287527904496013,22783.0,-10.54685987515497,-42809.0,0.446110751722729,2876.0,-2.068941770874105,-6460.0,0.021433295288046716,-0.020255344938022612,-0.048555379974914215,-0.027567381717756967,-0.1888150598076349,-0.1440570382358054,-0.14873061119560205,50.0,Russell 2000 Index x $50,104417.00439453125,19248543841.101074,22709445451.757812,-3460901610.6567383,2465285473.754883,-2350531185.925293,17231624984.21631,1329124048.9379883,15902500935.27832,2378932611.1206055,6525123021.618652,4381441921.398926,13842875523.596191,-9461433602.197266,-4469987541.125488,-4637994501.196289,2349904683.898926,2490449971.813965,-140545287.91503906,300303304.6386719,-142215959.98535156,1259269072.9980469,4098889507.507324,-2839620434.5092773,-674533848.3886719,605618625.4882812
2022-03-29,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,471412,183382,203839,-20457,-4.33951617693228,43.24009571245534,164926,9522,155404,32.96564364080677,2.019889183983437,33519,132903,-99384,-21.082195616573188,28.19253646491816,8616,42403,-33787,-7.16719133157408,8.994891941656132,22074,23850,-1776,-0.3767405157272195,5.0592687500530324,2133.10009765625,2022-04-04,2022-04-04,2095.43994140625,-0.017655128463675562,2022-04-05,2022-04-05,2046.0400390625,-0.04081386461395198,2022-04-06,2022-04-06,2016.93994140625,-0.05445602687732809,2022-04-07,2022-04-07,2009.800048828125,-0.05780321746907302,2022-04-08,2022-04-08,1994.56005859375,-0.06494774399697478,-0.017655128463675562,-0.02357495500949447,-0.014222643301537552,-0.0035399629069504668,-0.007582839020857435,0.021433295288046716,2.519678392828906,12688.0,1.4483223378805619,3106.0,-2.330488319689781,-8772.0,-0.09819244238588432,-430.0,-1.539319968633805,-6592.0,-0.04081386461395198,-0.06852006448764125,-0.047972468913875854,-0.11374530769545954,-0.18482964407958724,-0.22061322317114285,-0.17836485647883105,50.0,Russell 2000 Index x $50,106655.0048828125,19558608105.41992,21740449540.307617,-2181841434.8876953,1353238701.953125,1988795876.0498047,17590183335.302734,1015568956.4941406,16574614378.808594,331270445.1660156,3920318014.477539,3574969108.666992,14174770113.94043,-10599801005.273438,-935577702.8320312,-5542007363.720703,2354302577.783203,2543721866.455078,-189419288.671875,-45861652.099609375,243813341.16210938,918939522.0703125,4522492172.045898,-3603552649.975586,-703069792.1875,-610919867.96875
2022-04-05,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,470730,179717,200331,-20614,-4.379155779321479,42.55751704798929,161155,8179,152976,32.497610094958894,1.7375140738852421,36004,131326,-95322,-20.249824740296983,27.898370615851974,8392,44941,-36549,-7.764323497546364,9.547086440209887,22485,22976,-491,-0.10430607779406455,4.880929619951989,2046.0400390625,2022-04-11,2022-04-11,1980.3199462890625,-0.0321206288824879,2022-04-12,2022-04-12,1986.93994140625,-0.028885112963541903,2022-04-13,2022-04-13,2025.0999755859373,-0.01023443484818487,2022-04-14,2022-04-14,2004.97998046875,-0.020068062115032648,2022-04-15,2022-04-18,1990.1300048828125,-0.027325972665376397,-0.0321206288824879,0.003342891702723394,0.01920542910455536,-0.009935309545083482,-0.007406545566836842,-0.04081386461395198,-0.03963960238919917,-157.0,-0.4680335458478737,-2428.0,0.8323708762762045,4062.0,0.27243443793315497,1285.0,-0.5971321659722841,-2762.0,-0.028885112963541903,-0.007463206603838923,-0.07603471358784242,-0.0719341024129595,-0.14892674492696212,-0.13209419873087547,-0.1350853401554546,50.0,Russell 2000 Index x $50,102302.001953125,18385408885.009766,20494262353.271484,-2108853468.2617188,-16061414.306640625,3358165516.1132812,16486479124.75586,836728073.9746094,15649751050.78125,-248389260.7421875,3527782235.3515625,3683281278.3203125,13434912708.496094,-9751631430.175781,415550731.93359375,-5795203806.640625,2300260513.9160156,2350490796.875,-50230282.958984375,131458072.50976562,468850074.9511719,858518400.390625,4597554269.775391,-3739035869.3847656,-282558129.39453125,-1559594019.7753906
2022-04-12,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,469947,185724,213542,-27818,-5.919390910038792,45.439592124218265,153444,9236,144208,30.686013529185207,1.9653280050729125,37294,116597,-79303,-16.874881635588693,24.8106701393987,8714,44405,-35691,-7.594686209295942,9.448937858950051,21319,22715,-1396,-0.29705477426177845,4.833523780341188,1986.93994140625,2022-04-18,2022-04-18,1990.1300048828125,0.0016055158035148676,2022-04-19,2022-04-19,2030.77001953125,0.022059085537321055,2022-04-20,2022-04-20,2038.18994140625,0.025793431865750227,2022-04-21,2022-04-21,1991.4599609375,0.0022748646987542642,2022-04-22,2022-04-22,1940.6600341796875,-0.023292051391250457,0.0016055158035148676,0.02042078384262669,0.0036537479890079716,-0.02292719609660554,-0.02550888682386465,-0.028885112963541903,-1.5402351307173126,-7204.0,-1.8115965657736872,-8768.0,3.37494310470829,16019.0,-0.19274869646771392,-905.0,0.16963728825042246,858.0,0.022059085537321055,-0.04855203153994114,-0.04432945063872906,-0.11331490079383122,-0.13023035186064857,-0.1479762378991918,-0.1008334330649876,50.0,Russell 2000 Index x $50,99346.9970703125,18451121683.88672,21214756448.38867,-2763634764.501953,-715695766.8945312,2874804054.223633,15244200618.457031,917568864.9414062,14326631753.515625,-871074470.3125,1459705427.9541016,3705046908.7402344,11583561817.407227,-7878514908.666992,1591439546.069336,-3129430407.7148438,2117978630.5419922,2256667038.4521484,-138688407.91015625,-89909032.34863281,280754613.7207031,865709732.4707031,4411503404.907227,-3545793672.4365234,85239723.48632812,-1485833688.1835938
