category,extreme,date,contract,open_interest,asset_mgr_long,asset_mgr_short,asset_mgr_net,asset_mgr_net_oi_pct,asset_mgr_short_oi_pct,dealer_long,dealer_short,dealer_net,dealer_net_oi_pct,dealer_short_oi_pct,lev_money_long,lev_money_short,lev_money_net,lev_money_net_oi_pct,lev_money_short_oi_pct,other_reportable_long,other_reportable_short,other_reportable_net,other_reportable_net_oi_pct,other_reportable_short_oi_pct,non_reportable_long,non_reportable_short,non_reportable_net,non_reportable_net_oi_pct,non_reportable_short_oi_pct,price,next_week_monday_target,next_week_monday_date,next_week_monday_price,next_week_monday_return,next_week_tuesday_target,next_week_tuesday_date,next_week_tuesday_price,next_week_tuesday_return,next_week_wednesday_target,next_week_wednesday_date,next_week_wednesday_price,next_week_wednesday_return,next_week_thursday_target,next_week_thursday_date,next_week_thursday_price,next_week_thursday_return,next_week_friday_target,next_week_friday_date,next_week_friday_price,next_week_friday_return,next_week_monday_daily_return,next_week_tuesday_daily_return,next_week_wednesday_daily_return,next_week_thursday_daily_return,next_week_friday_daily_return,price_return_1w,asset_mgr_net_oi_pct_change,asset_mgr_net_change,dealer_net_oi_pct_change,dealer_net_change,lev_money_net_oi_pct_change,lev_money_net_change,non_reportable_net_oi_pct_change,non_reportable_net_change,other_reportable_net_oi_pct_change,other_reportable_net_change,forward_return_1w,forward_return_2w,forward_return_3w,forward_return_4w,forward_return_13w,forward_return_26w,forward_return_52w,contract_multiplier,contract_unit,contract_notional_usd,asset_mgr_long_notional_usd,asset_mgr_short_notional_usd,asset_mgr_net_notional_usd,asset_mgr_net_flow_1w_notional_usd,asset_mgr_net_flow_4w_notional_usd,dealer_long_notional_usd,dealer_short_notional_usd,dealer_net_notional_usd,dealer_net_flow_1w_notional_usd,dealer_net_flow_4w_notional_usd,lev_money_long_notional_usd,lev_money_short_notional_usd,lev_money_net_notional_usd,lev_money_net_flow_1w_notional_usd,lev_money_net_flow_4w_notional_usd,non_reportable_long_notional_usd,non_reportable_short_notional_usd,non_reportable_net_notional_usd,non_reportable_net_flow_1w_notional_usd,non_reportable_net_flow_4w_notional_usd,other_reportable_long_notional_usd,other_reportable_short_notional_usd,other_reportable_net_notional_usd,other_reportable_net_flow_1w_notional_usd,other_reportable_net_flow_4w_notional_usd
asset_mgr,highest_net_oi_pct,2024-09-24,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2055631,1219333,148938,1070395,52.07135911065751,7.245366507899521,116835,975008,-858173,-41.747424513446234,47.43108077276515,167965,488161,-320196,-15.5765310019162,23.747501375490057,116387,102076,14311,0.6961852589302262,4.965677205685261,261465,167803,93662,4.556362498911526,8.163089581739134,5732.93,2024-09-30,2024-09-30,5762.48,0.005154432375765738,2024-10-01,2024-10-01,5708.75,-0.0042177385734694095,2024-10-02,2024-10-02,5709.54,-0.004079938181697718,2024-10-03,2024-10-03,5699.94,-0.005754474588038017,2024-10-04,2024-10-04,5751.07,0.0031641760844802747,0.005154432375765738,-0.009324110452443968,0.00013838405955768351,-0.001681396399709989,0.008970269862489832,0.017454717121773156,12.753143079058944,49170.0,-13.623806941113386,-127709.0,-1.9642987621533354,33359.0,1.2024221300793436,6549.0,1.6325303482968958,38631.0,-0.0042177385734694095,0.003174641937019995,0.014360893993123902,0.02062993966436011,0.05356946622407732,0.00762611788387435,0.161172384801489,50.0,S&P 500 Index x $50,286646.5,349517536784.5,42692556417.0,306824980367.5,14094408405.0,24645579423.5,33490343827.5,279482630672.0,-245992286844.5,-36607337868.5,-29152522343.0,48146579372.5,139929642086.5,-91783062714.0,9562240593.5,6599749016.0,74948027122.5,48100142639.5,26847884483.0,1877247928.5,-6292750614.5,33361926195.5,29259728134.0,4102198061.5,11073440941.5,4199657871.5
asset_mgr,lowest_net_oi_pct,2016-06-28,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,673460,262785,223952,38833,5.766192498440887,33.25394232768093,110385,37967,72418,10.753125649630267,5.637602827190925,67538,155860,-88322,-13.114661598313187,23.14317108662727,24544,38207,-13663,-2.028776764767024,5.673239687583524,98309,107575,-9266,-1.3758797849909423,15.973480236391174,2036.09,2016-07-04,2016-07-05,2088.55,0.02576506932404765,2016-07-05,2016-07-05,2088.55,0.02576506932404765,2016-07-06,2016-07-06,2099.73,0.03125598573736932,2016-07-07,2016-07-07,2097.9,0.03035720424932098,2016-07-08,2016-07-08,2129.9,0.04607360185453491,0.02576506932404765,0.0,0.005352996097771179,-0.0008715406266519565,0.015253348586681925,-0.025281248503997378,-4.26395252618077,-23454.0,7.121390925846937,49865.0,-1.2178438951965909,-14443.0,-1.9494726145974788,-12828.0,0.31003914124233534,861.0,0.02576506932404765,0.05699649819015851,0.06271333781905519,0.06536547991493502,0.06082245873217773,0.11433188120367976,0.18824806369070135,50.0,S&P 500 Index x $50,101804.5,26752695532.5,22799321384.0,3953374148.5,-2387722743.0,,11237689732.5,3865211451.5,7372478281.0,5076481392.5,,6875672321.0,15867249370.0,-8991577049.0,-1470362393.5,,10008298590.5,10951619087.5,-943320497.0,-1305948126.0,,2498689648.0,3889644531.5,-1390954883.5,87653674.5,
asset_mgr,highest_short_oi_pct,2022-06-21,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,452401,203643,166016,37627,8.317178786076953,36.69664744330804,65632,47546,18086,3.997780729927652,10.509702675281444,34503,75470,-40967,-9.055461857953453,16.682102824706398,27854,36624,-8770,-1.9385456707655377,8.095472821678113,44970,50945,-5975,-1.3207309444497248,11.26102727447552,3764.79,2022-06-27,2022-06-27,3900.11,0.03594357188581565,2022-06-28,2022-06-28,3821.55,0.015076538133601103,2022-06-29,2022-06-29,3818.83,0.014354054276599637,2022-06-30,2022-06-30,3785.38,0.005469096549874042,2022-07-01,2022-07-01,3825.33,0.016080578199580753,0.03594357188581565,-0.02014302160708281,-0.000711753084481459,-0.008759227302603145,0.010553762105785847,0.007846381187959661,0.5368894551547108,-3677.0,3.6911200909885324,16458.0,-2.4281637868262678,-5784.0,-1.1167300402905929,-4892.0,-0.6825179432188229,-2102.0,0.015076538133601103,0.01769022973392942,0.014346085704647571,0.045659917286223095,0.024208521590845633,0.01509513146815622,0.16572504708097924,50.0,S&P 500 Index x $50,188239.5,38333656498.5,31250768832.0,7082887666.5,-692156641.5,-3865874611.5,12354534864.0,8950035267.0,3404499597.0,3098045691.0,6511204305.0,6494827468.5,14206435065.0,-7711607596.5,-1088777268.0,-2201084473.5,8465130315.0,9589861327.5,-1124731012.5,-920867634.0,-369137659.5,5243223033.0,6894083448.0,-1650860415.0,-395679429.0,-74919321.0
asset_mgr,latest,2026-09-01,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2079148,1159145,222834,936311,45.03339829584041,10.71756315567723,202607,903840,-701233,-33.72694007353012,43.47165281163245,150561,484997,-334436,-16.08524260899176,23.32671844428583,57147,63178,-6031,-0.29007074051486476,3.038648523337444,265218,159829,105389,5.068855127196333,7.6872353483253715,7631.47,2026-09-07,,,,2026-09-08,,,,2026-09-09,,,,2026-09-10,,,,2026-09-11,,,,,,,,,-0.005966957047287558,-0.9910719154581784,-18665.0,2.1533373911181,43258.0,-0.25184863107153,-5904.0,-1.0615174008539974,-21812.0,0.15110055626560648,3123.0,,,,,,,,50.0,S&P 500 Index x $50,381573.5,442299014657.5,85027549299.0,357271465358.5,-7122069377.5,-1058103315.5,77309462114.5,344881392240.0,-267571930125.5,16506106463.0,3099521540.5,57450087733.5,185062002779.5,-127611915046.0,-2252809944.0,-510163769.5,101200160523.0,60986510931.5,40213649591.5,-8322881182.0,105695859.5,21805780804.5,24107050583.0,-2301269778.5,1191654040.5,-1637331888.5
dealer,highest_net_oi_pct,2022-08-16,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,469245,197630,122412,75218,16.029579430787756,26.087012115206342,107697,33612,74085,15.788127737109612,7.162995876354569,25122,144856,-119734,-25.516308111967096,30.870014597917933,23302,39625,-16323,-3.4785666336348817,8.444416030005646,45509,58755,-13246,-2.8228324222953893,12.521177636415945,4305.2,2022-08-22,2022-08-22,4137.99,-0.038839078323887444,2022-08-23,2022-08-23,4128.73,-0.04098996562296764,2022-08-24,2022-08-24,4140.77,-0.038193347579670966,2022-08-25,2022-08-25,4199.12,-0.0246399702685125,2022-08-26,2022-08-26,4057.66,-0.05749790950478495,-0.038839078323887444,-0.0022378014446627903,0.0029161509713642175,0.014091582000449021,-0.033688010821315006,0.04432536804391529,3.1600792590030657,16034.0,1.0063812739172011,6107.0,-3.6148472897490294,-19014.0,0.13360384993333252,350.0,-0.6854345420801651,-3478.0,-0.04098996562296764,-0.07410573260243425,-0.09221638948248623,-0.08652559695252249,-0.07281194834154037,-0.03927111400167238,0.030813899470407913,50.0,S&P 500 Index x $50,215260.0,42541833800.0,26350407120.0,16191426680.0,3451478840.0,5534980380.0,23182856220.0,7235319120.0,15947537100.0,1314592820.0,5550694360.0,5407761720.0,31181702560.0,-25773940840.0,-4092953640.0,-7452301200.0,9796267340.0,12647601300.0,-2851333960.0,75341000.0,-345707560.0,5015988520.0,8529677500.0,-3513688980.0,-748674280.0,-3287450720.0
dealer,lowest_net_oi_pct,2024-11-05,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2158810,1175374,178221,997153,46.18993797508813,8.255520402443938,127431,1075761,-948330,-43.928367943450326,49.83120330181906,238391,423283,-184892,-8.564533238219205,19.607237320560863,142609,118012,24597,1.1393777127213602,5.466530171714973,278739,167267,111472,5.163585493860044,7.748111227945026,5782.76,2024-11-11,2024-11-11,6001.35,0.037800289135291765,2024-11-12,2024-11-12,5983.99,0.03479826242140427,2024-11-13,2024-11-13,5985.38,0.035038632071882514,2024-11-14,2024-11-14,5949.17,0.028776916213019366,2024-11-15,2024-11-15,5870.62,0.015193437043902858,0.037800289135291765,-0.002892682479775477,0.00023228648443596178,-0.0060497412027306074,-0.013203522508181798,-0.008599466476481687,-1.864467279802632,-52805.0,-1.0067446098606965,-10520.0,4.522074332895006,101042.0,0.2120903470914426,3285.0,-1.8629070223921627,-41001.0,0.03479826242140427,0.023210370134675973,0.04130726504298976,0.04619247556530093,0.04411734189210681,-0.030409354702598868,0.17098928539313407,50.0,S&P 500 Index x $50,289138.0,339845287612.0,51530463498.0,288314824114.0,-15267932090.0,-14709317474.0,36845144478.0,311043384018.0,-274198239540.0,-3041731760.0,-18024862920.0,68927896958.0,122387200054.0,-53459303096.0,29215081796.0,40980107016.0,80594036982.0,48363245846.0,32230791136.0,949818330.0,6195070788.0,41233681042.0,34121753656.0,7111927386.0,-11854947138.0,-14440708272.0
dealer,highest_short_oi_pct,2024-11-05,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2158810,1175374,178221,997153,46.18993797508813,8.255520402443938,127431,1075761,-948330,-43.928367943450326,49.83120330181906,238391,423283,-184892,-8.564533238219205,19.607237320560863,142609,118012,24597,1.1393777127213602,5.466530171714973,278739,167267,111472,5.163585493860044,7.748111227945026,5782.76,2024-11-11,2024-11-11,6001.35,0.037800289135291765,2024-11-12,2024-11-12,5983.99,0.03479826242140427,2024-11-13,2024-11-13,5985.38,0.035038632071882514,2024-11-14,2024-11-14,5949.17,0.028776916213019366,2024-11-15,2024-11-15,5870.62,0.015193437043902858,0.037800289135291765,-0.002892682479775477,0.00023228648443596178,-0.0060497412027306074,-0.013203522508181798,-0.008599466476481687,-1.864467279802632,-52805.0,-1.0067446098606965,-10520.0,4.522074332895006,101042.0,0.2120903470914426,3285.0,-1.8629070223921627,-41001.0,0.03479826242140427,0.023210370134675973,0.04130726504298976,0.04619247556530093,0.04411734189210681,-0.030409354702598868,0.17098928539313407,50.0,S&P 500 Index x $50,289138.0,339845287612.0,51530463498.0,288314824114.0,-15267932090.0,-14709317474.0,36845144478.0,311043384018.0,-274198239540.0,-3041731760.0,-18024862920.0,68927896958.0,122387200054.0,-53459303096.0,29215081796.0,40980107016.0,80594036982.0,48363245846.0,32230791136.0,949818330.0,6195070788.0,41233681042.0,34121753656.0,7111927386.0,-11854947138.0,-14440708272.0
dealer,latest,2026-09-01,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2079148,1159145,222834,936311,45.03339829584041,10.71756315567723,202607,903840,-701233,-33.72694007353012,43.47165281163245,150561,484997,-334436,-16.08524260899176,23.32671844428583,57147,63178,-6031,-0.29007074051486476,3.038648523337444,265218,159829,105389,5.068855127196333,7.6872353483253715,7631.47,2026-09-07,,,,2026-09-08,,,,2026-09-09,,,,2026-09-10,,,,2026-09-11,,,,,,,,,-0.005966957047287558,-0.9910719154581784,-18665.0,2.1533373911181,43258.0,-0.25184863107153,-5904.0,-1.0615174008539974,-21812.0,0.15110055626560648,3123.0,,,,,,,,50.0,S&P 500 Index x $50,381573.5,442299014657.5,85027549299.0,357271465358.5,-7122069377.5,-1058103315.5,77309462114.5,344881392240.0,-267571930125.5,16506106463.0,3099521540.5,57450087733.5,185062002779.5,-127611915046.0,-2252809944.0,-510163769.5,101200160523.0,60986510931.5,40213649591.5,-8322881182.0,105695859.5,21805780804.5,24107050583.0,-2301269778.5,1191654040.5,-1637331888.5
lev_money,highest_net_oi_pct,2018-12-24,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,588676,255424,152732,102692,17.444570527760604,25.945002004498228,35444,184595,-149151,-25.336687753535053,31.357656843492855,88617,56840,31777,5.398045784098553,9.655566049915404,28797,37829,-9032,-1.534290509550245,6.426115554226773,78471,54756,23715,4.028531823957491,9.301551277782686,2351.1,2018-12-31,2018-12-31,2506.85,0.06624558717196205,2019-01-01,2019-01-02,2510.03,0.0675981455488921,2019-01-02,2019-01-02,2510.03,0.0675981455488921,2019-01-03,2019-01-03,2447.89,0.041167963931776574,2019-01-04,2019-01-04,2531.94,0.07691718769937483,0.06624558717196205,0.0012685242435728217,0.0,-0.02475667621502542,0.0343356931888279,-0.0766094825148459,8.437104687501412,38748.0,-12.043266144857775,-54781.0,2.942347798466774,14344.0,1.0582543200837056,2629.0,-0.39441165337331885,-940.0,0.06624558717196205,0.09498107268937939,0.11024626770447887,0.11985878950278606,0.19878354812640908,0.24085747097103494,0.37100931478882226,50.0,S&P 500 Index x $50,117555.0,30026368320.0,17954410260.0,12071958060.0,4555021140.0,3386171775.0,4166619420.0,21700065225.0,-17533445805.0,-6439780455.0,-8378144850.0,10417371435.0,6681826200.0,3735545235.0,1686208920.0,4448516310.0,9224658405.0,6436841580.0,2787816825.0,309052095.0,1102783455.0,3385231335.0,4446988095.0,-1061756760.0,-110501700.0,-559091580.0
lev_money,lowest_net_oi_pct,2022-08-16,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,469245,197630,122412,75218,16.029579430787756,26.087012115206342,107697,33612,74085,15.788127737109612,7.162995876354569,25122,144856,-119734,-25.516308111967096,30.870014597917933,23302,39625,-16323,-3.4785666336348817,8.444416030005646,45509,58755,-13246,-2.8228324222953893,12.521177636415945,4305.2,2022-08-22,2022-08-22,4137.99,-0.038839078323887444,2022-08-23,2022-08-23,4128.73,-0.04098996562296764,2022-08-24,2022-08-24,4140.77,-0.038193347579670966,2022-08-25,2022-08-25,4199.12,-0.0246399702685125,2022-08-26,2022-08-26,4057.66,-0.05749790950478495,-0.038839078323887444,-0.0022378014446627903,0.0029161509713642175,0.014091582000449021,-0.033688010821315006,0.04432536804391529,3.1600792590030657,16034.0,1.0063812739172011,6107.0,-3.6148472897490294,-19014.0,0.13360384993333252,350.0,-0.6854345420801651,-3478.0,-0.04098996562296764,-0.07410573260243425,-0.09221638948248623,-0.08652559695252249,-0.07281194834154037,-0.03927111400167238,0.030813899470407913,50.0,S&P 500 Index x $50,215260.0,42541833800.0,26350407120.0,16191426680.0,3451478840.0,5534980380.0,23182856220.0,7235319120.0,15947537100.0,1314592820.0,5550694360.0,5407761720.0,31181702560.0,-25773940840.0,-4092953640.0,-7452301200.0,9796267340.0,12647601300.0,-2851333960.0,75341000.0,-345707560.0,5015988520.0,8529677500.0,-3513688980.0,-748674280.0,-3287450720.0
