category,extreme,date,contract,open_interest,noncommercial_long,noncommercial_short,noncommercial_net,noncommercial_net_oi_pct,noncommercial_long_oi_pct,noncommercial_short_oi_pct,noncommercial_spreading,noncommercial_spreading_oi_pct,commercial_long,commercial_short,commercial_net,commercial_net_oi_pct,commercial_long_oi_pct,commercial_short_oi_pct,total_reportable_long,total_reportable_short,total_reportable_net,total_reportable_net_oi_pct,total_reportable_long_oi_pct,total_reportable_short_oi_pct,nonreportable_long,nonreportable_short,nonreportable_net,nonreportable_net_oi_pct,nonreportable_long_oi_pct,nonreportable_short_oi_pct,price,next_week_monday_target,next_week_monday_date,next_week_monday_price,next_week_monday_return,next_week_tuesday_target,next_week_tuesday_date,next_week_tuesday_price,next_week_tuesday_return,next_week_wednesday_target,next_week_wednesday_date,next_week_wednesday_price,next_week_wednesday_return,next_week_thursday_target,next_week_thursday_date,next_week_thursday_price,next_week_thursday_return,next_week_friday_target,next_week_friday_date,next_week_friday_price,next_week_friday_return,next_week_monday_daily_return,next_week_tuesday_daily_return,next_week_wednesday_daily_return,next_week_thursday_daily_return,next_week_friday_daily_return,next_week_mon_fri_return,price_return_1w,noncommercial_net_oi_pct_change,noncommercial_net_change,noncommercial_long_oi_pct_change,noncommercial_short_oi_pct_change,commercial_net_oi_pct_change,commercial_net_change,commercial_long_oi_pct_change,commercial_short_oi_pct_change,total_reportable_net_oi_pct_change,total_reportable_net_change,total_reportable_long_oi_pct_change,total_reportable_short_oi_pct_change,nonreportable_net_oi_pct_change,nonreportable_net_change,nonreportable_long_oi_pct_change,nonreportable_short_oi_pct_change,forward_return_1w,forward_return_2w,forward_return_3w,forward_return_4w,forward_return_13w,forward_return_26w,forward_return_52w,contract_multiplier,contract_unit,contract_notional_usd,noncommercial_long_notional_usd,noncommercial_short_notional_usd,noncommercial_net_notional_usd,noncommercial_net_flow_1w_notional_usd,noncommercial_net_flow_4w_notional_usd,commercial_long_notional_usd,commercial_short_notional_usd,commercial_net_notional_usd,commercial_net_flow_1w_notional_usd,commercial_net_flow_4w_notional_usd,total_reportable_long_notional_usd,total_reportable_short_notional_usd,total_reportable_net_notional_usd,total_reportable_net_flow_1w_notional_usd,total_reportable_net_flow_4w_notional_usd,nonreportable_long_notional_usd,nonreportable_short_notional_usd,nonreportable_net_notional_usd,nonreportable_net_flow_1w_notional_usd,nonreportable_net_flow_4w_notional_usd
noncommercial,highest_net_oi_pct,2017-09-26,DJIA Consolidated - CHICAGO BOARD OF TRADE,78934,53393,5533,47860,60.632933843464166,67.6425874781463,7.009653634682139,1107,1.4024374794131806,14753,62240,-47487,-60.160387158892235,18.69029822383257,78.8506853827248,69253,68879,374,0.4738135657638027,87.73532318139205,87.26150961562824,9682,10055,-373,-0.47254668457192084,12.265943699799834,12.738490384371753,22284.3203125,2017-10-02,2017-10-02,22557.599609375,0.012263299622457424,2017-10-03,2017-10-03,22641.669921875,0.016035921417560717,2017-10-04,2017-10-04,22661.640625,0.01693209876759627,2017-10-05,2017-10-05,22775.390625,0.02203658472026815,2017-10-06,2017-10-06,22773.669921875,0.021959368852749295,0.012263299622457424,0.0037269174892642365,0.0008820331359793432,0.005019495361448412,-7.555098190548115e-05,0.009578603940208374,-0.003865774390270471,4.288336527591952,4491.0,3.2183237944212664,-1.0700127331706897,-3.9379137598198497,-4212.0,-1.918762331441492,2.0191514283783647,0.351689648963969,280.0,0.47518624670235,0.12349659773838084,-0.3491235771678336,-278.0,-0.4739193655104774,-0.12479578834264693,0.016035921417560717,0.024517659382840895,0.03200093745847776,0.05193963454545014,0.1104763614270543,0.0706052777439854,0.18882741613795861,5.0,DJIA x $5,111421.6015625,5949133572.2265625,616495721.4453125,5332637850.78125,500394412.6171875,469642050.5859375,1643802887.8515625,6934880481.25,-5291077593.3984375,-469307785.78125,-450143270.3125,7716280173.0078125,7674608494.0234375,41671678.984375,31198048.4375,19610201.875,1078783946.328125,1120344203.7109375,-41560257.3828125,-30975205.234375,-19387358.671875
noncommercial,lowest_net_oi_pct,2020-06-23,DJIA Consolidated - CHICAGO BOARD OF TRADE,36461,6842,21190,-14348,-39.351635994624395,18.76525602698774,58.11689202161213,778,2.133786785880804,22905,7614,15291,41.937961109130306,62.82054798277612,20.882586873645813,30524,29581,943,2.5863251145059105,83.71684813910754,81.13052302460163,5937,6881,-944,-2.589067771043032,16.28315186089246,18.872219631935494,26156.099609375,2020-06-29,2020-06-29,25595.80078125,-0.02142134479118496,2020-06-30,2020-06-30,25812.880859375,-0.013121939246514502,2020-07-01,2020-07-01,25734.970703125,-0.016100600339473248,2020-07-02,2020-07-02,25827.359375,-0.012568396637286483,2020-07-03,2020-07-06,26287.029296875,0.005005703811170381,-0.02142134479118496,0.008481081720405514,-0.003018266603965869,0.0035900049368924325,0.017797790134129743,0.02700554366446517,-0.005092467053527838,-8.221276531653409,28.0,4.91077356704837,13.132050098701782,9.13588228712944,143.0,-3.8923147283542363,-13.028197015483677,0.9124403158917918,170.0,-1.8613242298833654,-2.7737645457751654,-0.9173484120131488,-172.0,1.85915879029913,2.776507202312281,-0.013121939246514502,-0.01016665045042453,0.018599494635684444,0.026162187461800768,0.04328168553537837,0.15523528622439065,0.29780734253026986,5.0,DJIA x $5,130780.498046875,894800167.6367188,2771238753.6132812,-1876438585.9765625,3661853.9453125,-935734463.5253906,2995527307.763672,995762712.1289062,1999764595.6347656,18701611.220703125,588904582.7050781,3991943922.3828125,3868617912.7246094,123326009.65820312,22232684.66796875,-346829880.8203125,776443816.9042969,899900607.0605469,-123456790.15625,-22494245.6640625,346829880.8203125
noncommercial,highest_long_oi_pct,2017-09-26,DJIA Consolidated - CHICAGO BOARD OF TRADE,78934,53393,5533,47860,60.632933843464166,67.6425874781463,7.009653634682139,1107,1.4024374794131806,14753,62240,-47487,-60.160387158892235,18.69029822383257,78.8506853827248,69253,68879,374,0.4738135657638027,87.73532318139205,87.26150961562824,9682,10055,-373,-0.47254668457192084,12.265943699799834,12.738490384371753,22284.3203125,2017-10-02,2017-10-02,22557.599609375,0.012263299622457424,2017-10-03,2017-10-03,22641.669921875,0.016035921417560717,2017-10-04,2017-10-04,22661.640625,0.01693209876759627,2017-10-05,2017-10-05,22775.390625,0.02203658472026815,2017-10-06,2017-10-06,22773.669921875,0.021959368852749295,0.012263299622457424,0.0037269174892642365,0.0008820331359793432,0.005019495361448412,-7.555098190548115e-05,0.009578603940208374,-0.003865774390270471,4.288336527591952,4491.0,3.2183237944212664,-1.0700127331706897,-3.9379137598198497,-4212.0,-1.918762331441492,2.0191514283783647,0.351689648963969,280.0,0.47518624670235,0.12349659773838084,-0.3491235771678336,-278.0,-0.4739193655104774,-0.12479578834264693,0.016035921417560717,0.024517659382840895,0.03200093745847776,0.05193963454545014,0.1104763614270543,0.0706052777439854,0.18882741613795861,5.0,DJIA x $5,111421.6015625,5949133572.2265625,616495721.4453125,5332637850.78125,500394412.6171875,469642050.5859375,1643802887.8515625,6934880481.25,-5291077593.3984375,-469307785.78125,-450143270.3125,7716280173.0078125,7674608494.0234375,41671678.984375,31198048.4375,19610201.875,1078783946.328125,1120344203.7109375,-41560257.3828125,-30975205.234375,-19387358.671875
noncommercial,lowest_long_oi_pct,2025-11-25,DJIA Consolidated - CHICAGO BOARD OF TRADE,85923,5461,27352,-21891,-25.477462379106875,6.355690560152695,31.83315293925957,4197,4.8846059844279175,61766,43944,17822,20.74182698462577,71.88529264574095,51.14346566111519,71424,75494,-4070,-4.736799227215065,83.12558919032156,87.86238841753664,14499,10430,4069,4.735635394481105,16.874410809678434,12.138775415197328,47112.44921875,2025-12-01,2025-12-01,47289.328125,0.003754398448459373,2025-12-02,2025-12-02,47474.4609375,0.007683992761003067,2025-12-03,2025-12-03,47882.8984375,0.016353410436648952,2025-12-04,2025-12-04,47850.94140625,0.01567509649245946,2025-12-05,2025-12-05,47954.98828125,0.01788357592253309,0.003754398448459373,0.003914896232203535,0.008603309904618106,-0.0006673996832441409,0.002174395569705778,0.014076329325095394,0.022145203794911472,-3.6846634988520357,-3830.0,-3.9814396102223224,-0.2967761113702849,4.227999097179467,4136.0,0.3748432997300455,-3.8531557974494106,0.5421717655934684,305.0,-0.925281990719995,-1.4674537563134606,-0.5433355983274284,-306.0,0.9252819907199896,1.4686175890474171,0.007683992761003067,0.009505764424825758,0.021264283997387556,0.028229501109670485,0.04376870265597099,0.0710901369869148,,5.0,DJIA x $5,235562.24609375,1286405425.9179688,6443098555.15625,-5156693129.238281,-902203402.5390625,-3095994600.4101562,14549737692.226562,10351547342.34375,4198190349.8828125,974285449.84375,2502848864.7460938,16824797865.0,17783536206.601562,-958738341.6015625,71846485.05859375,-593381297.9101562,3415417006.1132812,2456914226.7578125,958502779.3554688,-72082047.3046875,592910173.4179688
noncommercial,highest_short_oi_pct,2023-10-24,DJIA Consolidated - CHICAGO BOARD OF TRADE,104581,25159,61119,-35960,-34.38483089662559,24.056951071418325,58.441781968043905,495,0.47331733297635326,68034,28385,39649,37.91224027308976,65.05388168022873,27.141641407138966,93688,89999,3689,3.527409376464176,89.5841500846234,86.05674070815923,10893,14582,-3689,-3.527409376464176,10.415849915376597,13.943259291840773,33141.37890625,2023-10-30,2023-10-30,32928.9609375,-0.006409448724233435,2023-10-31,2023-10-31,33052.87109375,-0.0026706134572845874,2023-11-01,2023-11-01,33274.578125,0.0040191212057527625,2023-11-02,2023-11-02,33839.078125,0.021052208501150416,2023-11-03,2023-11-03,34061.3203125,0.027758090840224847,-0.006409448724233435,0.003762953725906737,0.0067076481985832714,0.016964903292819633,0.006567619445158934,0.03438794734972794,-0.02518613994212371,2.082845222437321,-749.0,5.247787287421804,3.16494206498448,-3.7804912553813566,-607.0,-4.560013135107766,-0.7795218797264134,-1.6976460329440304,-1356.0,0.8887050486849688,2.5863510816289903,1.6976460329440304,1356.0,-0.8887050486849635,-2.5863510816289956,-0.0026706134572845874,0.030512389333906098,0.05088262372154895,0.05874559902161591,0.14374991233697765,0.16180112828644977,0.29520533066609866,5.0,DJIA x $5,165706.89453125,4169019759.5117188,10127839686.855469,-5958819927.34375,-124114464.00390625,-2376568281.3671875,11273702862.539062,4703590201.269531,6570112661.269531,-100584084.98046875,3343468010.9570312,15524747534.84375,14913454800.917969,611292733.9257812,-224698548.984375,966899729.5898438,1805045202.1289062,2416337936.0546875,-611292733.9257812,224698548.984375,-966899729.5898438
noncommercial,lowest_short_oi_pct,2019-09-17,DJIA Consolidated - CHICAGO BOARD OF TRADE,59753,25230,3326,21904,36.65757367830904,42.2238213980888,5.56624771977976,821,1.3739895904808126,25346,46707,-21361,-35.74883269459274,42.417953910263925,78.16678660485667,51397,50854,543,0.9087409837162987,86.01576489883354,85.10702391511722,8356,8900,-544,-0.9104145398557395,13.984235101166467,14.894649641022209,27110.80078125,2019-09-23,2019-09-23,26949.990234375,-0.005931604461725026,2019-09-24,2019-09-24,26807.76953125,-0.011177510116542888,2019-09-25,2019-09-25,26970.7109375,-0.005167307483107897,2019-09-26,2019-09-26,26891.119140625,-0.008103104087465174,2019-09-27,2019-09-27,26820.25,-0.010717159688287237,-0.005931604461725026,-0.005277207965129316,0.006078141117263014,-0.0029510455641840183,-0.002635410607286226,-0.004814110626634505,0.007483291028034689,-8.231894916379154,1943.0,-11.44744043653013,-3.2155455201509753,6.399277139666367,-2619.0,14.032859345755412,7.633582206089045,-1.8348666354169911,-677.0,3.208289692500756,5.043156327917728,1.8309442205733428,675.0,-3.210538551204957,-5.041482771778295,-0.011177510116542888,-0.019835700283774682,-0.03492193854357806,-0.0031721674580516,0.042653088130091055,-0.2166450179493442,0.0326363959244218,5.0,DJIA x $5,135554.00390625,3420027518.5546875,450852616.9921875,2969174901.5625,263381429.58984375,486367766.015625,3435751783.0078125,6331320860.449219,-2895569077.4414062,-355015936.23046875,-527982845.21484375,6967069138.769531,6893463314.6484375,73605824.12109375,-91770060.64453125,-41615079.19921875,1132689256.640625,1206430634.765625,-73741378.125,91498952.63671875,41479525.1953125
noncommercial,latest,2026-08-25,DJIA Consolidated - CHICAGO BOARD OF TRADE,88454,25680,10123,15557,17.58767268862912,29.032039252040608,11.444366563411492,645,0.7291925746715807,46333,67503,-21170,-23.933343884957154,52.380898546136976,76.31424243109413,72658,78271,-5613,-6.345671196328034,82.14213037284917,88.48780156917721,15796,10183,5613,6.345671196328034,17.857869627150833,11.512198430822801,53577.3984375,2026-08-31,,,,2026-09-01,,,,2026-09-02,,,,2026-09-03,,,,2026-09-04,,,,,,,,,,0.004386672144148562,-3.1876425942518942,-4063.0,0.18378799990960104,3.3714305941615006,4.715837067827184,5886.0,3.224300106932837,-1.4915369608943507,1.5271355890042972,1822.0,1.3227654918148488,-0.20437009718943955,-1.5271355890042972,-1822.0,-1.3217066072438541,0.2054289817604431,,,,,,,,5.0,DJIA x $5,267886.9921875,6879337959.375,2711820021.9140625,4167517937.4609375,-1088424849.2578125,-1073155290.703125,12412008009.023438,18083175633.632812,-5671167624.609375,1576782836.015625,953945579.1796875,19464133078.359375,20967782765.507812,-1503649687.1484375,488090099.765625,-119209711.5234375,4231542928.59375,2727893241.4453125,1503649687.1484375,-488090099.765625,119209711.5234375
commercial,highest_net_oi_pct,2022-06-28,DJIA Consolidated - CHICAGO BOARD OF TRADE,33380,4506,17042,-12536,-37.55542240862792,13.499101258238467,51.054523666866395,356,1.066506890353505,23545,8707,14838,44.45176752546435,70.53624925104853,26.08448172558418,28406,26105,2301,6.89334931096465,85.09886159376873,78.20551228280408,4974,7275,-2301,-6.89334931096465,14.901138406231276,21.794487717195928,30946.990234375,2022-07-04,2022-07-05,30967.8203125,0.0006730889811010776,2022-07-05,2022-07-05,30967.8203125,0.0006730889811010776,2022-07-06,2022-07-06,31037.6796875,0.0029304773239067217,2022-07-07,2022-07-07,31384.55078125,0.014139033992034866,2022-07-08,2022-07-08,31338.150390625,0.012639683319365602,0.0006730889811010776,0.0,0.002255869941605315,0.011175806221419782,-0.001478446862228866,0.011958545173278434,0.01365007605162094,-0.6494186997730296,201.0,-1.4377323068982975,-0.7883136071252679,2.53011708503783,370.0,0.7547239844745945,-1.7753931005632495,1.8748050365093887,569.0,0.1921624746217674,-1.6826425618876328,-1.8748050365093887,-569.0,-0.19216247462176028,1.6826425618876293,0.0006730889811010776,0.0011096343615302207,0.028437678113765408,0.02632077697882962,-0.05855173592898488,0.07414512177104249,0.09628555230437841,5.0,DJIA x $5,154734.951171875,697235689.9804688,2636993037.8710938,-1939757347.890625,31101725.185546875,80926379.46289062,3643234425.341797,1347277219.8535156,2295957205.4882812,57251931.93359375,-6189398.046875,4395401022.988281,4039355900.341797,356045122.6464844,88044187.21679688,74427511.51367188,769651647.1289062,1125696769.7753906,-356045122.6464844,-88044187.21679688,-74582246.46484375
commercial,lowest_net_oi_pct,2017-08-22,DJIA Consolidated - CHICAGO BOARD OF TRADE,76255,50578,4499,46079,60.4275129499705,66.32745393744672,5.899940987476231,1201,1.5749786899219724,14542,60498,-45956,-60.266212051668745,19.07022490328503,79.33643695495377,66321,66197,124,0.1626122877188381,86.97265753065373,86.81004524293489,9935,10058,-123,-0.1613008983017507,13.02865385876336,13.189954757065111,21899.890625,2017-08-28,2017-08-28,21808.400390625,-0.004177657137271695,2017-08-29,2017-08-29,21865.369140625,-0.0015763313601023787,2017-08-30,2017-08-30,21892.4296875,-0.000340683779099904,2017-08-31,2017-08-31,21948.099609375,0.0022013344815505764,2017-09-01,2017-09-01,21987.560546875,0.0040032127728948375,-0.004177657137271695,0.0026122388153002607,0.0012375984462444922,0.00254288458017915,0.0017979204670250937,0.008215190157963903,-0.004504734459136683,2.9808444408834163,2427.0,-0.032581331744069075,-3.013425772627471,-3.734173676683554,-2999.0,0.1985758054130251,3.9327494820965683,-0.7520178463830477,-571.0,-0.3080615397135631,0.4439563066694774,0.7546452503815766,573.0,0.3093729291306584,-0.44527232125091665,-0.0015763313601023787,-0.006693187680018364,0.009998622995405881,0.02150285425226861,0.07721223279511236,0.1399486156109513,0.17910584599095447,5.0,DJIA x $5,109499.453125,5538263340.15625,492638039.609375,5045625300.546875,265755172.734375,1219823907.8125,1592341047.34375,6624497915.15625,-5032156867.8125,-328388859.921875,-1409038962.8125,7262113230.703125,7248535298.515625,13577932.1875,-62524187.734375,-189215055.0,1087877066.796875,1101345499.53125,-13468432.734375,62743186.640625,189324554.453125
commercial,highest_long_oi_pct,2025-09-30,DJIA Consolidated - CHICAGO BOARD OF TRADE,78830,8387,23116,-14729,-18.68451097297983,10.639350501078269,29.3238614740581,720,0.9133578586832425,58021,44377,13644,17.308131422047442,73.60268933147279,56.29455790942535,67128,68213,-1085,-1.3763795509323862,85.1553976912343,86.53177724216668,11702,10617,1085,1.3763795509323862,14.844602308765698,13.468222757833312,46397.890625,2025-10-06,2025-10-06,46694.96875,0.006402836874655815,2025-10-07,2025-10-07,46602.98046875,0.004420240683085996,2025-10-08,2025-10-08,46601.78125,0.004394394276409974,2025-10-09,2025-10-09,46358.421875,-0.0008506582835628995,2025-10-10,2025-10-10,45479.6015625,-0.019791612293797,0.006402836874655815,-0.001969982713608709,-2.5732662116029204e-05,-0.005222104573524233,-0.018957080007374616,-0.0260277974273192,0.002270534890361553,-18.713955872611127,-14752.0,-6.281225082698871,12.432730789912256,17.10201712462835,13483.0,15.236497197101627,-1.8655199275267194,-1.6119387479827754,-1269.0,-0.39867850704509067,1.2132602409376858,1.6119387479827754,1269.0,0.39867850704509067,-1.213260240937684,0.004420240683085996,-0.0027464543276314313,0.011354991555717842,0.028201292151953217,0.042440894235156845,-0.0012151178747686897,,5.0,DJIA x $5,231989.453125,1945695543.359375,5362668198.4375,-3416972655.078125,-3422308412.5,-2326390235.9375,13460260059.765625,10294995961.328125,3165264098.4375,3127913796.484375,1922032619.140625,15572988009.375,15824696566.015625,-251708556.640625,-294394616.015625,-403893637.890625,2714740580.46875,2463032023.828125,251708556.640625,294394616.015625,403893637.890625
