category,extreme,date,contract,open_interest,noncommercial_long,noncommercial_short,noncommercial_net,noncommercial_net_oi_pct,noncommercial_long_oi_pct,noncommercial_short_oi_pct,noncommercial_spreading,noncommercial_spreading_oi_pct,commercial_long,commercial_short,commercial_net,commercial_net_oi_pct,commercial_long_oi_pct,commercial_short_oi_pct,total_reportable_long,total_reportable_short,total_reportable_net,total_reportable_net_oi_pct,total_reportable_long_oi_pct,total_reportable_short_oi_pct,nonreportable_long,nonreportable_short,nonreportable_net,nonreportable_net_oi_pct,nonreportable_long_oi_pct,nonreportable_short_oi_pct,price,next_week_monday_target,next_week_monday_date,next_week_monday_price,next_week_monday_return,next_week_tuesday_target,next_week_tuesday_date,next_week_tuesday_price,next_week_tuesday_return,next_week_wednesday_target,next_week_wednesday_date,next_week_wednesday_price,next_week_wednesday_return,next_week_thursday_target,next_week_thursday_date,next_week_thursday_price,next_week_thursday_return,next_week_friday_target,next_week_friday_date,next_week_friday_price,next_week_friday_return,next_week_monday_daily_return,next_week_tuesday_daily_return,next_week_wednesday_daily_return,next_week_thursday_daily_return,next_week_friday_daily_return,next_week_mon_fri_return,price_return_1w,noncommercial_net_oi_pct_change,noncommercial_net_change,noncommercial_long_oi_pct_change,noncommercial_short_oi_pct_change,commercial_net_oi_pct_change,commercial_net_change,commercial_long_oi_pct_change,commercial_short_oi_pct_change,total_reportable_net_oi_pct_change,total_reportable_net_change,total_reportable_long_oi_pct_change,total_reportable_short_oi_pct_change,nonreportable_net_oi_pct_change,nonreportable_net_change,nonreportable_long_oi_pct_change,nonreportable_short_oi_pct_change,forward_return_1w,forward_return_2w,forward_return_3w,forward_return_4w,forward_return_13w,forward_return_26w,forward_return_52w,contract_multiplier,contract_unit,contract_notional_usd,noncommercial_long_notional_usd,noncommercial_short_notional_usd,noncommercial_net_notional_usd,noncommercial_net_flow_1w_notional_usd,noncommercial_net_flow_4w_notional_usd,commercial_long_notional_usd,commercial_short_notional_usd,commercial_net_notional_usd,commercial_net_flow_1w_notional_usd,commercial_net_flow_4w_notional_usd,total_reportable_long_notional_usd,total_reportable_short_notional_usd,total_reportable_net_notional_usd,total_reportable_net_flow_1w_notional_usd,total_reportable_net_flow_4w_notional_usd,nonreportable_long_notional_usd,nonreportable_short_notional_usd,nonreportable_net_notional_usd,nonreportable_net_flow_1w_notional_usd,nonreportable_net_flow_4w_notional_usd
noncommercial,highest_net_oi_pct,2024-10-15,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,455216,94562,68225,26337,5.785605075392781,20.77299567677762,14.987390601384837,11814,2.5952514850093142,317476,356491,-39015,-8.570656567431726,69.74183684229025,78.31249340972197,423852,436530,-12678,-2.785051492038944,93.11008400407718,95.89513549611613,31364,18686,12678,2.785051492038944,6.889915995922815,4.104864503883871,2249.820068359375,2024-10-21,2024-10-21,2239.7099609375,-0.0044937404390954505,2024-10-22,2024-10-22,2231.530029296875,-0.008129556367517665,2024-10-23,2024-10-23,2213.840087890625,-0.01599238133518277,2024-10-24,2024-10-24,2218.919921875,-0.013734496779961636,2024-10-25,2024-10-25,2207.989990234375,-0.0185926326790673,-0.0044937404390954505,-0.003652228093498744,-0.007927270157248922,0.0022945803593317216,-0.004925789134106795,-0.014162534996204457,0.02498432258088923,4.656396761605028,21330.0,3.0051610865131195,-1.6512356750919093,-4.403162972368038,-20536.0,-2.9722323671060593,1.4309306052619633,0.2532337892369916,794.0,0.29173160628553774,0.03849781704853683,-0.2532337892369916,-794.0,-0.2917316062855342,-0.038497817048543936,-0.008129556367517665,-0.005213741593701693,0.00489817816377025,0.06312950590775324,-0.013592232798998793,-0.16307971894019735,0.10919981339653573,50.0,Russell 2000 Index x $50,112491.00341796875,10637374265.20996,7674698708.190918,2962675557.019043,2399433102.9052734,2626777420.8129883,35713193801.12305,40102030299.4751,-4388836498.352051,-2310115246.1914062,-2622165289.6728516,47679536780.71289,49105697722.0459,-1426160941.3330078,89317856.71386719,4612131.140136719,3528167831.201172,2102006889.868164,1426160941.3330078,-89317856.71386719,-4612131.140136719
noncommercial,lowest_net_oi_pct,2025-08-12,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,424985,54779,150010,-95231,-22.408084991234986,12.889631398755249,35.297716389990235,4951,1.1649822934927117,336951,247224,89727,21.11298045813382,79.28538654305446,58.172406084920645,396681,402185,-5504,-1.2951045331011684,93.34000023530243,94.6351047684036,28304,22800,5504,1.2951045331011684,6.659999764697577,5.364895231596409,2282.780029296875,2025-08-18,2025-08-18,2294.469970703125,0.005120923284864576,2025-08-19,2025-08-19,2276.610107421875,-0.002702810518672938,2025-08-20,2025-08-20,2269.35009765625,-0.0058831475079802464,2025-08-21,2025-08-21,2274.10009765625,-0.003802351312534702,2025-08-22,2025-08-22,2361.949951171875,0.03468136257499377,0.005120923284864576,-0.007783873186092305,-0.003188956133488574,0.0020931102719257133,0.038630601003959875,0.029409833787483075,0.02565973815819156,-0.4691602318688126,-1484.0,0.54657286266076,1.0157330945295726,-0.05203127810388963,-713.0,-0.9198045481699211,-0.8677732700660314,-0.5211915099727062,-2197.0,-0.3835113219079318,0.13768018806477755,0.5211915099727062,2197.0,0.3835113219079336,-0.1376801880647731,-0.002702810518672938,0.0332139178485491,0.030414639496390894,0.04338571294274263,0.07572778403012448,0.17390637080203164,0.32606737326324486,50.0,Russell 2000 Index x $50,114139.00146484375,6252420361.242676,17121991609.74121,-10869571248.498535,-169382278.17382812,-2581367657.1289062,38459250682.58057,28217900498.14453,10241350184.436035,-81381108.0444336,2752576159.326172,45276773240.07568,45904994304.13818,-628221064.0625,-250763386.21826172,171208502.19726562,3230590297.4609375,2602369233.3984375,628221064.0625,250763386.21826172,-171208502.19726562
noncommercial,highest_long_oi_pct,2026-01-27,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,416547,101563,89236,12327,2.959329919552896,24.382122545595095,21.4227926260422,10094,2.4232559591114566,271946,298327,-26381,-6.333258911959515,65.28579007891067,71.61904899087018,383603,397657,-14054,-3.373928992406619,92.09116858361722,95.46509757602384,32944,18890,14054,3.373928992406619,7.908831416382784,4.534902423976166,2666.699951171875,2026-02-02,2026-02-02,2640.280029296875,-0.009907347042695913,2026-02-03,2026-02-03,2648.5,-0.006824896503214384,2026-02-04,2026-02-04,2624.550048828125,-0.015806016093121933,2026-02-05,2026-02-05,2577.64990234375,-0.033393351505103586,2026-02-06,2026-02-06,2670.340087890625,0.0013650342315978392,-0.009907347042695913,0.0031132950338279564,-0.009042836009769628,-0.01786978552964391,0.03595918338739312,0.0113851781857226,0.008066895576949396,-2.013933017871978,-8236.0,1.8093181651185937,3.823251182990571,1.3224170604786973,5273.0,-0.27648635643788566,-1.5989034169165706,-0.6915159573932805,-2963.0,-0.09353118976470398,0.5979847676285601,0.6915159573932805,2963.0,0.09353118976471464,-0.5979847676285663,-0.006824896503214384,0.004901214459328784,-0.007541104604742888,-0.005388635133307784,0.03350586841124947,0.10766119282751863,,50.0,Russell 2000 Index x $50,133334.99755859375,13541902357.043457,11898281842.138672,1643620514.9047852,-1098147039.8925781,2127759891.040039,36259919246.069336,39777429816.6626,-3517510570.5932617,703075442.1264648,-1746021793.0297852,51147705068.46924,53021595124.157715,-1873890055.6884766,-395071597.7661133,381738098.0102539,4392588159.5703125,2518698103.881836,1873890055.6884766,395071597.7661133,-381738098.0102539
noncommercial,lowest_long_oi_pct,2022-08-09,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,544205,28422,141289,-112867,-20.739794746465027,5.222664253360406,25.962458999825433,7481,1.37466579689639,488823,371360,117463,21.584329434679947,89.82332025615347,68.23899082147352,524726,520130,4596,0.844534688214919,96.42065030641027,95.57611561819535,19479,24075,-4596,-0.844534688214919,3.579349693589732,4.42388438180465,1912.8900146484373,2022-08-15,2022-08-15,2021.3499755859373,0.056699527995305754,2022-08-16,2022-08-16,2020.530029296875,0.056270885322291075,2022-08-17,2022-08-17,1987.31005859375,0.038904507512414366,2022-08-18,2022-08-18,2000.72998046875,0.04592002945681983,2022-08-19,2022-08-19,1957.3499755859373,0.023242298614680745,0.056699527995305754,-0.0004056429114035476,-0.016441216028194927,0.006752807301994901,-0.02168208869077337,-0.03166200844633449,0.016170450352537946,0.8355969970634689,7087.0,-0.3034735655382512,-1.1390705626017237,-0.6258019378972861,-6020.0,0.27916727113252193,0.9049692090298151,0.20979505916618302,1067.0,-0.10366009547757926,-0.31345515464377627,-0.20979505916618302,-1067.0,0.10366009547758326,0.3134551546437656,0.056270885322291075,0.003267307556701571,-0.029954701205681,-0.06303031927401948,-0.05434706655448063,0.031219761850291627,0.018051236104769552,50.0,Russell 2000 Index x $50,95644.50073242186,2718407999.816894,13513515863.983152,-10795107864.166258,677832576.6906737,469710143.09692377,46753231781.52465,35518541791.99218,11234689989.532469,-575779894.4091796,-625036812.2863768,50187156291.32079,49747574165.95458,439582125.3662109,102052682.28149413,-155326669.1894531,1863059229.7668455,2302641355.133056,-439582125.3662109,-102052682.28149413,155326669.1894531
noncommercial,highest_short_oi_pct,2025-08-12,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,424985,54779,150010,-95231,-22.408084991234986,12.889631398755249,35.297716389990235,4951,1.1649822934927117,336951,247224,89727,21.11298045813382,79.28538654305446,58.172406084920645,396681,402185,-5504,-1.2951045331011684,93.34000023530243,94.6351047684036,28304,22800,5504,1.2951045331011684,6.659999764697577,5.364895231596409,2282.780029296875,2025-08-18,2025-08-18,2294.469970703125,0.005120923284864576,2025-08-19,2025-08-19,2276.610107421875,-0.002702810518672938,2025-08-20,2025-08-20,2269.35009765625,-0.0058831475079802464,2025-08-21,2025-08-21,2274.10009765625,-0.003802351312534702,2025-08-22,2025-08-22,2361.949951171875,0.03468136257499377,0.005120923284864576,-0.007783873186092305,-0.003188956133488574,0.0020931102719257133,0.038630601003959875,0.029409833787483075,0.02565973815819156,-0.4691602318688126,-1484.0,0.54657286266076,1.0157330945295726,-0.05203127810388963,-713.0,-0.9198045481699211,-0.8677732700660314,-0.5211915099727062,-2197.0,-0.3835113219079318,0.13768018806477755,0.5211915099727062,2197.0,0.3835113219079336,-0.1376801880647731,-0.002702810518672938,0.0332139178485491,0.030414639496390894,0.04338571294274263,0.07572778403012448,0.17390637080203164,0.32606737326324486,50.0,Russell 2000 Index x $50,114139.00146484375,6252420361.242676,17121991609.74121,-10869571248.498535,-169382278.17382812,-2581367657.1289062,38459250682.58057,28217900498.14453,10241350184.436035,-81381108.0444336,2752576159.326172,45276773240.07568,45904994304.13818,-628221064.0625,-250763386.21826172,171208502.19726562,3230590297.4609375,2602369233.3984375,628221064.0625,250763386.21826172,-171208502.19726562
noncommercial,lowest_short_oi_pct,2024-12-17,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,569474,72290,72706,-416,-0.07304986707031401,12.694170409887018,12.767220276957334,31950,5.610440511770511,417352,439632,-22280,-3.9123823036697023,73.28727913829253,77.19966144196223,521592,544288,-22696,-3.985432170740016,91.59189005995006,95.57732223069007,47882,25186,22696,3.985432170740016,8.40810994004994,4.422677769309924,2334.080078125,2024-12-23,2024-12-23,2237.43994140625,-0.04140395080034376,2024-12-24,2024-12-24,2259.85009765625,-0.03180267085282695,2024-12-25,2024-12-26,2280.18994140625,-0.02308838382359213,2024-12-26,2024-12-26,2280.18994140625,-0.02308838382359213,2024-12-27,2024-12-27,2244.590087890625,-0.03834058268740448,-0.04140395080034376,0.010015981137761809,0.009000527854079676,0.0,-0.015612670185567779,0.003195681972085085,-0.0204341757732156,0.3411468850280332,1741.0,-1.5348417971076636,-1.875988682135695,0.7538119828346272,2020.0,-1.6266458992002413,-2.380457882034861,1.09495886786266,3761.0,0.09934156897425339,-0.9956172988884049,-1.09495886786266,-3761.0,-0.09934156897424984,0.9956172988884116,-0.03180267085282695,-0.04452296516711862,-0.03610845664069007,-0.049201434418170265,-0.12173538490890334,-0.0994482234619668,0.07935459131801292,50.0,Russell 2000 Index x $50,116704.00390625,8436532442.3828125,8485081308.0078125,-48548865.625,203181670.80078125,-415582957.91015625,48706649438.28125,51306814645.3125,-2600165207.03125,235742087.890625,592389523.828125,60871874805.46875,63520588878.125,-2648714072.65625,438923758.69140625,176806565.91796875,5588021115.0390625,2939307042.3828125,2648714072.65625,-438923758.69140625,-176806565.91796875
noncommercial,latest,2026-09-01,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,424663,63898,135561,-71663,-16.875263444189866,15.046754720802141,31.922018164992004,14843,3.4952421096257504,318961,250860,68101,16.036480691748515,75.10920423959705,59.072723547848526,397702,401264,-3562,-0.8387827524413477,93.65120107002494,94.48998382246629,26961,23399,3562,0.8387827524413477,6.348798929975062,5.510016177533715,2920.1298828125,2026-09-07,,,,2026-09-08,,,,2026-09-09,,,,2026-09-10,,,,2026-09-11,,,,,,,,,,-0.029863634173685205,-4.386643589468315,-20085.0,-0.854940194452098,3.5317033950162156,5.645923791022122,25188.0,1.1167102928658181,-4.529213498156317,1.2592802015538096,5103.0,0.5918790361266275,-0.6674011654271794,-1.2592802015538096,-5103.0,-0.5918790361266337,0.6674011654271776,,,,,,,,50.0,Russell 2000 Index x $50,146006.494140625,9329522962.597656,19792786352.197266,-10463263389.59961,-2932540434.814453,-5392895867.578125,46570377377.58789,36627189120.11719,9943188257.470703,3677611574.4140625,6393916391.40625,58067074732.71484,58587149864.84375,-520075132.12890625,745071139.5996094,1001020523.828125,3936481088.5253906,3416405956.3964844,520075132.12890625,-745071139.5996094,-1001020523.828125
commercial,highest_net_oi_pct,2022-08-16,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,527821,32034,148499,-116465,-22.065245604096845,6.069102972409207,28.134348576506053,6321,1.1975650836173628,466874,348507,118367,22.42559504074298,88.45309299933122,66.02749795858823,505229,503327,1902,0.3603494366461357,95.71976105535778,95.35941161871165,22592,24494,-1902,-0.3603494366461357,4.280238944642218,4.640588381288353,2020.530029296875,2022-08-22,2022-08-22,1915.739990234375,-0.051862648682814094,2022-08-23,2022-08-23,1919.1400146484373,-0.050179909814911494,2022-08-24,2022-08-24,1935.2900390625,-0.04218694550362001,2022-08-25,2022-08-25,1964.6400146484373,-0.0276610660757598,2022-08-26,2022-08-26,1899.8299560546875,-0.059736837113076646,-0.051862648682814094,0.0017747838597064192,0.008415240311177241,0.015165672841552569,-0.032988261518916095,-0.008304902680316806,0.056270885322291075,-1.325450857631818,-3598.0,0.846438719048801,2.17188957668062,0.8412656060630326,904.0,-1.3702272568222469,-2.2114928628852937,-0.4841852515687832,-2694.0,-0.7008892510524873,-0.21670399948369834,0.4841852515687832,2694.0,0.7008892510524865,0.21670399948370278,-0.050179909814911494,-0.0816320772693292,-0.11294565272421486,-0.09352005675143016,-0.06499783533071346,-0.039900419171321366,-0.06175608750556272,50.0,Russell 2000 Index x $50,101026.50146484375,3236282947.9248047,15002334441.027832,-11766051493.103027,-363493352.2705078,-1593794087.109375,47166646844.89746,35208442946.0083,11958203898.88916,91327957.32421875,1262730241.809082,51041518308.58154,50849365902.79541,192152405.7861328,-272165394.94628906,-331063845.30029297,2282390721.09375,2474543126.879883,-192152405.7861328,272165394.94628906,331063845.30029297
commercial,lowest_net_oi_pct,2024-10-15,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,455216,94562,68225,26337,5.785605075392781,20.77299567677762,14.987390601384837,11814,2.5952514850093142,317476,356491,-39015,-8.570656567431726,69.74183684229025,78.31249340972197,423852,436530,-12678,-2.785051492038944,93.11008400407718,95.89513549611613,31364,18686,12678,2.785051492038944,6.889915995922815,4.104864503883871,2249.820068359375,2024-10-21,2024-10-21,2239.7099609375,-0.0044937404390954505,2024-10-22,2024-10-22,2231.530029296875,-0.008129556367517665,2024-10-23,2024-10-23,2213.840087890625,-0.01599238133518277,2024-10-24,2024-10-24,2218.919921875,-0.013734496779961636,2024-10-25,2024-10-25,2207.989990234375,-0.0185926326790673,-0.0044937404390954505,-0.003652228093498744,-0.007927270157248922,0.0022945803593317216,-0.004925789134106795,-0.014162534996204457,0.02498432258088923,4.656396761605028,21330.0,3.0051610865131195,-1.6512356750919093,-4.403162972368038,-20536.0,-2.9722323671060593,1.4309306052619633,0.2532337892369916,794.0,0.29173160628553774,0.03849781704853683,-0.2532337892369916,-794.0,-0.2917316062855342,-0.038497817048543936,-0.008129556367517665,-0.005213741593701693,0.00489817816377025,0.06312950590775324,-0.013592232798998793,-0.16307971894019735,0.10919981339653573,50.0,Russell 2000 Index x $50,112491.00341796875,10637374265.20996,7674698708.190918,2962675557.019043,2399433102.9052734,2626777420.8129883,35713193801.12305,40102030299.4751,-4388836498.352051,-2310115246.1914062,-2622165289.6728516,47679536780.71289,49105697722.0459,-1426160941.3330078,89317856.71386719,4612131.140136719,3528167831.201172,2102006889.868164,1426160941.3330078,-89317856.71386719,-4612131.140136719
commercial,highest_long_oi_pct,2022-08-09,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,544205,28422,141289,-112867,-20.739794746465027,5.222664253360406,25.962458999825433,7481,1.37466579689639,488823,371360,117463,21.584329434679947,89.82332025615347,68.23899082147352,524726,520130,4596,0.844534688214919,96.42065030641027,95.57611561819535,19479,24075,-4596,-0.844534688214919,3.579349693589732,4.42388438180465,1912.8900146484373,2022-08-15,2022-08-15,2021.3499755859373,0.056699527995305754,2022-08-16,2022-08-16,2020.530029296875,0.056270885322291075,2022-08-17,2022-08-17,1987.31005859375,0.038904507512414366,2022-08-18,2022-08-18,2000.72998046875,0.04592002945681983,2022-08-19,2022-08-19,1957.3499755859373,0.023242298614680745,0.056699527995305754,-0.0004056429114035476,-0.016441216028194927,0.006752807301994901,-0.02168208869077337,-0.03166200844633449,0.016170450352537946,0.8355969970634689,7087.0,-0.3034735655382512,-1.1390705626017237,-0.6258019378972861,-6020.0,0.27916727113252193,0.9049692090298151,0.20979505916618302,1067.0,-0.10366009547757926,-0.31345515464377627,-0.20979505916618302,-1067.0,0.10366009547758326,0.3134551546437656,0.056270885322291075,0.003267307556701571,-0.029954701205681,-0.06303031927401948,-0.05434706655448063,0.031219761850291627,0.018051236104769552,50.0,Russell 2000 Index x $50,95644.50073242186,2718407999.816894,13513515863.983152,-10795107864.166258,677832576.6906737,469710143.09692377,46753231781.52465,35518541791.99218,11234689989.532469,-575779894.4091796,-625036812.2863768,50187156291.32079,49747574165.95458,439582125.3662109,102052682.28149413,-155326669.1894531,1863059229.7668455,2302641355.133056,-439582125.3662109,-102052682.28149413,155326669.1894531
