category,extreme,date,contract,open_interest,noncommercial_long,noncommercial_short,noncommercial_net,noncommercial_net_oi_pct,noncommercial_long_oi_pct,noncommercial_short_oi_pct,noncommercial_spreading,noncommercial_spreading_oi_pct,commercial_long,commercial_short,commercial_net,commercial_net_oi_pct,commercial_long_oi_pct,commercial_short_oi_pct,total_reportable_long,total_reportable_short,total_reportable_net,total_reportable_net_oi_pct,total_reportable_long_oi_pct,total_reportable_short_oi_pct,nonreportable_long,nonreportable_short,nonreportable_net,nonreportable_net_oi_pct,nonreportable_long_oi_pct,nonreportable_short_oi_pct,price,next_week_monday_target,next_week_monday_date,next_week_monday_price,next_week_monday_return,next_week_tuesday_target,next_week_tuesday_date,next_week_tuesday_price,next_week_tuesday_return,next_week_wednesday_target,next_week_wednesday_date,next_week_wednesday_price,next_week_wednesday_return,next_week_thursday_target,next_week_thursday_date,next_week_thursday_price,next_week_thursday_return,next_week_friday_target,next_week_friday_date,next_week_friday_price,next_week_friday_return,next_week_monday_daily_return,next_week_tuesday_daily_return,next_week_wednesday_daily_return,next_week_thursday_daily_return,next_week_friday_daily_return,next_week_mon_fri_return,price_return_1w,noncommercial_net_oi_pct_change,noncommercial_net_change,noncommercial_long_oi_pct_change,noncommercial_short_oi_pct_change,commercial_net_oi_pct_change,commercial_net_change,commercial_long_oi_pct_change,commercial_short_oi_pct_change,total_reportable_net_oi_pct_change,total_reportable_net_change,total_reportable_long_oi_pct_change,total_reportable_short_oi_pct_change,nonreportable_net_oi_pct_change,nonreportable_net_change,nonreportable_long_oi_pct_change,nonreportable_short_oi_pct_change,forward_return_1w,forward_return_2w,forward_return_3w,forward_return_4w,forward_return_13w,forward_return_26w,forward_return_52w,contract_multiplier,contract_unit,contract_notional_usd,noncommercial_long_notional_usd,noncommercial_short_notional_usd,noncommercial_net_notional_usd,noncommercial_net_flow_1w_notional_usd,noncommercial_net_flow_4w_notional_usd,commercial_long_notional_usd,commercial_short_notional_usd,commercial_net_notional_usd,commercial_net_flow_1w_notional_usd,commercial_net_flow_4w_notional_usd,total_reportable_long_notional_usd,total_reportable_short_notional_usd,total_reportable_net_notional_usd,total_reportable_net_flow_1w_notional_usd,total_reportable_net_flow_4w_notional_usd,nonreportable_long_notional_usd,nonreportable_short_notional_usd,nonreportable_net_notional_usd,nonreportable_net_flow_1w_notional_usd,nonreportable_net_flow_4w_notional_usd
noncommercial,highest_net_oi_pct,2022-02-22,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,474833,92253,44964,47289,9.959080350354755,19.428514867332307,9.469434516977548,13026,2.743280269063018,318727,366635,-47908,-10.089441972230237,67.1240204450828,77.21346241731304,424005,424625,-620,-0.13057222223392223,89.29560498111968,89.4261772033536,50828,50208,620,0.13057222223392223,10.704395018880323,10.5738227966464,4304.76,2022-02-28,2022-02-28,4373.94,0.01607058233211589,2022-03-01,2022-03-01,4306.26,0.00034845148161566364,2022-03-02,2022-03-02,4386.54,0.01899757477768782,2022-03-03,2022-03-03,4363.49,0.013643037010193204,2022-03-04,2022-03-04,4328.87,0.005600776814502995,0.01607058233211589,-0.015473463284818578,0.018642627244987553,-0.005254711002293466,-0.00793401612012401,-0.010304210848799844,-0.037196912595866216,1.364488970053337,8265.0,0.4236850346916263,-0.9408039353617159,-1.0323495182656117,-6784.0,-0.057343844989063086,0.9750056732765557,0.3319288514292845,1480.0,0.4409999019769373,0.10907105054765509,-0.3319288514292845,-1480.0,-0.44099990197693373,-0.10907105054764976,0.00034845148161566364,-0.03114227041693396,-0.009828654791440239,0.04805145931480492,-0.08439030282756765,-0.040891942872541276,-0.07141396965219893,50.0,S&P 500 Index x $50,215238.0,19856351214.0,9677961432.0,10178389782.0,1778942070.0,413041722.0,68602162026.0,78913784130.0,-10311622104.0,-1460174592.0,2134945722.0,91261988190.0,91395435750.0,-133447560.0,318552240.0,2547772206.0,10940117064.0,10806669504.0,133447560.0,-318552240.0,-2547987444.0
noncommercial,lowest_net_oi_pct,2023-05-30,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2533871,178251,596043,-417792,-16.488290051072056,7.034730655191207,23.52302070626326,110564,4.363442337830143,1982320,1547296,435024,17.168356242287,78.23286978697811,61.06451354469111,2271136,2253903,17233,0.6801056565231616,89.63108224530767,88.95097658878451,262736,279969,-17233,-0.6801056565231616,10.368957220000546,11.049062876523706,4205.52,2023-06-05,2023-06-05,4273.79,0.016233426544160823,2023-06-06,2023-06-06,4283.85,0.018625520744164792,2023-06-07,2023-06-07,4267.52,0.01474252886682259,2023-06-08,2023-06-08,4293.93,0.02102237059864165,2023-06-09,2023-06-09,4298.86,0.02219463942627775,0.016233426544160823,0.002353882619408054,-0.0038119915496573897,0.006188606028794119,0.0011481323635922358,0.005865987800055539,0.014458772958186872,-0.4386900827970024,-29262.0,-0.8097163228425748,-0.3710262400455768,-0.24430101925542758,13497.0,0.4825897152004188,0.72689073445585,-0.6829103282224276,-15763.0,0.13344344041277623,0.8163537686351958,0.6829103282224276,15763.0,-0.13340397510456015,-0.8163143033269886,0.018625520744164792,0.038875097490916666,0.043559417146987744,0.04111025509330579,0.06945871140786397,0.08307415016454556,0.26168464304057504,50.0,S&P 500 Index x $50,210276.00000000003,37481907276.00001,125333537868.00002,-87851630592.00002,-6153096312.000001,-15756401232.000002,416834320320.00006,325359213696.00006,91475106624.00002,2838095172.0000005,11057994288.000002,477565393536.00006,473941707228.00006,3623686308.0000005,-3314580588.0000005,-4698196668.000001,55247075136.00001,58870761444.00001,-3623686308.0000005,3314580588.0000005,4698196668.000001
noncommercial,highest_long_oi_pct,2017-03-28,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,634041,127545,83021,44524,7.022258812915884,20.11620699607754,13.093948183161658,20603,3.24947440307488,406277,459010,-52733,-8.316970038215194,64.0774019345752,72.39437197279041,554426,562634,-8208,-1.2945535067921474,87.44324105223478,88.73779455902694,79615,71407,8208,1.2945535067921474,12.556758947765207,11.262205440973059,2358.57,2017-04-03,2017-04-03,2358.84,0.00011447614444337617,2017-04-04,2017-04-04,2360.16,0.0006741372950558322,2017-04-05,2017-04-05,2352.95,-0.002382799747304709,2017-04-06,2017-04-06,2357.49,-0.0004579045777739488,2017-04-07,2017-04-07,2355.54,-0.001284676732087764,0.00011447614444337617,0.0005595970900948988,-0.0030548776354145657,0.0019294927644020188,-0.0008271509105022279,-0.001398992725237913,0.006207284920777267,2.5627744001570667,16751.0,1.409430179037951,-1.153344221119113,-3.2434695524937975,-21136.0,-2.0330535195542296,1.2104160329395768,-0.680376864772831,-4383.0,-0.26519765454203537,0.4151792102308036,0.680537433829568,4384.0,0.2653582235987617,-0.41517921023080717,0.0006741372950558322,-0.0020308915995709276,-0.006944886096236336,0.012736531033634702,0.02578257164298714,0.05862450552665388,0.10771357220688804,50.0,S&P 500 Index x $50,117928.50000000001,15041190532.500002,9790541998.500002,5250648534.000001,1975420303.5000002,2856817912.5000005,47911637194.50001,54130360785.00001,-6218723590.500001,-2492536776.0000005,-4382340988.500001,65382626541.00001,66350583669.00001,-967957128.0000001,-516880615.50000006,-1525405147.5000002,9388877527.500002,8420920399.500001,967957128.0000001,516998544.00000006,1525523076.0000002
noncommercial,lowest_long_oi_pct,2023-05-30,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2533871,178251,596043,-417792,-16.488290051072056,7.034730655191207,23.52302070626326,110564,4.363442337830143,1982320,1547296,435024,17.168356242287,78.23286978697811,61.06451354469111,2271136,2253903,17233,0.6801056565231616,89.63108224530767,88.95097658878451,262736,279969,-17233,-0.6801056565231616,10.368957220000546,11.049062876523706,4205.52,2023-06-05,2023-06-05,4273.79,0.016233426544160823,2023-06-06,2023-06-06,4283.85,0.018625520744164792,2023-06-07,2023-06-07,4267.52,0.01474252886682259,2023-06-08,2023-06-08,4293.93,0.02102237059864165,2023-06-09,2023-06-09,4298.86,0.02219463942627775,0.016233426544160823,0.002353882619408054,-0.0038119915496573897,0.006188606028794119,0.0011481323635922358,0.005865987800055539,0.014458772958186872,-0.4386900827970024,-29262.0,-0.8097163228425748,-0.3710262400455768,-0.24430101925542758,13497.0,0.4825897152004188,0.72689073445585,-0.6829103282224276,-15763.0,0.13344344041277623,0.8163537686351958,0.6829103282224276,15763.0,-0.13340397510456015,-0.8163143033269886,0.018625520744164792,0.038875097490916666,0.043559417146987744,0.04111025509330579,0.06945871140786397,0.08307415016454556,0.26168464304057504,50.0,S&P 500 Index x $50,210276.00000000003,37481907276.00001,125333537868.00002,-87851630592.00002,-6153096312.000001,-15756401232.000002,416834320320.00006,325359213696.00006,91475106624.00002,2838095172.0000005,11057994288.000002,477565393536.00006,473941707228.00006,3623686308.0000005,-3314580588.0000005,-4698196668.000001,55247075136.00001,58870761444.00001,-3623686308.0000005,3314580588.0000005,4698196668.000001
noncommercial,highest_short_oi_pct,2023-04-25,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,453159,41467,114120,-72653,-16.03256252220523,9.150651316646034,25.183213838851266,14159,3.124510381565852,349486,272158,77328,17.064209251057576,77.12215800635097,60.0579487552934,405111,400436,4675,1.0316467288523454,89.39709903146577,88.36545230261343,48048,52722,-4674,-1.0314260557552646,10.602900968534223,11.634327024289489,4071.63,2023-05-01,2023-05-01,4167.87,0.023636725340956843,2023-05-02,2023-05-02,4119.58,0.011776610350154648,2023-05-03,2023-05-03,4090.75,0.004695908027006368,2023-05-04,2023-05-04,4061.22,-0.0025567156151222736,2023-05-05,2023-05-05,4136.25,0.01587079376072964,0.023636725340956843,-0.011586253889876552,-0.006998286233062534,-0.007218725172645657,0.018474744042430657,-0.007586608987324439,-0.020034321170096736,-0.9225253017972079,-3802.0,0.17210572164620963,1.094631023443423,1.2705542772172027,5362.0,-0.31911451024019755,-1.5896687874573985,0.3480289754199918,1560.0,0.0035985574322836555,-0.34443041798770935,-0.34780830232291093,-1559.0,-0.0035985574322783265,0.34420974489063383,0.011776610350154648,0.011675913577608998,0.009399184110540304,0.018162259340853693,0.12177678227147348,0.04323821172356035,0.24533663422265772,50.0,S&P 500 Index x $50,203581.5,8441914060.5,23232720780.0,-14790806719.5,-774016863.0,-5643482761.5,71148884109.0,55406333877.0,15742550232.0,1091604003.0,4709450839.5,82473105046.5,81521361534.0,951743512.5,317587140.0,-934439085.0,9781683912.0,10733223843.0,-951539931.0,-317383558.5,934439085.0
noncommercial,lowest_short_oi_pct,2018-12-18,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,709900,97530,50754,46776,6.58909705592337,13.73855472601775,7.149457670094379,31067,4.376250176081138,484212,552074,-67862,-9.559374559797154,68.20848006761516,77.76785462741232,612809,633895,-21086,-2.970277503873785,86.32328496971404,89.29356247358783,97091,76005,21086,2.970277503873785,13.676715030285955,10.706437526412172,2546.16,2018-12-24,2018-12-24,2351.1,-0.0766094825148459,2018-12-25,2018-12-26,2467.7,-0.030815031262764303,2018-12-26,2018-12-26,2467.7,-0.030815031262764303,2018-12-27,2018-12-27,2488.83,-0.0225162597794325,2018-12-28,2018-12-28,2485.74,-0.023729852012442265,-0.0766094825148459,0.049593807154098,0.0,0.008562629168861635,-0.0012415472330372657,0.05726681127982647,-0.03436767572569588,0.9697673688850115,7786.0,0.7016810276225502,-0.2680863412624612,-1.8984079313229056,-14706.0,-2.5270482488198382,-0.6286403174969166,-0.9286405624378942,-6920.0,-1.6670011851742288,-0.7383606227363373,0.9286405624378942,6920.0,1.6670011851742252,0.738360622736332,-0.0766094825148459,-0.015438935495019956,0.011095139347095273,0.025190875671599722,0.11248703930624959,0.1459413391145883,0.253856788261539,50.0,S&P 500 Index x $50,127308.0,12416349240.0,6461390232.0,5954959008.0,991220088.0,-277658748.0,61644061296.0,70283436792.0,-8639375496.0,-1872191448.0,-347550840.0,78015488172.0,80699904660.0,-2684416488.0,-880971360.0,-625209588.0,12360461028.0,9676044540.0,2684416488.0,880971360.0,625209588.0
noncommercial,latest,2026-07-21,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,1958349,251249,272247,-20998,-1.07222972003458,12.829633533144502,13.90186325317908,40732,2.0799152755714125,1395138,1494650,-99512,-5.081423178401807,71.24051943754662,76.32194261594843,1687119,1807630,-120511,-6.153703961857667,86.15006824626255,92.30377220812021,271230,150719,120511,6.153703961857667,13.84993175373746,7.696227791879792,7509.2,2026-07-27,,,,2026-07-28,,,,2026-07-29,,,,2026-07-30,,,,2026-07-31,,,,,,,,,,-0.004558837370535862,1.0997320975247091,21567.0,-0.11682032395658482,-1.2165524214812962,-0.7468374738039225,-14565.0,0.10181749153210262,0.8486549653360385,0.35284356029950725,7001.0,-0.05260362651300454,-0.40544718681250913,-0.3527925333567703,-7000.0,0.052654653455741496,0.4054471868125109,,,,,,,,50.0,S&P 500 Index x $50,375460.0,94333949540.0,102217858620.0,-7883909080.0,8097545820.0,4189382680.0,523818513480.0,561181289000.0,-37362775520.0,-5468574900.0,-4106406020.0,633445699740.0,678692759800.0,-45247060060.0,2628595460.0,82225740.0,101836015800.0,56588955740.0,45247060060.0,-2628220000.0,-82225740.0
commercial,highest_net_oi_pct,2023-05-16,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2339836,195781,570426,-374645,-16.01159226544083,8.367295827570821,24.378888093011646,96610,4.128921856061707,1798805,1382757,416048,17.78107525484692,76.87739653548368,59.096321280636765,2091196,2049793,41403,1.7694829894060953,89.37361421911622,87.60413122971012,248640,290043,-41403,-1.7694829894060953,10.626385780883789,12.395868770289884,4109.9,2023-05-22,2023-05-22,4192.63,0.02012944353877244,2023-05-23,2023-05-23,4145.58,0.008681476434949875,2023-05-24,2023-05-24,4115.24,0.0012993016861724271,2023-05-25,2023-05-25,4151.28,0.010068371493223705,2023-05-26,2023-05-26,4205.45,0.023248740845276172,0.02012944353877244,-0.011222073018606449,-0.007318638164020563,0.00875769092446621,0.013048987300302572,0.0030577465695755812,-0.0022504533680329786,-0.34685683041488424,-10368.0,-0.24704654526826175,0.09981028514662071,0.6320737028952443,17255.0,0.42070561984078836,-0.21136808305444532,0.28517387021715246,6886.0,0.14288600589036093,-0.14228786432680351,-0.2852168724803614,-6887.0,-0.14292900815355836,0.14228786432680174,0.008681476434949875,0.023265772889851544,0.04232463076960524,0.06304532957006259,0.07979756198447663,0.09387089710211938,0.27659553760432143,50.0,S&P 500 Index x $50,205494.99999999997,40232016594.99999,117219690869.99998,-76987674274.99998,-2130572159.9999998,-62839138029.99999,369645433474.99994,284149649714.99994,85495783759.99998,3545816224.9999995,70707130589.99998,429730322019.99994,421222212534.99994,8508109484.999999,1415038569.9999998,7867992559.999999,51094276799.99999,59602386284.99999,-8508109484.999999,-1415244064.9999998,-7867992559.999999
commercial,lowest_net_oi_pct,2022-01-25,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,475771,92496,47126,45370,9.53610035079902,19.44128582868649,9.905185477887471,9729,2.0448913447856216,316254,374081,-57827,-12.154376790514764,66.47189509238687,78.62627188290165,418480,430937,-12457,-2.618276439715746,87.95828245101109,90.57655889072684,57292,44834,12458,2.6184866248678462,12.041927734141005,9.42344110927316,4356.45,2022-01-31,2022-01-31,4515.55,0.036520561466331536,2022-02-01,2022-02-01,4546.54,0.04363415166018214,2022-02-02,2022-02-02,4589.38,0.0534678465264149,2022-02-03,2022-02-03,4477.44,0.02777261302207057,2022-02-04,2022-02-04,4500.53,0.033072800100999666,0.036520561466331536,0.006862951356977565,0.009422549895085064,-0.024391094221877574,0.005156964694110977,-0.0033262836199356993,-0.0482094596808903,4.114841292279032,20324.0,1.7627777896558463,-2.3520635026231833,-3.993916526789537,-20126.0,-0.9784724432627883,3.0154440835267593,0.12092476548949405,198.0,0.601465508873062,0.4805407433835711,-0.12071458033739368,-197.0,-0.6012553237209683,-0.4805407433835729,0.04363415166018214,0.037895534207898596,0.026310413295228985,-0.01186516544434102,-0.041604976529054594,-0.09994376154896756,-0.07793042500200853,50.0,S&P 500 Index x $50,217822.5,20147709960.0,10265103135.0,9882606825.0,4427024490.0,5382611797.5,68887236915.0,81483258622.5,-12596021707.5,-4383895635.0,-6593922720.0,91154359800.0,93867774682.5,-2713414882.5,43128855.0,-1211310922.5,12479486670.0,9765853965.0,2713632705.0,-42911032.5,1211310922.5
commercial,highest_long_oi_pct,2022-09-20,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,428204,44232,88122,-43890,-10.24978748447002,10.32965595837498,20.579443442845,10604,2.4763897581526564,336388,273649,62739,14.651661357670642,78.55788362556166,63.906222267890996,391224,372374,18850,4.402107406750054,91.36392934208929,86.96182193533923,36981,55830,-18849,-4.401873873200624,8.636304191460145,13.03817806466077,3855.93,2022-09-26,2022-09-26,3655.04,-0.052098974825787736,2022-09-27,2022-09-27,3647.29,-0.05410886608418719,2022-09-28,2022-09-28,3719.04,-0.03550116314352181,2022-09-29,2022-09-29,3640.47,-0.0558775703915787,2022-09-30,2022-09-30,3585.62,-0.07010241368489567,-0.052098974825787736,-0.0021203598319033956,0.019672140136923533,-0.021126419721218426,-0.01506673588849794,-0.018992952197513624,-0.01951844666119129,0.5454542420464268,12311.0,1.3096428583325306,0.7641886162861056,0.4265903350797906,-11318.0,2.2478313598497692,1.8212410247699538,0.9722781106756484,994.0,2.21929296430865,1.2470148536329901,-0.9720445771262183,-993.0,-2.219059430759218,-1.247014853632999,-0.05410886608418719,-0.016857152489801464,-0.06926733628463166,-0.03525738278443846,-0.008897983106539775,0.038107538259252616,0.1524975816469698,50.0,S&P 500 Index x $50,192796.5,8527774788.0,16989613173.0,-8461838385.0,2373517711.5,1651302022.5,64854429042.0,52758569428.5,12095859613.5,-2182070787.0,-567592896.0,75426617916.0,71792403891.0,3634214025.0,191639721.0,1084094719.5,7129807366.5,10763828595.0,-3634021228.5,-191446924.5,-1083709126.5
