market,market_label,horizon,bucket_type,bucket,observations,avg_return_pct,median_return_pct,hit_rate_pct,avg_drawdown_pct,worst_drawdown_pct,volatility_pct,sharpe_like,unconditional_avg_return_pct,diff_vs_unconditional_pct,welch_t_stat_vs_rest,approx_p_value_vs_rest
sp500,S&P 500,1d,regime,Mixed,316,0.039524,0.124451,58.227848,-0.371435,-11.98405,1.310997,0.030148,0.057377,-0.017853,-0.500265,0.616888
sp500,S&P 500,1d,regime,Caution,21,-0.130135,-0.244261,38.095238,-0.459278,-2.95181,1.059813,-0.122791,0.057377,-0.187513,-0.821617,0.411295
sp500,S&P 500,1d,regime,Risk-On,93,0.160382,0.015506,52.688172,-0.3171,-2.140012,1.231182,0.130267,0.057377,0.103005,0.900893,0.367645
sp500,S&P 500,1d,score_sign,Negative,132,0.041393,0.102398,56.060606,-0.323194,-2.99688,0.96083,0.04308,0.057377,-0.015985,-0.197826,0.843181
sp500,S&P 500,1d,score_sign,Zero,187,0.091982,0.123237,57.754011,-0.345038,-7.596968,1.201493,0.076556,0.057377,0.034604,0.497692,0.618701
sp500,S&P 500,1d,score_sign,Positive,111,0.018089,0.039832,53.153153,-0.444368,-11.98405,1.692938,0.010685,0.057377,-0.039289,-0.307504,0.75846
sp500,S&P 500,1d,score_intensity,Mild Negative,111,0.073844,0.125666,59.459459,-0.297449,-2.99688,0.942626,0.078338,0.057377,0.016467,0.187645,0.851155
sp500,S&P 500,1d,score_intensity,Zero,187,0.091982,0.123237,57.754011,-0.345038,-7.596968,1.201493,0.076556,0.057377,0.034604,0.497692,0.618701
sp500,S&P 500,1d,score_intensity,Caution,15,-0.390157,-0.370179,26.666667,-0.559891,-2.95181,0.975844,-0.399815,0.057377,-0.447535,-1.784912,0.074276
sp500,S&P 500,1d,score_intensity,Extreme Negative,6,0.519919,0.46207,66.666667,-0.207744,-0.655962,1.056662,0.49204,0.057377,0.462542,1.076211,0.281833
