market,market_label,horizon,observations,score_return_corr,score_return_ols_slope,score_return_hac_t,score_return_hac_p_value,hac_lags,corr_permutation_p_value,positive_score_observations,negative_score_observations,positive_minus_negative_avg_return_pct,positive_minus_negative_welch_t,positive_minus_negative_bootstrap_ci_low_pct,positive_minus_negative_bootstrap_ci_high_pct,risk_on_observations,caution_observations,risk_on_minus_caution_avg_return_pct,risk_on_minus_caution_welch_t,risk_on_minus_caution_hac_t,risk_on_minus_caution_hac_p_value,minimum_directional_bucket_observations,drift_adjusted_observations,drift_adjusted_accuracy_pct,evidence_grade,extreme_score_observations,mild_score_observations,extreme_avg_abs_return_pct,mild_avg_abs_return_pct,extreme_minus_mild_abs_return_pct
sp500,S&P 500,1d,430,0.027862,0.026655,0.550628,0.581889,1,0.557221,111,132,-0.023304,-0.128647,-0.400457,0.308649,93,21,0.290518,1.099744,1.118433,0.263382,21,218,49.082569,Unclear,40,129,1.076115,0.782881,0.293233
sp500,S&P 500,2d,430,-0.027881,-0.030467,-0.501104,0.616298,1,0.562219,111,132,-0.126158,-0.616032,-0.506306,0.257401,93,21,-0.019153,-0.046212,-0.046225,0.963131,21,218,47.247706,Unclear,40,129,1.684835,0.978496,0.706339
sp500,S&P 500,3d,430,-0.009108,-0.01339,-0.178655,0.858209,1,0.842079,111,132,-0.090087,-0.348893,-0.593395,0.425355,93,21,-0.298869,-0.565683,-0.578482,0.562939,21,218,50.917431,Unclear,40,129,2.286155,1.229352,1.056803
sp500,S&P 500,1w,430,0.008055,0.015295,0.162776,0.870695,1,0.862569,111,132,-0.058255,-0.179186,-0.709944,0.52061,93,21,0.343693,0.581648,0.591267,0.554341,21,218,50.917431,Unclear,40,129,2.67274,1.510503,1.162237
sp500,S&P 500,2w,429,0.056496,0.142447,0.964504,0.334793,1,0.257871,111,131,0.386193,0.970895,-0.3501,1.181393,93,21,1.081883,1.557496,1.340179,0.180187,21,217,54.83871,Unclear,40,128,3.363875,2.211167,1.152708
sp500,S&P 500,4w,427,0.085853,0.323624,1.207891,0.227089,3,0.077461,111,129,0.991272,1.757634,-0.125972,2.101643,93,21,1.963413,1.75974,1.485599,0.137385,21,215,52.093023,Unclear,40,126,5.305703,3.132173,2.17353
sp500,S&P 500,13w,417,0.102593,0.595055,0.900511,0.367849,12,0.037481,110,121,1.759561,1.808389,-0.033289,3.70078,92,21,6.853479,4.254901,2.930976,0.003379,21,206,55.825243,Supported,40,118,8.608391,6.060847,2.547543
sp500,S&P 500,26w,404,0.140622,1.055105,1.116716,0.264116,25,0.006497,109,121,2.759295,2.23685,0.347619,5.149481,92,21,11.78463,6.113039,3.08481,0.002037,21,205,55.609756,Supported,40,117,11.229288,9.973945,1.255342
sp500,S&P 500,52w,377,0.283809,3.188142,2.11964,0.034036,51,0.0005,108,99,9.569159,5.434367,6.23012,13.079523,91,21,19.59302,6.840515,3.504203,0.000458,21,182,70.879121,Supported,40,95,25.113865,18.039053,7.074811
nq,NASDAQ-100,1d,452,0.009067,0.013231,0.180093,0.85708,1,0.83958,114,87,0.218393,0.864562,-0.22917,0.731691,52,0,,,,,0,182,51.648352,Insufficient,20,149,1.037898,1.112322,-0.074423
nq,NASDAQ-100,2d,452,0.002317,0.003968,0.049448,0.960562,1,0.962019,114,87,0.083991,0.316206,-0.431325,0.619246,52,0,,,,,0,182,50.549451,Insufficient,20,149,1.453721,1.468268,-0.014547
nq,NASDAQ-100,3d,452,-0.035548,-0.076412,-0.804613,0.421043,1,0.442779,114,87,-0.117817,-0.331275,-0.813521,0.541543,52,0,,,,,0,182,48.351648,Insufficient,20,149,1.400574,1.933087,-0.532513
nq,NASDAQ-100,1w,452,0.032888,0.092845,0.771563,0.440373,1,0.491254,114,87,0.193206,0.425111,-0.673386,1.057899,52,0,,,,,0,182,53.296703,Insufficient,20,149,1.909994,2.432802,-0.522808
nq,NASDAQ-100,2w,451,0.05244,0.200598,1.170765,0.241693,1,0.272864,114,86,0.511121,0.895339,-0.687945,1.580039,52,0,,,,,0,181,54.143646,Insufficient,20,148,2.193364,3.275172,-1.081808
nq,NASDAQ-100,4w,449,0.029747,0.168853,0.562719,0.573626,3,0.522739,112,86,-0.114453,-0.143491,-1.655812,1.459723,51,0,,,,,0,179,54.748603,Insufficient,20,147,4.549137,4.718006,-0.16887
nq,NASDAQ-100,13w,439,0.071207,0.674459,1.101301,0.270766,12,0.142929,108,83,-0.102913,-0.07779,-2.764276,2.340665,48,0,,,,,0,172,54.069767,Insufficient,20,143,9.464417,8.438063,1.026354
nq,NASDAQ-100,26w,426,-0.013086,-0.167884,-0.180766,0.856551,25,0.798101,107,83,-3.429453,-1.997504,-6.830135,0.022751,47,0,,,,,0,171,52.631579,Insufficient,20,143,13.796389,13.115948,0.680441
nq,NASDAQ-100,52w,399,-0.045207,-0.913553,-0.578336,0.563038,51,0.378811,107,71,-3.950838,-1.528871,-9.02085,1.29483,47,0,,,,,0,159,54.08805,Insufficient,20,131,26.603239,24.568423,2.034816
vix,VIX Futures,1d,452,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
vix,VIX Futures,2d,452,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
vix,VIX Futures,3d,452,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
vix,VIX Futures,1w,452,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
vix,VIX Futures,2w,451,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
vix,VIX Futures,4w,449,,,,,3,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
vix,VIX Futures,13w,439,,,,,12,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
vix,VIX Futures,26w,426,,,,,25,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
vix,VIX Futures,52w,400,,,,,51,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
rty,Russell 2000,1d,134,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
rty,Russell 2000,2d,134,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
rty,Russell 2000,3d,134,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
rty,Russell 2000,1w,134,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
rty,Russell 2000,2w,133,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
rty,Russell 2000,4w,131,,,,,3,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
rty,Russell 2000,13w,121,,,,,12,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
rty,Russell 2000,26w,108,,,,,25,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
rty,Russell 2000,52w,81,,,,,51,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
dow,Dow Jones,1d,452,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
dow,Dow Jones,2d,452,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
dow,Dow Jones,3d,452,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
dow,Dow Jones,1w,452,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
dow,Dow Jones,2w,451,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
dow,Dow Jones,4w,449,,,,,3,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
dow,Dow Jones,13w,439,,,,,12,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
