dataset,market,category,position_change_metric,horizon,pearson_r,observations
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,1d_post_release,0.08016997893016123,527
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,2d_post_release,-0.016947583575080753,527
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,3d_post_release,0.00813804276658253,527
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,1w_post_release,0.04466476875121106,527
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,2w_post_release,0.08573912617412115,526
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,4w_post_release,0.020003461022750867,523
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,13w_post_release,-0.04541468974085119,514
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,1d_post_release,0.05689152689436958,527
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,2d_post_release,-0.027778576021962056,527
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,3d_post_release,-0.014776229966804878,527
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,1w_post_release,0.017592742137714387,527
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,2w_post_release,0.09313822787475574,526
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,4w_post_release,0.05302966902861016,523
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,13w_post_release,-0.01829245999094122,514
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,1d_post_release,-0.011178103884938367,527
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,2d_post_release,-0.031200951350428916,527
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,3d_post_release,-0.044924947458345736,527
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,1w_post_release,-0.03627800041573961,527
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,2w_post_release,0.0568823020368991,526
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,4w_post_release,0.07935585773800174,523
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,13w_post_release,0.0350818297102013,514
tff_disaggregated,sp500,dealer,net_oi_pct_change,1d_post_release,-0.07380590457544617,527
tff_disaggregated,sp500,dealer,net_oi_pct_change,2d_post_release,-0.030168920946391845,527
tff_disaggregated,sp500,dealer,net_oi_pct_change,3d_post_release,-0.03564546387866703,527
tff_disaggregated,sp500,dealer,net_oi_pct_change,1w_post_release,-0.030291465192392,527
tff_disaggregated,sp500,dealer,net_oi_pct_change,2w_post_release,-0.05311875016642111,526
tff_disaggregated,sp500,dealer,net_oi_pct_change,4w_post_release,-0.012266532601228772,523
tff_disaggregated,sp500,dealer,net_oi_pct_change,13w_post_release,0.044623817577503944,514
tff_disaggregated,sp500,dealer,long_oi_pct_change,1d_post_release,-0.0017580885880689589,527
tff_disaggregated,sp500,dealer,long_oi_pct_change,2d_post_release,-0.04566465262344539,527
tff_disaggregated,sp500,dealer,long_oi_pct_change,3d_post_release,-0.012118066603990233,527
tff_disaggregated,sp500,dealer,long_oi_pct_change,1w_post_release,0.0031063491067109873,527
tff_disaggregated,sp500,dealer,long_oi_pct_change,2w_post_release,0.05726125647228699,526
tff_disaggregated,sp500,dealer,long_oi_pct_change,4w_post_release,0.024901830063201888,523
tff_disaggregated,sp500,dealer,long_oi_pct_change,13w_post_release,0.031286765486017054,514
tff_disaggregated,sp500,dealer,short_oi_pct_change,1d_post_release,0.08168053832771496,527
tff_disaggregated,sp500,dealer,short_oi_pct_change,2d_post_release,0.013209230999107572,527
tff_disaggregated,sp500,dealer,short_oi_pct_change,3d_post_release,0.03438940425699763,527
tff_disaggregated,sp500,dealer,short_oi_pct_change,1w_post_release,0.03524191632828532,527
tff_disaggregated,sp500,dealer,short_oi_pct_change,2w_post_release,0.08505408875170058,526
tff_disaggregated,sp500,dealer,short_oi_pct_change,4w_post_release,0.02520989488234005,523
tff_disaggregated,sp500,dealer,short_oi_pct_change,13w_post_release,-0.035496856699551015,514
tff_disaggregated,sp500,lev_money,net_oi_pct_change,1d_post_release,0.046994498824304565,527
tff_disaggregated,sp500,lev_money,net_oi_pct_change,2d_post_release,0.07296468213218686,527
tff_disaggregated,sp500,lev_money,net_oi_pct_change,3d_post_release,0.032067220937600914,527
tff_disaggregated,sp500,lev_money,net_oi_pct_change,1w_post_release,-0.04450772360847032,527
tff_disaggregated,sp500,lev_money,net_oi_pct_change,2w_post_release,-0.033391971651338025,526
tff_disaggregated,sp500,lev_money,net_oi_pct_change,4w_post_release,-0.0019704626299917906,523
tff_disaggregated,sp500,lev_money,net_oi_pct_change,13w_post_release,0.05188877343107976,514
tff_disaggregated,sp500,lev_money,long_oi_pct_change,1d_post_release,0.04719341421763255,527
tff_disaggregated,sp500,lev_money,long_oi_pct_change,2d_post_release,0.04841393946022699,527
tff_disaggregated,sp500,lev_money,long_oi_pct_change,3d_post_release,0.016395588666588964,527
tff_disaggregated,sp500,lev_money,long_oi_pct_change,1w_post_release,0.01108779870292288,527
tff_disaggregated,sp500,lev_money,long_oi_pct_change,2w_post_release,-0.01117481381660754,526
tff_disaggregated,sp500,lev_money,long_oi_pct_change,4w_post_release,0.01611469785332061,523
tff_disaggregated,sp500,lev_money,long_oi_pct_change,13w_post_release,0.04629682703938872,514
tff_disaggregated,sp500,lev_money,short_oi_pct_change,1d_post_release,-0.03000475222228198,527
tff_disaggregated,sp500,lev_money,short_oi_pct_change,2d_post_release,-0.060961199394115706,527
tff_disaggregated,sp500,lev_money,short_oi_pct_change,3d_post_release,-0.029614758543929528,527
tff_disaggregated,sp500,lev_money,short_oi_pct_change,1w_post_release,0.060674314166818046,527
tff_disaggregated,sp500,lev_money,short_oi_pct_change,2w_post_release,0.03425009090477025,526
tff_disaggregated,sp500,lev_money,short_oi_pct_change,4w_post_release,0.011634072003077247,523
tff_disaggregated,sp500,lev_money,short_oi_pct_change,13w_post_release,-0.03700399838789053,514
tff_disaggregated,sp500,other_reportable,net_oi_pct_change,1d_post_release,-0.1546034054384482,527
tff_disaggregated,sp500,other_reportable,net_oi_pct_change,2d_post_release,-0.006573959830417515,527
tff_disaggregated,sp500,other_reportable,net_oi_pct_change,3d_post_release,0.0100706970996373,527
tff_disaggregated,sp500,other_reportable,net_oi_pct_change,1w_post_release,0.027258982021286134,527
tff_disaggregated,sp500,other_reportable,net_oi_pct_change,2w_post_release,-0.05053400234511394,526
tff_disaggregated,sp500,other_reportable,net_oi_pct_change,4w_post_release,-0.017714035246575402,523
tff_disaggregated,sp500,other_reportable,net_oi_pct_change,13w_post_release,-0.059741175314741025,514
tff_disaggregated,sp500,other_reportable,long_oi_pct_change,1d_post_release,-0.13291792985891498,527
tff_disaggregated,sp500,other_reportable,long_oi_pct_change,2d_post_release,-0.036359595706246375,527
tff_disaggregated,sp500,other_reportable,long_oi_pct_change,3d_post_release,-0.005812411205609341,527
tff_disaggregated,sp500,other_reportable,long_oi_pct_change,1w_post_release,0.025435038464539046,527
tff_disaggregated,sp500,other_reportable,long_oi_pct_change,2w_post_release,0.031007296662830187,526
tff_disaggregated,sp500,other_reportable,long_oi_pct_change,4w_post_release,0.03493360674209129,523
tff_disaggregated,sp500,other_reportable,long_oi_pct_change,13w_post_release,-0.019311790207502875,514
tff_disaggregated,sp500,other_reportable,short_oi_pct_change,1d_post_release,0.07989406501713842,527
tff_disaggregated,sp500,other_reportable,short_oi_pct_change,2d_post_release,-0.01931784474287837,527
tff_disaggregated,sp500,other_reportable,short_oi_pct_change,3d_post_release,-0.015908327583413116,527
tff_disaggregated,sp500,other_reportable,short_oi_pct_change,1w_post_release,-0.012607467557175588,527
tff_disaggregated,sp500,other_reportable,short_oi_pct_change,2w_post_release,0.0811525970801222,526
tff_disaggregated,sp500,other_reportable,short_oi_pct_change,4w_post_release,0.046252664961652715,523
tff_disaggregated,sp500,other_reportable,short_oi_pct_change,13w_post_release,0.054555005212435996,514
tff_disaggregated,sp500,non_reportable,net_oi_pct_change,1d_post_release,0.009874928994306297,527
tff_disaggregated,sp500,non_reportable,net_oi_pct_change,2d_post_release,-0.024939919582738935,527
tff_disaggregated,sp500,non_reportable,net_oi_pct_change,3d_post_release,-0.011308117754412345,527
tff_disaggregated,sp500,non_reportable,net_oi_pct_change,1w_post_release,0.019894520072120576,527
tff_disaggregated,sp500,non_reportable,net_oi_pct_change,2w_post_release,0.003868597781994655,526
tff_disaggregated,sp500,non_reportable,net_oi_pct_change,4w_post_release,-0.009593679615992735,523
tff_disaggregated,sp500,non_reportable,net_oi_pct_change,13w_post_release,-0.04752843580672976,514
tff_disaggregated,sp500,non_reportable,long_oi_pct_change,1d_post_release,-0.08889927606262249,527
tff_disaggregated,sp500,non_reportable,long_oi_pct_change,2d_post_release,-0.00390720251052324,527
tff_disaggregated,sp500,non_reportable,long_oi_pct_change,3d_post_release,0.027300285869714395,527
tff_disaggregated,sp500,non_reportable,long_oi_pct_change,1w_post_release,0.00211033588220186,527
tff_disaggregated,sp500,non_reportable,long_oi_pct_change,2w_post_release,-0.07838619418439052,526
tff_disaggregated,sp500,non_reportable,long_oi_pct_change,4w_post_release,-0.05648692764527602,523
tff_disaggregated,sp500,non_reportable,long_oi_pct_change,13w_post_release,0.0027413012789719742,514
tff_disaggregated,sp500,non_reportable,short_oi_pct_change,1d_post_release,-0.10282415715484756,527
tff_disaggregated,sp500,non_reportable,short_oi_pct_change,2d_post_release,0.01594964956510833,527
tff_disaggregated,sp500,non_reportable,short_oi_pct_change,3d_post_release,0.03825234505373785,527
tff_disaggregated,sp500,non_reportable,short_oi_pct_change,1w_post_release,-0.013796892931770832,527
tff_disaggregated,sp500,non_reportable,short_oi_pct_change,2w_post_release,-0.08676298803988818,526
tff_disaggregated,sp500,non_reportable,short_oi_pct_change,4w_post_release,-0.0523444181631078,523
tff_disaggregated,sp500,non_reportable,short_oi_pct_change,13w_post_release,0.04095644685774646,514
tff_disaggregated,nq,asset_mgr,net_oi_pct_change,1d_post_release,0.07863483387243875,549
tff_disaggregated,nq,asset_mgr,net_oi_pct_change,2d_post_release,-0.0125394194792375,549
tff_disaggregated,nq,asset_mgr,net_oi_pct_change,3d_post_release,0.00891600072481131,549
tff_disaggregated,nq,asset_mgr,net_oi_pct_change,1w_post_release,0.02685475884294145,549
tff_disaggregated,nq,asset_mgr,net_oi_pct_change,2w_post_release,0.01914500065645298,548
tff_disaggregated,nq,asset_mgr,net_oi_pct_change,4w_post_release,0.014712852869408743,545
tff_disaggregated,nq,asset_mgr,net_oi_pct_change,13w_post_release,-0.011744532906760544,536
tff_disaggregated,nq,asset_mgr,long_oi_pct_change,1d_post_release,0.018022388794899917,549
tff_disaggregated,nq,asset_mgr,long_oi_pct_change,2d_post_release,-0.038817613558579836,549
tff_disaggregated,nq,asset_mgr,long_oi_pct_change,3d_post_release,-0.0243605206309864,549
tff_disaggregated,nq,asset_mgr,long_oi_pct_change,1w_post_release,0.00939083192469816,549
tff_disaggregated,nq,asset_mgr,long_oi_pct_change,2w_post_release,0.017064421361020068,548
tff_disaggregated,nq,asset_mgr,long_oi_pct_change,4w_post_release,0.006141840078659999,545
tff_disaggregated,nq,asset_mgr,long_oi_pct_change,13w_post_release,-0.02239541802562079,536
tff_disaggregated,nq,asset_mgr,short_oi_pct_change,1d_post_release,-0.10499286539557984,549
tff_disaggregated,nq,asset_mgr,short_oi_pct_change,2d_post_release,-0.04201833872765715,549
tff_disaggregated,nq,asset_mgr,short_oi_pct_change,3d_post_release,-0.05506996159719529,549
tff_disaggregated,nq,asset_mgr,short_oi_pct_change,1w_post_release,-0.030566178325199138,549
tff_disaggregated,nq,asset_mgr,short_oi_pct_change,2w_post_release,-0.004838583257263102,548
tff_disaggregated,nq,asset_mgr,short_oi_pct_change,4w_post_release,-0.015136073816188209,545
tff_disaggregated,nq,asset_mgr,short_oi_pct_change,13w_post_release,-0.016482191949377414,536
tff_disaggregated,nq,dealer,net_oi_pct_change,1d_post_release,-0.030420838557821576,549
tff_disaggregated,nq,dealer,net_oi_pct_change,2d_post_release,0.05910159104433529,549
tff_disaggregated,nq,dealer,net_oi_pct_change,3d_post_release,0.012279524160611897,549
tff_disaggregated,nq,dealer,net_oi_pct_change,1w_post_release,0.01882192838751705,549
