dataset,market,category,position_change_metric,horizon,increase_n,increase_mean_return,increase_median_return,increase_hit_rate,increase_stdev,decrease_n,decrease_mean_return,decrease_median_return,decrease_hit_rate,decrease_stdev,mean_diff_up_minus_down,welch_t,normal_p_approx,mean_diff_pct_points
tff_disaggregated,sp500,other_reportable,net_oi_pct_change,1w_post_release,262,0.005244737801399274,0.005272188871651595,0.6450381679389313,0.0244884724143927,265,0.0003615149542771406,0.0015062781201335973,0.539622641509434,0.02256780202262106,0.004883222847122134,2.3797157996383036,0.01732599486066696,0.4883222847122134
tff_disaggregated,nq,asset_mgr,net_oi_pct_change,1w_post_release,253,0.006303405850798859,0.00782864492274582,0.6205533596837944,0.029004108342780867,296,0.00226354050139032,0.0025359718174398083,0.543918918918919,0.027864794248432512,0.004039865349408539,1.6564361908482845,0.097633517122551,0.40398653494085385
tff_disaggregated,nq,other_reportable,net_oi_pct_change,1w_post_release,277,0.006102907588230602,0.0065062727277525045,0.6028880866425993,0.028895744016501468,272,0.002111265686484447,0.0025891511320265126,0.5551470588235294,0.027879112593059613,0.003991641901746154,1.6472703699798843,0.09950248531754638,0.3991641901746154
legacy,sp500,noncommercial,net_oi_pct_change,1w_post_release,271,0.003582250655036398,0.004149044064975405,0.5977859778597786,0.023307967200062982,256,0.0019497376536530796,0.003721252523400609,0.5859375,0.0240167219744223,0.0016325130013833183,0.7911603014795938,0.42885045411787087,0.16325130013833183
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,1w_post_release,236,0.0036351035063926316,0.005057511219714539,0.6059322033898306,0.02268905840290924,291,0.0021032245338192136,0.003111362239363036,0.5807560137457045,0.024412680755886467,0.001531878972573418,0.7448809053210191,0.45634371939348334,0.1531878972573418
tff_disaggregated,nq,lev_money,net_oi_pct_change,1w_post_release,292,0.0034243742911050034,0.004093539970586368,0.5684931506849316,0.029152534903403898,257,0.004921604574556363,0.005931325215613237,0.5914396887159533,0.02764531328943192,-0.0014972302834513596,-0.6172216118190718,0.5370885626304722,-0.14972302834513596
tff_disaggregated,nq,dealer,net_oi_pct_change,1w_post_release,287,0.0047336046615748155,0.005945681724232488,0.5888501742160279,0.029407242997132294,262,0.003458874545006389,0.003972655836886663,0.5687022900763359,0.027383942147179062,0.0012747301165684263,0.5258987234757071,0.598958575910308,0.12747301165684263
legacy,sp500,commercial,net_oi_pct_change,1w_post_release,260,0.0024364608488354183,0.004291049463707175,0.6,0.024543499952624347,267,0.0031327451166773164,0.003386541461996906,0.5842696629213483,0.022780002965492,-0.0006962842678418981,-0.3373345276211333,0.7358647342011579,-0.06962842678418982
legacy,nq,total_reportable,net_oi_pct_change,1w_post_release,285,0.004413550686900793,0.004554236496336461,0.5754385964912281,0.028947484032509088,264,0.003814044404912576,0.005538715403462513,0.5833333333333334,0.027935361118700375,0.0005995062819882167,0.24689233146871714,0.8049915512545467,0.05995062819882167
tff_disaggregated,nq,non_reportable,net_oi_pct_change,1w_post_release,264,0.003814044404912576,0.005538715403462513,0.5833333333333334,0.027935361118700375,285,0.004413550686900793,0.004554236496336461,0.5754385964912281,0.028947484032509088,-0.0005995062819882167,-0.24689233146871714,0.8049915512545467,-0.05995062819882167
legacy,nq,nonreportable,net_oi_pct_change,1w_post_release,264,0.003814044404912576,0.005538715403462513,0.5833333333333334,0.027935361118700375,285,0.004413550686900793,0.004554236496336461,0.5754385964912281,0.028947484032509088,-0.0005995062819882167,-0.24689233146871714,0.8049915512545467,-0.05995062819882167
tff_disaggregated,sp500,dealer,net_oi_pct_change,1w_post_release,292,0.00299752979842885,0.004610982000229913,0.613013698630137,0.024172929357435518,235,0.002530400279612034,0.002381353789092211,0.5659574468085107,0.02302428657121848,0.00046712951881681605,0.22640599642530979,0.8208856645382215,0.046712951881681605
legacy,nq,commercial,net_oi_pct_change,1w_post_release,269,0.0042573248760808405,0.007222722201967402,0.5947955390334573,0.029634864266569656,280,0.0039983902749925,0.002877968320699753,0.5642857142857143,0.027297415911239402,0.0002589346010883403,0.10636736352883398,0.9152908862765825,0.02589346010883403
legacy,nq,noncommercial,net_oi_pct_change,1w_post_release,275,0.004211553825260531,0.00391793219943759,0.5672727272727273,0.0274329199060353,274,0.004038658272689782,0.006363547056579488,0.5912408759124088,0.02946800310437951,0.00017289555257074887,0.07114495656838628,0.9432823886288759,0.017289555257074887
legacy,sp500,nonreportable,net_oi_pct_change,1w_post_release,273,0.002860171437694241,0.004474875246605503,0.6043956043956044,0.021498377458630376,254,0.002712976237635923,0.002733448293098517,0.5787401574803149,0.02579949111690341,0.00014719520005831814,0.07087270802632967,0.9434990645798136,0.014719520005831814
tff_disaggregated,sp500,non_reportable,net_oi_pct_change,1w_post_release,273,0.002860171437694241,0.004474875246605503,0.6043956043956044,0.021498377458630376,254,0.002712976237635923,0.002733448293098517,0.5787401574803149,0.02579949111690341,0.00014719520005831814,0.07087270802632967,0.9434990645798136,0.014719520005831814
legacy,sp500,total_reportable,net_oi_pct_change,1w_post_release,254,0.002712976237635923,0.002733448293098517,0.5787401574803149,0.02579949111690341,273,0.002860171437694241,0.004474875246605503,0.6043956043956044,0.021498377458630376,-0.00014719520005831814,-0.07087270802632967,0.9434990645798136,-0.014719520005831814
tff_disaggregated,sp500,lev_money,net_oi_pct_change,1w_post_release,262,0.0027841070122157016,0.0036107758177784666,0.5992366412213741,0.023892639449982215,265,0.0027942895458473145,0.003946044466406784,0.5849056603773585,0.023445790308452865,-1.018253363161293e-05,-0.004937391836249662,0.9960605472891189,-0.001018253363161293
