dataset,market,category,position_change_metric,horizon,pearson_r,observations,abs_r
tff_disaggregated,sp500,other_reportable,net_oi_pct_change,1d_post_release,-0.1546034054384482,527,0.1546034054384482
legacy,sp500,noncommercial,net_oi_pct_change,2d_post_release,0.12410820207930788,527,0.12410820207930788
legacy,sp500,noncommercial,net_oi_pct_change,3d_post_release,0.11597905781677326,527,0.11597905781677326
legacy,sp500,commercial,net_oi_pct_change,2d_post_release,-0.10449329407229113,527,0.10449329407229113
legacy,sp500,commercial,net_oi_pct_change,3d_post_release,-0.10235188616290776,527,0.10235188616290776
legacy,sp500,noncommercial,net_oi_pct_change,1d_post_release,0.09170455768774191,527,0.09170455768774191
legacy,sp500,commercial,net_oi_pct_change,1d_post_release,-0.08828787652544476,527,0.08828787652544476
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,2w_post_release,0.08573912617412115,526,0.08573912617412115
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,1d_post_release,0.08016997893016123,527,0.08016997893016123
tff_disaggregated,nq,asset_mgr,net_oi_pct_change,1d_post_release,0.07863483387243875,549,0.07863483387243875
tff_disaggregated,nq,other_reportable,net_oi_pct_change,2d_post_release,-0.07756196190985518,549,0.07756196190985518
tff_disaggregated,nq,non_reportable,net_oi_pct_change,4w_post_release,-0.0773749598672779,545,0.0773749598672779
legacy,nq,nonreportable,net_oi_pct_change,4w_post_release,-0.0773749598672779,545,0.0773749598672779
legacy,nq,total_reportable,net_oi_pct_change,4w_post_release,0.07734502675123425,545,0.07734502675123425
legacy,nq,nonreportable,net_oi_pct_change,2w_post_release,-0.07588188035652427,548,0.07588188035652427
tff_disaggregated,nq,non_reportable,net_oi_pct_change,2w_post_release,-0.07588188035652427,548,0.07588188035652427
legacy,nq,total_reportable,net_oi_pct_change,2w_post_release,0.07587456659672283,548,0.07587456659672283
tff_disaggregated,sp500,dealer,net_oi_pct_change,1d_post_release,-0.07380590457544617,527,0.07380590457544617
tff_disaggregated,nq,other_reportable,net_oi_pct_change,1d_post_release,-0.07327013494343486,549,0.07327013494343486
tff_disaggregated,sp500,lev_money,net_oi_pct_change,2d_post_release,0.07296468213218686,527,0.07296468213218686
legacy,nq,commercial,net_oi_pct_change,4w_post_release,0.06406741740972346,545,0.06406741740972346
legacy,sp500,commercial,net_oi_pct_change,1w_post_release,-0.061612915291970445,527,0.061612915291970445
legacy,nq,total_reportable,net_oi_pct_change,2d_post_release,0.06046226387830346,549,0.06046226387830346
tff_disaggregated,nq,non_reportable,net_oi_pct_change,2d_post_release,-0.060447987408144756,549,0.060447987408144756
legacy,nq,nonreportable,net_oi_pct_change,2d_post_release,-0.060447987408144756,549,0.060447987408144756
