market,market_label,horizon,bucket_type,bucket,observations,avg_return_pct,median_return_pct,hit_rate_pct,avg_drawdown_pct,worst_drawdown_pct,volatility_pct,sharpe_like,unconditional_avg_return_pct,diff_vs_unconditional_pct,welch_t_stat_vs_rest,approx_p_value_vs_rest
sp500,S&P 500,1d,regime,Mixed,198,0.066603,0.066393,52.525253,-0.349904,-7.596968,1.166432,0.057099,0.056561,0.010042,0.151782,0.879359
sp500,S&P 500,1d,regime,Caution,178,0.020072,0.109377,57.865169,-0.314674,-3.351359,0.919644,0.021826,0.056561,-0.036489,-0.533585,0.593629
sp500,S&P 500,1d,regime,Risk-On,49,0.148535,0.274224,65.306122,-0.619473,-11.98405,2.433499,0.061038,0.056561,0.091974,0.295442,0.767656
sp500,S&P 500,1d,score_sign,Negative,223,0.030506,0.106872,57.847534,-0.306253,-3.351359,0.909769,0.033531,0.056561,-0.026055,-0.42697,0.669401
sp500,S&P 500,1d,score_sign,Zero,93,0.070352,-0.019618,49.462366,-0.386093,-7.596968,1.364358,0.051564,0.056561,0.013791,0.111988,0.910833
sp500,S&P 500,1d,score_sign,Positive,109,0.0981,0.131512,58.715596,-0.471982,-11.98405,1.793233,0.054705,0.056561,0.041539,0.307215,0.75868
sp500,S&P 500,1d,score_intensity,Mild Negative,45,0.071777,0.075925,57.777778,-0.272945,-2.697307,0.878429,0.08171,0.056561,0.015216,0.115283,0.908221
sp500,S&P 500,1d,score_intensity,Caution,134,-0.016018,0.112108,56.716418,-0.345641,-3.351359,0.952528,-0.016816,0.056561,-0.072579,-0.907104,0.364352
sp500,S&P 500,1d,score_intensity,Zero,93,0.070352,-0.019618,49.462366,-0.386093,-7.596968,1.364358,0.051564,0.056561,0.013791,0.111988,0.910833
sp500,S&P 500,1d,score_intensity,Extreme Negative,44,0.129982,0.101624,61.363636,-0.220364,-2.99688,0.811527,0.16017,0.056561,0.073421,0.584652,0.558782
sp500,S&P 500,1d,score_intensity,Mild Positive,60,0.056911,0.066393,53.333333,-0.351531,-2.004123,1.031828,0.055155,0.056561,0.00035,0.002711,0.997837
