market,market_label,horizon,observations,score_return_corr,score_return_ols_slope,score_return_hac_t,score_return_hac_p_value,hac_lags,corr_permutation_p_value,positive_score_observations,negative_score_observations,positive_minus_negative_avg_return_pct,positive_minus_negative_welch_t,positive_minus_negative_bootstrap_ci_low_pct,positive_minus_negative_bootstrap_ci_high_pct,risk_on_observations,caution_observations,risk_on_minus_caution_avg_return_pct,risk_on_minus_caution_welch_t,risk_on_minus_caution_hac_t,risk_on_minus_caution_hac_p_value,minimum_directional_bucket_observations,drift_adjusted_observations,drift_adjusted_accuracy_pct,evidence_grade,extreme_score_observations,mild_score_observations,extreme_avg_abs_return_pct,mild_avg_abs_return_pct,extreme_minus_mild_abs_return_pct
sp500,S&P 500,1d,427,-0.000488,-0.000348,-0.007233,0.994229,1,0.993503,109,225,0.061219,0.33604,-0.299526,0.403819,49,180,0.120379,0.339712,0.411797,0.680488,49,309,49.190939,Unclear,54,105,0.826453,0.698984,0.127468
sp500,S&P 500,2d,427,0.007385,0.006009,0.132824,0.894332,1,0.869065,109,225,0.016327,0.079612,-0.393593,0.422231,49,180,0.119355,0.331688,0.390387,0.69625,49,309,50.485437,Unclear,54,105,1.213752,1.070651,0.143101
sp500,S&P 500,3d,427,0.023414,0.025649,0.437919,0.661445,1,0.635182,109,225,0.100734,0.375725,-0.392191,0.588582,49,180,0.353654,0.768841,0.995678,0.319407,49,309,52.10356,Unclear,54,105,1.571142,1.46619,0.104952
sp500,S&P 500,1w,427,0.013652,0.019315,0.250248,0.802395,1,0.77961,109,225,0.21734,0.642354,-0.426833,0.853915,49,180,0.226872,0.38574,0.460362,0.645256,49,309,51.779935,Unclear,54,105,1.706247,1.8965,-0.190253
sp500,S&P 500,2w,426,0.045964,0.086416,0.788485,0.430413,1,0.334333,109,224,0.589908,1.525542,-0.196368,1.30326,49,179,0.814278,1.246097,1.12548,0.260386,49,308,51.948052,Unclear,53,105,2.426392,2.2618,0.164593
sp500,S&P 500,4w,424,0.123673,0.349225,1.746805,0.080671,3,0.009495,109,222,1.744522,2.922709,0.548264,2.881844,49,177,2.417419,2.73872,1.757911,0.078763,49,306,50.980392,Tentative,51,105,3.458835,3.861843,-0.403008
sp500,S&P 500,13w,414,0.155049,0.676498,1.249958,0.211315,12,0.001,107,215,3.800628,4.258273,2.017968,5.546835,49,172,4.076531,3.221229,1.174519,0.240187,49,297,56.228956,Unclear,47,101,7.455186,7.300114,0.155073
sp500,S&P 500,26w,401,0.166965,0.947247,1.141949,0.253475,25,0.001499,105,204,5.094303,4.300869,2.919731,7.425232,49,168,6.735514,4.240187,1.317836,0.187559,49,284,54.929577,Unclear,46,92,10.211592,11.02417,-0.812578
sp500,S&P 500,52w,374,0.301577,2.563447,1.9137,0.055658,51,0.0005,100,183,14.484859,8.884507,11.313503,17.58375,49,153,17.120564,7.102778,1.922655,0.054523,49,258,62.403101,Tentative,42,81,18.210482,21.286407,-3.075925
nq,NASDAQ-100,1d,449,0.03508,0.03808,0.805064,0.420783,1,0.458271,171,109,0.256017,1.282777,-0.112877,0.642879,78,32,0.297644,1.050844,1.077646,0.281192,32,258,53.100775,Unclear,25,170,1.043353,1.041322,0.002032
