avg_adverse_move,avg_directional_return,directional_coverage_pct,directional_hit_rate,directional_n,drift_adjusted_accuracy_pct,drift_adjusted_n,edge_hac_estimable,edge_hac_p,edge_hac_t,evidence_grade,evidence_reason,hac_lags,horizon,market,model,negative_avg_return,negative_n,neutral_avg_return,neutral_n,observations,path_utility,pearson_r,positive_avg_return,positive_minus_negative,positive_n,score_hac_estimable,score_hac_p,score_hac_t,score_slope_pp_per_unit,spearman_r,stability_subperiods,status,subperiod_min_abs_spearman,subperiod_sign_agreement_pct,worst_adverse_move
,,0.0,,0,,0,False,,,Not estimable,continuous HAC not estimable; directional edge HAC not estimable; directional sample 0<20; subperiod stability not estimable; path utility not estimable,1,1w,dow,old_tff,,0,0.21199094766860413,453,453,,nan,,,0,False,,,,nan,0,exploratory_release_aligned_hac,,,
,,0.0,,0,,0,False,,,Not estimable,continuous HAC not estimable; directional edge HAC not estimable; directional sample 0<20; subperiod stability not estimable; path utility not estimable,1,1w,dow,old_legacy,,0,0.21199094766860413,453,453,,nan,,,0,False,,,,nan,0,exploratory_release_aligned_hac,,,
-1.2120251287127428,0.280571245677682,60.9271523178808,54.710144927536234,276,53.359683794466406,253,True,0.6902359059886063,0.3985349431913897,Weak/Mixed,evidence thresholds not met,1,1w,dow,new_structural,0.09938218889876507,13,0.09045366426818972,177,453,-0.14363754937177797,0.07544596655515763,0.2993522139267079,0.19997002502794284,263,True,0.0766711529196455,1.7703361887649094,0.42885467927404053,0.055282365923873554,3,exploratory_release_aligned_hac,0.08382723590834111,100.0,-18.032862372417725
-1.2039385030402658,0.2680107820417585,56.73289183222958,53.69649805447471,257,51.91489361702127,235,True,0.7453068906121516,0.3248337619888271,Weak/Mixed,evidence thresholds not met,1,1w,dow,new_structural_tactical,0.06212721814781874,8,0.13346475927949314,196,453,-0.15336769402233452,0.06793923225008287,0.2786176254213432,0.21649040727352448,249,True,0.10935168041900514,1.601113961726171,0.4214116263475949,0.040474892082409945,3,exploratory_release_aligned_hac,0.07865738893446085,100.0,-18.032862372417725
-0.6428414451043721,0.4856565537104311,52.38095238095239,68.18181818181817,22,60.0,10,False,,,Weak/Mixed,directional edge HAC not estimable,1,1w,dow,new_release_decision,,0,0.23509464810900874,20,42,0.26066204792390085,0.1205153167182183,0.4856565537104311,,22,True,0.41608086529216715,0.8132393102712409,0.7369720474347512,0.05874202764037649,3,exploratory_release_aligned_hac,0.1401662214892363,33.33333333333333,-2.959263146195723
,,0.0,,0,,0,False,,,Not estimable,continuous HAC not estimable; directional edge HAC not estimable; directional sample 0<20; subperiod stability not estimable; path utility not estimable,4,4w,dow,old_tff,,0,0.7708363729273712,450,450,,nan,,,0,False,,,,nan,0,exploratory_release_aligned_hac,,,
,,0.0,,0,,0,False,,,Not estimable,continuous HAC not estimable; directional edge HAC not estimable; directional sample 0<20; subperiod stability not estimable; path utility not estimable,4,4w,dow,old_legacy,,0,0.7708363729273712,450,450,,nan,,,0,False,,,,nan,0,exploratory_release_aligned_hac,,,
-2.70896357722386,1.1664850260443833,60.88888888888889,66.05839416058394,274,60.95617529880478,251,True,0.173783325789421,1.3601472676038635,Tentative,positive but not fully supported,4,4w,dow,new_structural,-0.1575173788467449,11,0.1745730284987748,176,450,0.21834777401603234,0.1747921673682938,1.2086851937978964,1.3662025726446414,263,True,0.009448508346402127,2.595384754037325,1.9186464698568626,0.1716379777919099,3,exploratory_release_aligned_hac,0.20918580374013077,100.0,-28.11873629386124
-2.572198299278414,1.3143713656262352,56.666666666666664,66.66666666666666,255,61.37339055793991,233,True,0.08242948691429101,1.7367603129771745,Tentative,positive but not fully supported,4,4w,dow,new_structural_tactical,-0.3749631499060584,6,0.08313449939230592,195,450,0.4141019608787905,0.1680461533494929,1.3370077081737095,1.711970858079768,249,True,0.012240499100257067,2.5051340532973136,2.0151486710271,0.15336957280060606,3,exploratory_release_aligned_hac,0.20754598063764362,100.0,-28.11873629386124
-1.200787054278947,2.651409698552189,55.00000000000001,90.9090909090909,22,30.0,10,False,,,Weak/Mixed,directional edge HAC not estimable,4,4w,dow,new_release_decision,,0,1.857219289874527,18,40,2.2311342295545575,0.308867814268708,2.651409698552189,,22,True,0.10633570809951778,1.6148845063691668,2.78982352591355,0.32442046425367504,3,exploratory_release_aligned_hac,0.3070307708811843,66.66666666666666,-4.6676523513415
