dataset,dataset_label,player,player_key,source,source_label,source_kind,source_interpretation,target,horizon,n,positive_n,negative_n,positive_avg_return,negative_avg_return,side_edge_pp,positive_hit_rate,negative_hit_rate,positive_avg_drawdown,negative_avg_drawdown,hac_t,hac_p,better_side,abs_side_edge_pp,evidence
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,S&P 500,1w,530,480,50,0.2505075112309504,0.4419001270580448,-0.19139261582709444,61.25000000000001,70.0,-1.0377756558124642,-1.3199137634608413,-0.5303024366383756,0.59590225755726,negative,0.19139261582709444,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,S&P 500,1w,530,109,421,0.29943810636936635,0.2605697343218468,0.03886837204751953,66.05504587155964,61.04513064133017,-0.8591237459449137,-1.1175380395606396,0.21057224504893302,0.8332210719297298,positive,0.03886837204751953,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,S&P 500,4w,527,477,50,1.008657799467693,1.695192678323722,-0.6865348788560288,69.60167714884696,74.0,-2.4838895503822664,-2.704292963052189,-0.7035506051208172,0.48171268155066516,negative,0.6865348788560288,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,S&P 500,4w,527,106,421,0.7723834035048596,1.1496835237310228,-0.3773001202261632,68.86792452830188,70.30878859857482,-2.272616594128934,-2.563260343722764,-0.763899301547579,0.44492725369884717,negative,0.3773001202261632,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,S&P 500,13w,518,468,50,3.2934278992376393,4.775046907440584,-1.4816190082029443,75.85470085470085,84.0,-4.716082142687175,-4.329126015220293,-1.1227811040178803,0.2615304725251132,negative,1.4816190082029443,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,S&P 500,13w,518,98,420,1.9555471075527655,3.781983299226365,-1.8264361916735994,70.40816326530613,78.0952380952381,-5.714917326930396,-4.436954394046271,-1.226078368540971,0.22016918520905865,negative,1.8264361916735994,weak/mixed
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,S&P 500,26w,505,455,50,6.728484919460172,7.371125430241028,-0.6426405107808559,79.12087912087912,86.0,-6.7722450783088055,-4.8526499534418575,-0.3234762925182006,0.7463345590882569,negative,0.6426405107808559,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,S&P 500,26w,505,91,414,6.457166806251955,6.8657360640036265,-0.4085692577516715,79.12087912087912,79.95169082125604,-7.594038827679224,-6.359774094163743,-0.18527376536040346,0.853014313995373,negative,0.4085692577516715,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,NASDAQ-100,1w,530,480,50,0.35415874892273264,0.7965026554320823,-0.4423439065093497,58.75,72.0,-1.4118304119315848,-1.4957048012556264,-0.9846356440076006,0.32480307475163656,negative,0.4423439065093497,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,NASDAQ-100,1w,530,109,421,0.43090831653032036,0.3868226264909997,0.04408569003932067,61.46788990825688,59.61995249406176,-1.2514669319611318,-1.4633110266180016,0.17103187524334604,0.8641987020336279,positive,0.04408569003932067,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,NASDAQ-100,4w,527,477,50,1.4955902460948474,2.389677108156723,-0.8940868620618756,67.9245283018868,72.0,-3.153849047689018,-3.2926022207043752,-0.8002769080827061,0.4235503790730237,negative,0.8940868620618756,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,NASDAQ-100,4w,527,106,421,1.1972231771302473,1.6768996342500524,-0.4796764571198051,64.15094339622641,69.35866983372921,-2.9620855092779776,-3.218610552967731,-0.7014865971443315,0.4829993960595316,negative,0.4796764571198051,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,NASDAQ-100,13w,518,468,50,5.067805319656516,6.210325541800492,-1.1425202221439754,75.85470085470085,84.0,-5.626107130904688,-5.116114533700351,-0.5929257538493262,0.5532308416783095,negative,1.1425202221439754,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,NASDAQ-100,13w,518,98,420,3.7410778652656784,5.513389371174377,-1.7723115059086982,67.3469387755102,78.80952380952381,-6.451494799132853,-5.372803270555695,-1.096598039669269,0.27281714482046904,negative,1.7723115059086982,weak/mixed
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,NASDAQ-100,26w,505,455,50,10.12440778086655,10.875589956223983,-0.7511821753574335,82.41758241758241,84.0,-7.663233083960636,-5.903085136991559,-0.2832163977594499,0.7770109591466196,negative,0.7511821753574335,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,NASDAQ-100,26w,505,91,414,10.569379978421406,10.117322367316744,0.4520576111046619,91.20879120879121,80.67632850241546,-8.433370194304466,-7.281373483985412,0.19606112289897396,0.8445623250819557,positive,0.4520576111046619,none
tff,TFF Detailed,Leveraged Funds,lev_money,combined,Combined SP+NQ-VIX,combined,positive = equity risk-on net long; negative = equity risk-on net short,S&P 500,1w,530,31,499,-0.1771579954880225,0.2962535262602948,-0.47341152174831724,54.83870967741935,62.525050100200396,-2.4834313685789144,-0.9762357325392356,-0.8803269347785064,0.3786822253263468,negative,0.47341152174831724,none
tff,TFF Detailed,Leveraged Funds,lev_money,sp500,S&P 500 only,single,positive = net long S&P 500; negative = net short S&P 500,S&P 500,1w,530,20,510,0.2661220390571215,0.26865915875022744,-0.002537119693105938,65.0,61.96078431372549,-2.1710115276394175,-1.0209956321769345,-0.0036726732030061987,0.9970696373421618,negative,0.002537119693105938,none
tff,TFF Detailed,Leveraged Funds,lev_money,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,S&P 500,1w,530,108,422,0.33337528351810825,0.2519764955540349,0.08139878796407335,61.111111111111114,62.32227488151659,-0.8638263911305224,-1.115722162845802,0.3963014739425492,0.6918826400170395,positive,0.08139878796407335,none
tff,TFF Detailed,Leveraged Funds,lev_money,combined,Combined SP+NQ-VIX,combined,positive = equity risk-on net long; negative = equity risk-on net short,S&P 500,4w,527,31,496,-0.14973590295240347,1.1502645509149199,-1.3000004538673233,48.38709677419355,71.37096774193549,-5.665255239998273,-2.3072722807358956,-0.839500565174296,0.40118847218126036,negative,1.3000004538673233,none
tff,TFF Detailed,Leveraged Funds,lev_money,sp500,S&P 500 only,single,positive = net long S&P 500; negative = net short S&P 500,S&P 500,4w,527,20,507,2.1573571829562175,1.0310498236748549,1.1263073592813626,70.0,70.01972386587771,-3.4867959669218096,-2.4660632038392785,0.7892869006036488,0.42994434105660195,positive,1.1263073592813626,none
tff,TFF Detailed,Leveraged Funds,lev_money,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,S&P 500,4w,527,108,419,1.3055738186353953,1.0140511499991718,0.29152266863622356,73.14814814814815,69.21241050119332,-1.8481206773056795,-2.674064273355459,0.5974636276352157,0.550197883903736,positive,0.29152266863622356,none
tff,TFF Detailed,Leveraged Funds,lev_money,combined,Combined SP+NQ-VIX,combined,positive = equity risk-on net long; negative = equity risk-on net short,S&P 500,13w,518,31,487,1.0156756690007873,3.5905352289039425,-2.574859559903155,41.935483870967744,78.85010266940452,-9.553587573185085,-4.368422030328286,-0.8184835478587591,0.4130811325465795,negative,2.574859559903155,weak/mixed
tff,TFF Detailed,Leveraged Funds,lev_money,sp500,S&P 500 only,single,positive = net long S&P 500; negative = net short S&P 500,S&P 500,13w,518,20,498,1.7825895388836621,3.5028610671437166,-1.7202715282600545,50.0,77.71084337349397,-6.549563994291428,-4.603597316571856,-0.4340694150555356,0.6642380345913952,negative,1.7202715282600545,weak/mixed
