dataset,dataset_label,player,player_key,signal,target,horizon,n,pearson_r,spearman_r,slope_pp_per_unit,hac_t,hac_p,bucket_n,bucket_top_n,bucket_bottom_n,bucket_top_avg,bucket_bottom_avg,bucket_top_minus_bottom,bucket_top_hit,bucket_bottom_hit,bucket_top_avg_drawdown,bucket_bottom_avg_drawdown,abs_spearman,top_minus_bottom_abs,evidence
tff,TFF Detailed,Dealer / Intermediary,dealer,net_z,S&P 500,1w,479,0.015444723261912133,0.05216083891650143,0.016929046678128813,0.32972325009886627,0.7416090842649325,479,144,144,0.23638488697001123,0.22962357112889237,0.006761315841118859,61.80555555555556,61.80555555555556,-1.526421886551886,-1.0594574996096204,0.05216083891650143,0.006761315841118859,none
tff,TFF Detailed,Dealer / Intermediary,dealer,net_z,S&P 500,4w,476,0.051111691945051343,0.07961145928083249,0.10895190249633256,0.6708907608868858,0.5022901225250584,476,143,143,1.3048284924869142,0.4022919063700236,0.9025365861168906,69.23076923076923,65.03496503496503,-3.1313067433392385,-3.0000206970319363,0.07961145928083249,0.9025365861168906,none
tff,TFF Detailed,Dealer / Intermediary,dealer,net_z,S&P 500,13w,467,0.07058949546561293,0.08115318280650831,0.24692955441010161,0.5540833602049317,0.579521797416665,467,140,140,4.304482828397061,2.075106496189793,2.229376332207268,75.0,70.0,-5.059652438136912,-6.739971185672384,0.08115318280650831,2.229376332207268,weak/mixed
tff,TFF Detailed,Dealer / Intermediary,dealer,net_z,S&P 500,26w,454,-0.03979053933072342,-0.03814604160608769,-0.17989709861719583,-0.23828394947633097,0.811660869331172,454,136,136,7.558455855165458,8.2719054666966,-0.713449611531142,75.73529411764706,83.08823529411765,-6.413962455501868,-8.462658247194097,0.03814604160608769,0.713449611531142,none
tff,TFF Detailed,Dealer / Intermediary,dealer,net_z,NASDAQ-100,1w,479,0.0221691326984111,0.051876730636524836,0.031751119865832976,0.4908640490643387,0.623522605830475,479,144,144,0.41193434660633127,0.39463244637326433,0.017301900233066936,61.80555555555556,59.02777777777778,-1.8779543287324256,-1.4040127339752062,0.051876730636524836,0.017301900233066936,none
tff,TFF Detailed,Dealer / Intermediary,dealer,net_z,NASDAQ-100,4w,476,0.06098059503551469,0.0957877490618889,0.16408683992409345,0.7836838566910098,0.43322563726192387,476,143,143,2.026374665322247,0.8524020678568494,1.1739725974653978,68.53146853146853,62.23776223776224,-3.752211104721847,-3.6552196741484253,0.0957877490618889,1.1739725974653978,none
tff,TFF Detailed,Dealer / Intermediary,dealer,net_z,NASDAQ-100,13w,467,0.08625647841155436,0.10967146279752542,0.4030659249798624,0.6361059303639586,0.5247073804528547,467,140,140,6.695208853505807,3.615831095884004,3.0793777576218035,75.0,66.42857142857143,-5.977019688233197,-7.3145484473451186,0.10967146279752542,3.0793777576218035,weak/mixed
tff,TFF Detailed,Dealer / Intermediary,dealer,net_z,NASDAQ-100,26w,454,0.025156882610681424,0.0324266392066958,0.15731439152340643,0.16186167846843744,0.8714147809600953,454,136,136,11.801685590489619,11.720984484363758,0.08070110612586134,72.05882352941177,92.64705882352942,-7.486114025860574,-9.290007822618092,0.0324266392066958,0.08070110612586134,none
tff,TFF Detailed,Dealer / Intermediary,dealer,flow1_z,S&P 500,1w,478,-0.0066262590588679815,0.041703055940896835,-0.00816895293863443,-0.14868215056066822,0.8818044464608622,478,144,144,0.3275597047568015,0.09036403697832099,0.23719566777848053,61.80555555555556,56.94444444444444,-1.2630823474689667,-1.2052850933882195,0.041703055940896835,0.23719566777848053,none
tff,TFF Detailed,Dealer / Intermediary,dealer,flow1_z,S&P 500,4w,475,-0.0362255315326843,-0.0005211091765153763,-0.08717279771075054,-0.8129639931631282,0.41623870263894663,475,143,143,0.8802039086265006,0.8763569303295318,0.003846978296968784,69.23076923076923,67.83216783216784,-3.000626581441498,-2.790443182002766,0.0005211091765153763,0.003846978296968784,none
tff,TFF Detailed,Dealer / Intermediary,dealer,flow1_z,S&P 500,13w,466,0.014427303008686734,0.024790128844302678,0.05847304478511011,0.2751780238661175,0.7831794698661587,466,140,140,3.384080413718126,3.278018287924739,0.10606212579338692,72.14285714285714,77.14285714285715,-5.483801505783823,-4.900380127514385,0.024790128844302678,0.10606212579338692,none
tff,TFF Detailed,Dealer / Intermediary,dealer,flow1_z,S&P 500,26w,453,0.01048086986648272,0.040607610924118735,0.05652123249594917,0.20640515733798362,0.8364744425966525,453,136,136,7.317196196217481,6.172255554821154,1.1449406413963272,77.94117647058823,75.73529411764706,-6.9989506678674065,-7.3516223280646615,0.040607610924118735,1.1449406413963272,none
tff,TFF Detailed,Dealer / Intermediary,dealer,flow1_z,NASDAQ-100,1w,478,-0.023206435391180332,0.0009492663059795316,-0.037381313198515384,-0.5472538058329827,0.5842043752381058,478,144,144,0.32650752209838274,0.2307116762870335,0.09579584581134923,57.638888888888886,59.72222222222222,-1.6678856630629844,-1.536662118118838,0.0009492663059795316,0.09579584581134923,none
