dataset,dataset_label,player,player_key,signal,target,horizon,n,pearson_r,spearman_r,slope_pp_per_unit,hac_t,hac_p,bucket_n,bucket_top_n,bucket_bottom_n,bucket_top_avg,bucket_bottom_avg,bucket_top_minus_bottom,bucket_top_hit,bucket_bottom_hit,bucket_top_avg_drawdown,bucket_bottom_avg_drawdown,abs_spearman,top_minus_bottom_abs,evidence,evidence_rank
tff,TFF Detailed,Other Reportables,other_reportable,flow4_z,NASDAQ-100,13w,463,-0.16611595649287683,-0.16058262137058588,-0.8464275933078619,-3.3201111132708028,0.0008998162675254604,463,139,139,3.2783194439298584,6.291853998088805,-3.0135345541589467,65.46762589928058,79.13669064748201,-7.956171970841653,-5.021717921485186,0.16058262137058588,3.0135345541589467,supported,0
tff,TFF Detailed,Other Reportables,other_reportable,flow4_z,S&P 500,13w,463,-0.1565149827164632,-0.14512288188463054,-0.5970888899002246,-3.222000004759727,0.0012729913302400816,463,139,139,1.9831066022240542,4.354873317393831,-2.3717667151697768,65.46762589928058,82.01438848920863,-7.0874891372719215,-4.075613572058705,0.14512288188463054,2.3717667151697768,supported,0
tff,TFF Detailed,Other Reportables,other_reportable,trend13_z,NASDAQ-100,4w,463,-0.19246972417585942,-0.18664393995815756,-0.5717246825431161,-3.0356569619506044,0.00240012260957005,463,139,139,0.021944694628155827,2.5119154558327157,-2.48997076120456,51.07913669064749,77.6978417266187,-4.976463148677128,-2.117776567978085,0.18664393995815756,2.48997076120456,supported,0
legacy,Legacy,Commercial,commercial,net_z,NASDAQ-100,26w,454,0.28155210427148136,0.3178839365261747,1.8852961371825214,2.0482307735855767,0.040537392446322776,454,136,136,14.22686711673857,2.9899681029913845,11.236899013747184,88.23529411764706,61.029411764705884,-5.232042656662393,-13.710338306780436,0.3178839365261747,11.236899013747184,supported,0
legacy,Legacy,Noncommercial,noncommercial,net_z,NASDAQ-100,13w,467,-0.24003236932684996,-0.2037208012293252,-1.3195763396532494,-2.0467674040545942,0.04068092754944719,467,140,140,2.1912697469450437,6.744329013481151,-4.553059266536107,61.42857142857143,79.28571428571428,-7.642261609485494,-4.63684109044693,0.2037208012293252,4.553059266536107,supported,0
legacy,Legacy,Noncommercial,noncommercial,net_z,NASDAQ-100,26w,454,-0.3141679102025258,-0.3272565751487477,-2.3217176373765245,-2.0306333456868932,0.0422922024595682,454,136,136,2.2398935132165816,13.606086455601526,-11.366192942384945,55.14705882352941,89.70588235294117,-12.541380223380887,-5.069719754696855,0.3272565751487477,11.366192942384945,supported,0
tff,TFF Detailed,Other Reportables,other_reportable,trend13_z,S&P 500,4w,463,-0.16769536575016508,-0.16448092571761297,-0.3954775065948681,-2.625434721499552,0.008653840085573725,463,139,139,-0.2439914353566991,1.7099186623300644,-1.9539100976867636,53.956834532374096,80.57553956834532,-4.194317339657243,-1.672217104001013,0.16448092571761297,1.9539100976867636,tentative,1
tff,TFF Detailed,Non-reportable,non_reportable,trend13_z,NASDAQ-100,4w,463,-0.18649706807466926,-0.15481586820121113,-0.5007391271322569,-2.4333626844754734,0.01495930830003466,463,139,139,1.5518541932720409,2.8814078613550507,-1.3295536680830098,66.90647482014388,75.53956834532374,-2.91163775074544,-3.1541789682653203,0.15481586820121113,1.3295536680830098,tentative,1
legacy,Legacy,Nonreportable,nonreportable,trend13_z,NASDAQ-100,4w,463,-0.18649706807466926,-0.15481586820121113,-0.5007391271322569,-2.4333626844754734,0.01495930830003466,463,139,139,1.5518541932720409,2.8814078613550507,-1.3295536680830098,66.90647482014388,75.53956834532374,-2.91163775074544,-3.1541789682653203,0.15481586820121113,1.3295536680830098,tentative,1
legacy,Legacy,Commercial,commercial,net_z,NASDAQ-100,4w,476,0.1612108640103261,0.13279335964773198,0.4627741941381662,2.225224762094031,0.026066153332444737,476,143,143,1.9421863866627007,0.37501427200080456,1.5671721146618962,68.53146853146853,56.64335664335665,-3.067346737385066,-4.241219247205224,0.13279335964773198,1.5671721146618962,tentative,1
legacy,Legacy,Noncommercial,noncommercial,net_z,NASDAQ-100,4w,476,-0.14620930688262074,-0.11140281335970335,-0.4556467856429192,-2.1477612971444278,0.031732723065905265,476,143,143,0.629342615519676,2.225997624083722,-1.596655008564046,60.83916083916085,71.32867132867133,-3.8999841316183907,-2.810865281443537,0.11140281335970335,1.596655008564046,tentative,1
tff,TFF Detailed,Other Reportables,other_reportable,flow1_z,NASDAQ-100,13w,466,-0.0787081901124308,-0.06570321252506194,-0.4063199512963806,-2.0165822210756232,0.043739129916859014,466,140,140,5.166036648615196,6.215312621315213,-1.0492759727000163,72.14285714285714,78.57142857142857,-6.701526127348992,-5.212099561856233,0.06570321252506194,1.0492759727000163,tentative,1
legacy,Legacy,Commercial,commercial,net_z,NASDAQ-100,13w,467,0.24111729009989566,0.2473267573579123,1.2073018807694884,1.9454992029835925,0.05171492555236303,467,140,140,7.006338431621876,0.7666415616385144,6.239696869983362,81.42857142857143,54.285714285714285,-4.84843922484277,-8.95924065605112,0.2473267573579123,6.239696869983362,tentative,1
tff,TFF Detailed,Non-reportable,non_reportable,trend13_z,NASDAQ-100,13w,454,-0.2288579083711928,-0.16285273789139348,-1.0792310010927728,-1.9323474161859175,0.05331663964183767,454,136,136,4.414528216674821,6.790937801826271,-2.3764095851514497,75.0,72.05882352941177,-5.132454330793356,-5.700484875105043,0.16285273789139348,2.3764095851514497,tentative,1
legacy,Legacy,Nonreportable,nonreportable,trend13_z,NASDAQ-100,13w,454,-0.2288579083711928,-0.16285273789139348,-1.0792310010927728,-1.9323474161859175,0.05331663964183767,454,136,136,4.414528216674821,6.790937801826271,-2.3764095851514497,75.0,72.05882352941177,-5.132454330793356,-5.700484875105043,0.16285273789139348,2.3764095851514497,tentative,1
tff,TFF Detailed,Non-reportable,non_reportable,flow4_z,NASDAQ-100,13w,463,-0.16567780346734254,-0.08411803992536843,-0.8364747233240435,-1.9110737279510397,0.05599510681509032,463,139,139,4.09201521540282,6.514651879861264,-2.4226366644584436,73.38129496402878,73.38129496402878,-5.37222113883071,-6.372830368818416,0.08411803992536843,2.4226366644584436,tentative,1
legacy,Legacy,Nonreportable,nonreportable,flow4_z,NASDAQ-100,13w,463,-0.16567780346734254,-0.08411803992536843,-0.8364747233240435,-1.9110737279510397,0.05599510681509032,463,139,139,4.09201521540282,6.514651879861264,-2.4226366644584436,73.38129496402878,73.38129496402878,-5.37222113883071,-6.372830368818416,0.08411803992536843,2.4226366644584436,tentative,1
tff,TFF Detailed,Leveraged Funds,lev_money,flow4_z,S&P 500,26w,450,0.09442896968308086,0.08580960893634045,0.47488615172306703,1.8986225263499599,0.0576141244461307,450,135,135,8.01134403114258,6.9580627061780245,1.053281324964555,80.74074074074075,82.22222222222221,-7.387682144643695,-6.175470064485176,0.08580960893634045,1.053281324964555,tentative,1
legacy,Legacy,Noncommercial,noncommercial,net_z,S&P 500,13w,467,-0.1815754164860867,-0.15720082976150837,-0.7472576855087887,-1.8475680769558986,0.06466485137338181,467,140,140,1.8220976805205316,4.1786594796128815,-2.3565617990923498,62.857142857142854,80.0,-5.952594309327075,-3.7284900729107946,0.15720082976150837,2.3565617990923498,tentative,1
legacy,Legacy,Noncommercial,noncommercial,net_z,S&P 500,26w,454,-0.26467196578943136,-0.30399553476252134,-1.4141263743454846,-1.76982440258155,0.07675639740884567,454,136,136,1.866238025126554,8.906332503784029,-7.040094478657474,52.20588235294118,92.64705882352942,-10.217740307816744,-4.079527783643026,0.30399553476252134,7.040094478657474,tentative,1
legacy,Legacy,Commercial,commercial,net_z,S&P 500,13w,467,0.18287318506535732,0.1906840819496709,0.6854664223689149,1.766138965520887,0.0773725376708986,467,140,140,4.347117846718337,0.7638363662114397,3.5832814805068973,80.0,55.714285714285715,-3.9147663539323965,-7.003026658969928,0.1906840819496709,3.5832814805068973,tentative,1
tff,TFF Detailed,Non-reportable,non_reportable,trend13_z,S&P 500,13w,454,-0.20185238804935002,-0.1530929495862249,-0.712728421558731,-1.7524489670064929,0.07969663776726761,454,136,136,3.377212321310596,4.7587475374857675,-1.3815352161751715,75.73529411764706,75.0,-4.0033543571313785,-4.44127090691037,0.1530929495862249,1.3815352161751715,tentative,1
legacy,Legacy,Nonreportable,nonreportable,trend13_z,S&P 500,13w,454,-0.20185238804935002,-0.1530929495862249,-0.712728421558731,-1.7524489670064929,0.07969663776726761,454,136,136,3.377212321310596,4.7587475374857675,-1.3815352161751715,75.73529411764706,75.0,-4.0033543571313785,-4.44127090691037,0.1530929495862249,1.3815352161751715,tentative,1
tff,TFF Detailed,Dealer / Intermediary,dealer,trend13_z,S&P 500,13w,454,0.2253838084189408,0.19649616072290163,0.88964363828054,1.7150374583546122,0.08633835947246887,454,136,136,4.633911955869111,1.3845517145678254,3.249360241301286,72.79411764705883,67.64705882352942,-5.42618497727831,-6.254124642639724,0.19649616072290163,3.249360241301286,tentative,1
legacy,Legacy,Commercial,commercial,net_z,S&P 500,26w,454,0.2232418796896458,0.27174836424770776,1.0807597758229242,1.6816865462957393,0.09262963822050894,454,136,136,9.19884115985814,2.3862526578197687,6.812588502038372,91.17647058823529,58.08823529411765,-4.346936075300047,-10.95925329305309,0.27174836424770776,6.812588502038372,tentative,1
tff,TFF Detailed,Leveraged Funds,lev_money,trend26_z,S&P 500,4w,450,0.14908058560172052,0.22295109276259806,0.33986459967992705,1.6501978298747442,0.09890248055621459,450,135,135,2.0460247147288837,-0.12845452283451314,2.174479237563397,76.29629629629629,54.81481481481482,-2.9877178460435854,-3.106913445596856,0.22295109276259806,2.174479237563397,tentative,1
tff,TFF Detailed,Other Reportables,other_reportable,trend13_z,NASDAQ-100,1w,466,-0.09350013553789584,-0.08584621870239044,-0.1476664034161869,-2.3472682341024522,0.01891163464312659,466,140,140,0.10428733294794139,0.7021993176275184,-0.5979119846795771,55.714285714285715,64.28571428571429,-1.9579663197142274,-1.1205096144310325,0.08584621870239044,0.5979119846795771,weak/mixed,2
