category,extreme,date,contract,open_interest,producer_merchant_long,producer_merchant_short,producer_merchant_net,producer_merchant_net_oi_pct,producer_merchant_short_oi_pct,swap_dealer_long,swap_dealer_short,swap_dealer_net,swap_dealer_net_oi_pct,swap_dealer_short_oi_pct,managed_money_long,managed_money_short,managed_money_net,managed_money_net_oi_pct,managed_money_short_oi_pct,other_reportable_long,other_reportable_short,other_reportable_net,other_reportable_net_oi_pct,other_reportable_short_oi_pct,non_reportable_long,non_reportable_short,non_reportable_net,non_reportable_net_oi_pct,non_reportable_short_oi_pct,price,next_week_monday_target,next_week_monday_date,next_week_monday_price,next_week_monday_return,next_week_tuesday_target,next_week_tuesday_date,next_week_tuesday_price,next_week_tuesday_return,next_week_wednesday_target,next_week_wednesday_date,next_week_wednesday_price,next_week_wednesday_return,next_week_thursday_target,next_week_thursday_date,next_week_thursday_price,next_week_thursday_return,next_week_friday_target,next_week_friday_date,next_week_friday_price,next_week_friday_return,next_week_monday_daily_return,next_week_tuesday_daily_return,next_week_wednesday_daily_return,next_week_thursday_daily_return,next_week_friday_daily_return,price_return_1w,managed_money_net_oi_pct_change,managed_money_net_change,non_reportable_net_oi_pct_change,non_reportable_net_change,other_reportable_net_oi_pct_change,other_reportable_net_change,producer_merchant_net_oi_pct_change,producer_merchant_net_change,swap_dealer_net_oi_pct_change,swap_dealer_net_change,forward_return_1w,forward_return_2w,forward_return_3w,forward_return_4w,forward_return_13w,forward_return_26w,forward_return_52w,contract_multiplier,contract_unit,contract_notional_usd,managed_money_long_notional_usd,managed_money_short_notional_usd,managed_money_net_notional_usd,managed_money_net_flow_1w_notional_usd,managed_money_net_flow_4w_notional_usd,non_reportable_long_notional_usd,non_reportable_short_notional_usd,non_reportable_net_notional_usd,non_reportable_net_flow_1w_notional_usd,non_reportable_net_flow_4w_notional_usd,other_reportable_long_notional_usd,other_reportable_short_notional_usd,other_reportable_net_notional_usd,other_reportable_net_flow_1w_notional_usd,other_reportable_net_flow_4w_notional_usd,producer_merchant_long_notional_usd,producer_merchant_short_notional_usd,producer_merchant_net_notional_usd,producer_merchant_net_flow_1w_notional_usd,producer_merchant_net_flow_4w_notional_usd,swap_dealer_long_notional_usd,swap_dealer_short_notional_usd,swap_dealer_net_notional_usd,swap_dealer_net_flow_1w_notional_usd,swap_dealer_net_flow_4w_notional_usd
managed_money,highest_net_oi_pct,2016-09-06,GOLD - COMMODITY EXCHANGE INC.,590656,22474,176277,-153803,-26.039352855130566,29.844274840177697,28000,204170,-176170,-29.826159388882868,34.56665131650233,291692,22157,269535,45.63316041824683,3.751252844295157,78683,40358,38325,6.488548325929136,6.832741900530935,53939,31826,22113,3.743803499837469,5.388246288872034,1349.4000244140625,2016-09-12,2016-09-12,1321.0,-0.021046408700336583,2016-09-13,2016-09-13,1319.0,-0.02252854888398481,2016-09-14,2016-09-14,1321.5,-0.02067587365442447,2016-09-15,2016-09-15,1313.5,-0.026604434389017495,2016-09-16,2016-09-16,1305.800048828125,-0.032310637911000084,-0.021046408700336583,-0.0015140045420136694,0.0018953752843062777,-0.006053726825577033,-0.005862163054339509,0.02874138495507772,4.158441669254174,37941.0,-0.7103671812896124,-2759.0,-1.5249116076666152,-6422.0,-1.730168366647444,-18061.0,-0.19299451365050757,-10699.0,-0.02252854888398481,-0.026456256555715707,-0.01741514715786685,-0.06158290653805287,-0.13472657887868822,-0.09952574951704252,-0.007558969214200628,100.0,100 troy ounces,134940.00244140625,39360919192.13867,2989865634.0942383,36371053558.04443,5119758632.629395,3276748079.284668,7278528791.687012,4294600517.7001953,2983928273.9868164,-372299466.73583984,-591172150.6958008,10617484212.097168,5445908618.530273,5171575593.566895,-866584695.6787109,-387277807.00683594,3032641614.868164,23786818810.36377,-20754177195.495605,-2437151384.0942383,-2293305341.491699,3778320068.359375,27550700298.461914,-23772380230.10254,-1443723086.1206055,-4992780.090332031
managed_money,lowest_net_oi_pct,2018-10-09,GOLD - COMMODITY EXCHANGE INC.,465253,35501,69634,-34133,-7.336438453916472,14.966910476665385,111386,51387,59999,12.895994222498297,11.044958334497574,82218,191672,-109454,-23.525694622065842,41.197370033078776,97528,26249,71279,15.32048154445001,5.641876570382136,47441,35132,12309,2.6456573090340094,7.551160336419109,1187.199951171875,2018-10-15,2018-10-15,1226.4000244140625,0.03301893097577491,2018-10-16,2018-10-16,1227.300048828125,0.03377703782472996,2018-10-17,2018-10-17,1223.699951171875,0.030744610428909747,2018-10-18,2018-10-18,1226.5,0.033103142220762605,2018-10-19,2018-10-19,1225.300048828125,0.03209240163684446,0.03301893097577491,0.0007338750783967285,-0.0029333476028844396,0.00228818251193319,-0.000978353992560077,-0.012641444555521075,-6.21226373398121,-29851.0,-0.17027914697935342,-638.0,2.753274904694999,13498.0,1.0611290572193859,4477.0,2.5681389190461807,12514.0,0.03377703782472996,0.038915157633374164,0.029818081089979298,0.030828924495930332,0.08086253701850232,0.0979616354543531,0.26111860912224727,100.0,100 troy ounces,118719.9951171875,9760920558.544922,22755298904.101562,-12994378345.55664,-3543910574.243164,-4064379032.836914,5632195288.354492,4170870868.4570312,1461324419.897461,-75743356.88476562,561783016.8945312,11578523683.789062,3116281151.8310547,8462242531.958008,1602482494.0917969,433327982.1777344,4214678546.6552734,8266948139.990234,-4052269593.334961,531509418.13964844,738913249.609375,13223745376.123047,6100664389.086914,7123080987.036133,1485662018.8964844,2330354784.1552734
managed_money,highest_short_oi_pct,2018-10-09,GOLD - COMMODITY EXCHANGE INC.,465253,35501,69634,-34133,-7.336438453916472,14.966910476665385,111386,51387,59999,12.895994222498297,11.044958334497574,82218,191672,-109454,-23.525694622065842,41.197370033078776,97528,26249,71279,15.32048154445001,5.641876570382136,47441,35132,12309,2.6456573090340094,7.551160336419109,1187.199951171875,2018-10-15,2018-10-15,1226.4000244140625,0.03301893097577491,2018-10-16,2018-10-16,1227.300048828125,0.03377703782472996,2018-10-17,2018-10-17,1223.699951171875,0.030744610428909747,2018-10-18,2018-10-18,1226.5,0.033103142220762605,2018-10-19,2018-10-19,1225.300048828125,0.03209240163684446,0.03301893097577491,0.0007338750783967285,-0.0029333476028844396,0.00228818251193319,-0.000978353992560077,-0.012641444555521075,-6.21226373398121,-29851.0,-0.17027914697935342,-638.0,2.753274904694999,13498.0,1.0611290572193859,4477.0,2.5681389190461807,12514.0,0.03377703782472996,0.038915157633374164,0.029818081089979298,0.030828924495930332,0.08086253701850232,0.0979616354543531,0.26111860912224727,100.0,100 troy ounces,118719.9951171875,9760920558.544922,22755298904.101562,-12994378345.55664,-3543910574.243164,-4064379032.836914,5632195288.354492,4170870868.4570312,1461324419.897461,-75743356.88476562,561783016.8945312,11578523683.789062,3116281151.8310547,8462242531.958008,1602482494.0917969,433327982.1777344,4214678546.6552734,8266948139.990234,-4052269593.334961,531509418.13964844,738913249.609375,13223745376.123047,6100664389.086914,7123080987.036133,1485662018.8964844,2330354784.1552734
managed_money,lowest_short_oi_pct,2020-03-24,GOLD - COMMODITY EXCHANGE INC.,547334,22853,157635,-134782,-24.625183160556443,28.800513032261836,92974,270015,-177041,-32.34606291587952,49.33276573353748,158965,1556,157409,28.759221974151068,0.2842871080546796,158963,28006,130957,23.926341137221513,5.116802537390332,49816,26359,23457,4.28568296506338,4.815889383813174,1660.199951171875,2020-03-30,2020-03-30,1622.0,-0.0230092472565796,2020-03-31,2020-03-31,1583.4000244140625,-0.04625944405286975,2020-04-01,2020-04-01,1578.199951171875,-0.04939164101415561,2020-04-02,2020-04-02,1625.699951171875,-0.020780629451077726,2020-04-03,2020-04-03,1633.699951171875,-0.015961932766769826,-0.0230092472565796,-0.023797765466052723,-0.0032841184552284686,0.03009758045216593,0.004920957273962578,0.08872708019648767,1.912682792202208,3330.0,0.8369745101258879,3664.0,1.6521763944415326,3120.0,-1.385561258740001,-1404.0,-3.0162724380296275,-8710.0,-0.04625944405286975,0.002770809415457931,0.05812552875446375,0.010842067539692746,0.06740153457725162,0.14359717589786958,0.038850742017232154,100.0,100 troy ounces,166019.9951171875,26391368523.80371,258327112.40234375,26133041411.401367,552846583.7402344,-12192010381.420898,8270452076.7578125,4376121051.293945,3894331025.463867,608297262.109375,-2705959900.415039,26391036483.813477,4649555983.251953,21741480500.561523,517982384.765625,4306226633.349609,3794054948.413086,26170561930.29785,-22376506981.884766,-233092073.14453125,4793495319.018555,15435543026.02539,44827888981.56738,-29392345955.541992,-1446034157.4707031,5798248329.467773
managed_money,latest,2026-09-01,GOLD - COMMODITY EXCHANGE INC.,415196,17444,48733,-31289,-7.535958920606172,11.737348144009095,17798,251227,-233429,-56.221399050087186,60.508049210493354,149721,12950,136771,32.94130964652839,3.1190088536498424,110764,19411,91353,22.002379599032746,4.675141379011358,52030,15436,36594,8.813668725132228,3.7177622135088004,4348.0,2026-09-07,,,,2026-09-08,,,,2026-09-09,,,,2026-09-10,,,,2026-09-11,,,,,,,,,-0.06254718344755972,-0.8814809609391858,-7976.0,0.34295788268777727,343.0,-1.0342806261767983,-7234.0,0.5391514292654271,3269.0,1.0336522751627726,11598.0,,,,,,,,100.0,100 troy ounces,434800.0,65098690800.0,5630660000.0,59468030800.0,-3467964800.0,2610974000.0,22622644000.0,6711572800.0,15911071200.0,149136400.0,3364047600.0,48160187200.0,8439902800.0,39720284400.0,-3145343200.0,10646078000.0,7584651200.0,21189108400.0,-13604457200.0,1421361200.0,-5405868400.0,7738570400.0,109233499600.0,-101494929200.0,5042810400.0,-11215231200.0
non_reportable,highest_net_oi_pct,2026-04-14,GOLD - COMMODITY EXCHANGE INC.,362274,13151,31681,-18530,-5.114913021635557,8.745038285938268,28289,210841,-182552,-50.39058833921286,58.19931874768821,125422,30281,95141,26.262166205689617,8.358590459155225,84587,17202,67385,18.600562005553808,4.748339654515643,51568,13012,38556,10.642773149604995,3.5917565157863938,4825.0,2026-04-20,2026-04-20,4806.60009765625,-0.0038134512629534045,2026-04-21,2026-04-21,4698.39990234375,-0.02623836220854925,2026-04-22,2026-04-22,4732.5,-0.01917098445595855,2026-04-23,2026-04-23,4705.10009765625,-0.024849720693005173,2026-04-24,2026-04-24,4722.2998046875,-0.02128501457253884,-0.0038134512629534045,-0.022510754611198003,0.007257810821773569,-0.0057897310816165115,0.0036555454027040746,0.036052457285220996,0.8922493049042721,5109.0,0.0909481510843797,1110.0,-0.0743591643163164,1112.0,0.32246387233052154,766.0,-1.2313021640028552,-8097.0,-0.02623836220854925,-0.04839378238341974,-0.055792786593264254,-0.03054920255829019,-0.1583212232836787,,,100.0,100 troy ounces,482500.0,60516115000.0,14610582500.0,45905532500.0,2465092500.0,-3330215000.0,24881560000.0,6278290000.0,18603270000.0,535575000.0,-107597500.0,40813227500.0,8299965000.0,32513262500.0,536540000.0,4612217500.0,6345357500.0,15286082500.0,-8940725000.0,369595000.0,-335820000.0,13649442500.0,101730782500.0,-88081340000.0,-3906802500.0,-838585000.0
non_reportable,lowest_net_oi_pct,2016-01-05,GOLD - COMMODITY EXCHANGE INC.,413688,22948,67800,-44852,-10.841987198081645,16.38916284736323,62783,37206,25577,6.182678733731701,8.993734408539769,79732,95659,-15927,-3.850002900736787,23.123465026783467,73800,31313,42487,10.270300322948696,7.569230917986502,33921,41206,-7285,-1.7609889578619635,9.960646670921081,1078.4000244140625,2016-01-11,2016-01-11,1096.5,0.016784101609949253,2016-01-12,2016-01-12,1085.5999755859375,0.006676512434045101,2016-01-13,2016-01-13,1087.5,0.00843840446951205,2016-01-14,2016-01-14,1073.9000244140625,-0.004172848570218712,2016-01-15,2016-01-15,1091.5,0.012147603198595203,0.016784101609949253,-0.00994074273968304,0.0017502067582830794,-0.012505724676724173,0.016388839916025022,,,,,,,,,,,,0.006676512434045101,0.01066394634611445,0.040152008324869204,0.045344977102195205,0.1390949523406224,0.2577893116712868,0.07603857394620683,100.0,100 troy ounces,107840.00244140625,8598299074.658203,10315866793.54248,-1717567718.8842773,,,3658040722.8149414,4443655140.600586,-785614417.7856445,,,7958592180.175781,3376793996.447754,4581798183.728027,,,2474712376.0253906,7311552165.527344,-4836839789.501953,,,6770518873.278809,4012295130.834961,2758223742.4438477,,
non_reportable,highest_short_oi_pct,2016-01-05,GOLD - COMMODITY EXCHANGE INC.,413688,22948,67800,-44852,-10.841987198081645,16.38916284736323,62783,37206,25577,6.182678733731701,8.993734408539769,79732,95659,-15927,-3.850002900736787,23.123465026783467,73800,31313,42487,10.270300322948696,7.569230917986502,33921,41206,-7285,-1.7609889578619635,9.960646670921081,1078.4000244140625,2016-01-11,2016-01-11,1096.5,0.016784101609949253,2016-01-12,2016-01-12,1085.5999755859375,0.006676512434045101,2016-01-13,2016-01-13,1087.5,0.00843840446951205,2016-01-14,2016-01-14,1073.9000244140625,-0.004172848570218712,2016-01-15,2016-01-15,1091.5,0.012147603198595203,0.016784101609949253,-0.00994074273968304,0.0017502067582830794,-0.012505724676724173,0.016388839916025022,,,,,,,,,,,,0.006676512434045101,0.01066394634611445,0.040152008324869204,0.045344977102195205,0.1390949523406224,0.2577893116712868,0.07603857394620683,100.0,100 troy ounces,107840.00244140625,8598299074.658203,10315866793.54248,-1717567718.8842773,,,3658040722.8149414,4443655140.600586,-785614417.7856445,,,7958592180.175781,3376793996.447754,4581798183.728027,,,2474712376.0253906,7311552165.527344,-4836839789.501953,,,6770518873.278809,4012295130.834961,2758223742.4438477,,
non_reportable,lowest_short_oi_pct,2019-12-31,GOLD - COMMODITY EXCHANGE INC.,786166,25430,171537,-146107,-18.584751820862262,21.819437625132608,124486,344870,-220384,-28.0327564407517,43.8673257301893,258357,25625,232732,29.603417090029332,3.2594897260883835,123263,28070,95193,12.10851143397196,3.570492745806865,61010,22444,38566,4.905579737612667,2.85486780145669,1519.5,2020-01-06,2020-01-06,1566.199951171875,0.03073376187685084,2020-01-07,2020-01-07,1571.800048828125,0.03441924898198412,2020-01-08,2020-01-08,1557.4000244140625,0.02494243133534879,2020-01-09,2020-01-09,1551.699951171875,0.02119114917530429,2020-01-10,2020-01-10,1557.5,0.025008226390260013,0.03073376187685084,0.003575595601353454,-0.009161486173001832,-0.0036599930350791343,0.0037378675070167677,0.013608181406372877,0.3747293131463927,13886.0,0.2652320587881931,3822.0,0.5148543821633815,8387.0,-0.26750557818960274,-8959.0,-0.8873101759083681,-17136.0,0.03441924898198412,0.015070763023404155,0.024284320114552393,0.03270809553923981,0.04205332307605292,0.17999341888779208,0.2370516295964955,100.0,100 troy ounces,151950.0,39257346150.0,3893718750.0,35363627400.0,2109977700.0,3763801500.0,9270469500.0,3410365800.0,5860103700.0,580752900.0,985243800.0,18729812850.0,4265236500.0,14464576350.0,1274404650.0,1891777500.0,3864088500.0,26065047150.0,-22200958650.0,-1361320050.0,-2628127200.0,18915647700.0,52402996500.0,-33487348800.0,-2603815200.0,-4012695600.0
non_reportable,latest,2026-09-01,GOLD - COMMODITY EXCHANGE INC.,415196,17444,48733,-31289,-7.535958920606172,11.737348144009095,17798,251227,-233429,-56.221399050087186,60.508049210493354,149721,12950,136771,32.94130964652839,3.1190088536498424,110764,19411,91353,22.002379599032746,4.675141379011358,52030,15436,36594,8.813668725132228,3.7177622135088004,4348.0,2026-09-07,,,,2026-09-08,,,,2026-09-09,,,,2026-09-10,,,,2026-09-11,,,,,,,,,-0.06254718344755972,-0.8814809609391858,-7976.0,0.34295788268777727,343.0,-1.0342806261767983,-7234.0,0.5391514292654271,3269.0,1.0336522751627726,11598.0,,,,,,,,100.0,100 troy ounces,434800.0,65098690800.0,5630660000.0,59468030800.0,-3467964800.0,2610974000.0,22622644000.0,6711572800.0,15911071200.0,149136400.0,3364047600.0,48160187200.0,8439902800.0,39720284400.0,-3145343200.0,10646078000.0,7584651200.0,21189108400.0,-13604457200.0,1421361200.0,-5405868400.0,7738570400.0,109233499600.0,-101494929200.0,5042810400.0,-11215231200.0
