category,extreme,date,contract,open_interest,asset_mgr_long,asset_mgr_short,asset_mgr_net,asset_mgr_net_oi_pct,asset_mgr_short_oi_pct,dealer_long,dealer_short,dealer_net,dealer_net_oi_pct,dealer_short_oi_pct,lev_money_long,lev_money_short,lev_money_net,lev_money_net_oi_pct,lev_money_short_oi_pct,other_reportable_long,other_reportable_short,other_reportable_net,other_reportable_net_oi_pct,other_reportable_short_oi_pct,non_reportable_long,non_reportable_short,non_reportable_net,non_reportable_net_oi_pct,non_reportable_short_oi_pct,price,next_week_monday_target,next_week_monday_date,next_week_monday_price,next_week_monday_return,next_week_tuesday_target,next_week_tuesday_date,next_week_tuesday_price,next_week_tuesday_return,next_week_wednesday_target,next_week_wednesday_date,next_week_wednesday_price,next_week_wednesday_return,next_week_thursday_target,next_week_thursday_date,next_week_thursday_price,next_week_thursday_return,next_week_friday_target,next_week_friday_date,next_week_friday_price,next_week_friday_return,next_week_monday_daily_return,next_week_tuesday_daily_return,next_week_wednesday_daily_return,next_week_thursday_daily_return,next_week_friday_daily_return,price_return_1w,asset_mgr_net_oi_pct_change,asset_mgr_net_change,dealer_net_oi_pct_change,dealer_net_change,lev_money_net_oi_pct_change,lev_money_net_change,non_reportable_net_oi_pct_change,non_reportable_net_change,other_reportable_net_oi_pct_change,other_reportable_net_change,forward_return_1w,forward_return_2w,forward_return_3w,forward_return_4w,forward_return_13w,forward_return_26w,forward_return_52w,contract_multiplier,contract_unit,contract_notional_usd,asset_mgr_long_notional_usd,asset_mgr_short_notional_usd,asset_mgr_net_notional_usd,asset_mgr_net_flow_1w_notional_usd,asset_mgr_net_flow_4w_notional_usd,dealer_long_notional_usd,dealer_short_notional_usd,dealer_net_notional_usd,dealer_net_flow_1w_notional_usd,dealer_net_flow_4w_notional_usd,lev_money_long_notional_usd,lev_money_short_notional_usd,lev_money_net_notional_usd,lev_money_net_flow_1w_notional_usd,lev_money_net_flow_4w_notional_usd,non_reportable_long_notional_usd,non_reportable_short_notional_usd,non_reportable_net_notional_usd,non_reportable_net_flow_1w_notional_usd,non_reportable_net_flow_4w_notional_usd,other_reportable_long_notional_usd,other_reportable_short_notional_usd,other_reportable_net_notional_usd,other_reportable_net_flow_1w_notional_usd,other_reportable_net_flow_4w_notional_usd
asset_mgr,highest_net_oi_pct,2024-06-25,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,252655,109006,21066,87940,34.806356494033366,8.337852011636421,27551,83332,-55781,-22.07793235835428,32.982525578357844,43263,82764,-39501,-15.634363064257585,32.757713087015894,8532,11460,-2928,-1.1588925610021572,4.5358294908076235,44103,33833,10270,4.064831489580654,13.390987710514338,19701.131,2024-07-01,2024-07-01,19812.221,0.005638762566473998,2024-07-02,2024-07-02,20011.891,0.01577371370202041,2024-07-03,2024-07-03,20186.631,0.024643255252706053,2024-07-04,2024-07-05,20391.971,0.035066007124159526,2024-07-05,2024-07-05,20391.971,0.035066007124159526,0.005638762566473998,0.010078122992873917,0.00873180850325439,0.01017207873864634,0.0,-0.01043394802283748,12.676534230343844,11566.0,-13.84074971357771,-27353.0,0.20688543625528233,15170.0,2.5120292596187284,4911.0,-1.5546992126401475,-4294.0,0.01577371370202041,0.038164763231105736,0.03540344968012232,0.002700809410383531,0.012370305034771878,0.10641617478712262,0.12635766951653693,20.0,NASDAQ-100 Index x $20,394022.62,42950829715.72,8300480512.92,34650349202.8,4557265622.92,-1518169154.86,10855717203.619999,32834692969.84,-21978975766.22,-10777700724.86,-3972930077.46,17046600609.06,32610888121.68,-15564287512.619999,5977323145.4,1358984016.3799999,17377579609.86,13330967302.46,4046612307.4,1935045086.82,708058648.14,3361800993.84,4515499225.2,-1153698231.36,-1691933130.28,3424450590.42
asset_mgr,lowest_net_oi_pct,2018-12-04,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,48620,10726,16833,-6107,-12.56067461949815,34.62155491567256,19154,8993,10161,20.898807075277663,18.496503496503497,6531,9576,-3045,-6.262854792266557,19.69559851912793,1303,2001,-698,-1.4356232003290825,4.1155902920608805,6557,6869,-312,-0.6417112299465241,14.127930892636776,6795.21,2018-12-10,2018-12-10,6682.74,-0.016551364858481188,2018-12-11,2018-12-11,6704.24,-0.013387371398382086,2018-12-12,2018-12-12,6763.96,-0.004598827703632402,2018-12-13,2018-12-13,6767.97,-0.004008706132702322,2018-12-14,2018-12-14,6594.96,-0.029469287924876464,-0.016551364858481188,0.0032172432265806794,0.008907795663639861,0.0005928479766290629,-0.0255630565738324,0.014053042512804037,-0.4371337230581549,-270.0,10.426493695142241,5119.0,-10.101179886770772,-4893.0,1.1279061837534718,540.0,-1.0181430358294357,-497.0,-0.013387371398382086,-0.04469177553011605,-0.13183698517043618,-0.06846587522681413,0.053211011874541025,0.054676750240242766,0.21478806394504368,20.0,NASDAQ-100 Index x $20,135904.2,1457708449.2,2287675398.6000004,-829966949.4000001,-36694134.0,-11280048.600000001,2603109046.8,1222186470.6000001,1380922576.2,695693599.8000001,-127070427.00000001,887590330.2,1301418619.2,-413828289.00000006,-664979250.6,-82629753.60000001,891123839.4000001,933525949.8000001,-42402110.400000006,73388268.0,109402881.00000001,177083172.60000002,271944304.20000005,-94861131.60000001,-67544387.4,111441444.00000001
asset_mgr,highest_short_oi_pct,2018-12-04,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,48620,10726,16833,-6107,-12.56067461949815,34.62155491567256,19154,8993,10161,20.898807075277663,18.496503496503497,6531,9576,-3045,-6.262854792266557,19.69559851912793,1303,2001,-698,-1.4356232003290825,4.1155902920608805,6557,6869,-312,-0.6417112299465241,14.127930892636776,6795.21,2018-12-10,2018-12-10,6682.74,-0.016551364858481188,2018-12-11,2018-12-11,6704.24,-0.013387371398382086,2018-12-12,2018-12-12,6763.96,-0.004598827703632402,2018-12-13,2018-12-13,6767.97,-0.004008706132702322,2018-12-14,2018-12-14,6594.96,-0.029469287924876464,-0.016551364858481188,0.0032172432265806794,0.008907795663639861,0.0005928479766290629,-0.0255630565738324,0.014053042512804037,-0.4371337230581549,-270.0,10.426493695142241,5119.0,-10.101179886770772,-4893.0,1.1279061837534718,540.0,-1.0181430358294357,-497.0,-0.013387371398382086,-0.04469177553011605,-0.13183698517043618,-0.06846587522681413,0.053211011874541025,0.054676750240242766,0.21478806394504368,20.0,NASDAQ-100 Index x $20,135904.2,1457708449.2,2287675398.6000004,-829966949.4000001,-36694134.0,-11280048.600000001,2603109046.8,1222186470.6000001,1380922576.2,695693599.8000001,-127070427.00000001,887590330.2,1301418619.2,-413828289.00000006,-664979250.6,-82629753.60000001,891123839.4000001,933525949.8000001,-42402110.400000006,73388268.0,109402881.00000001,177083172.60000002,271944304.20000005,-94861131.60000001,-67544387.4,111441444.00000001
asset_mgr,latest,2026-08-04,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,334748,100767,35515,65252,19.492872250170276,10.609473394911992,78508,59894,18614,5.560600810161674,17.892265226379248,40114,140754,-100640,-30.06440665814284,42.047749351751165,13782,7937,5845,1.7460895957556133,2.371037317624004,55140,44211,10929,3.2648440020552774,13.207248437630694,29733.16,2026-08-10,,,,2026-08-11,,,,2026-08-12,,,,2026-08-13,,,,2026-08-14,,,,,,,,,0.07095845926023259,-4.8178952871058165,-12488.0,11.126997287695946,36414.0,-5.99755986538791,-23680.0,-2.350962062189694,-7029.0,2.0394199269874758,6783.0,,,,,,,,20.0,NASDAQ-100 Index x $20,594663.2,59922426674.399994,21119463548.0,38802963126.399994,-7426154041.599999,-8688029352.0,46685818505.6,35616757700.799995,11069060804.8,21654065764.8,24771290259.199997,23854319604.8,83701224052.79999,-59846904447.99999,-14081624575.999998,-19124963175.199997,32789728847.999996,26290654735.199997,6499074112.799999,-4179887632.7999997,-2474393575.2,8195648222.4,4719841818.4,3475806403.9999995,4033600485.6,5516690506.4
dealer,highest_net_oi_pct,2020-09-22,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,66403,14981,6600,8381,12.62141770703131,9.939309970935048,24992,1988,23004,34.64301311687725,2.993840639730133,12820,9184,3636,5.47565622035149,13.83070042016174,2044,40050,-38006,-57.235365872023856,60.31354005090132,9801,6818,2983,4.492266915651402,10.267608391187146,11186.37,2020-09-28,2020-09-28,11364.45,0.015919373308767693,2020-09-29,2020-09-29,11322.95,0.012209501384273791,2020-09-30,2020-09-30,11418.06,0.020711812679180097,2020-10-01,2020-10-01,11583.2,0.03547442110353938,2020-10-02,2020-10-02,11255.69,0.006196827031467622,0.015919373308767693,-0.00365173853552081,0.008399754480943544,0.014463052392438058,-0.02827457006699363,-0.022073858694084292,0.7646008626296048,120.0,18.791822555253663,11960.0,7.62282944383835,5132.0,-2.681243626452426,-2015.0,-24.502456423600506,-15200.0,0.012209501384273791,0.009377483491069816,0.0801689913707484,0.043934716981469446,0.13443950092836188,0.16371888289051761,0.34340004845182115,20.0,NASDAQ-100 Index x $20,223727.40000000002,3351660179.4000006,1476600840.0000002,1875059339.4,26847288.000000004,-559989682.2,5591395180.8,444770071.20000005,5146625109.6,2675779704.0000005,5222244970.8,2868185268.0000005,2054712441.6000001,813472826.4000001,1148169016.8000002,3396853114.2000003,2192752247.4,1525373413.2,667378834.2,-450810711.00000006,357740112.6,457298805.6,8960282370.0,-8502983564.400001,-3400656480.0000005,-8417519697.600001
dealer,lowest_net_oi_pct,2016-01-05,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,60436,30856,10342,20514,33.943345026143355,17.11231716195645,2504,33856,-31352,-51.876365080415646,56.01959097226818,17575,8370,9205,15.230988152756636,13.849361307829772,2263,1836,427,0.7065325302799655,3.0379244159110463,5008,3802,1206,1.9954993712356872,6.290952412469389,4484.18,2016-01-11,2016-01-11,4283.55,-0.044741736504779084,2016-01-12,2016-01-12,4333.72,-0.03355351480092239,2016-01-13,2016-01-13,4183.12,-0.06713825047165822,2016-01-14,2016-01-14,4272.97,-0.0471011422378228,2016-01-15,2016-01-15,4141.08,-0.07651343166420621,-0.044741736504779084,0.011712248018582727,-0.03475074531811018,0.02147918300216123,-0.030866118882182714,,,,,,,,,,,,-0.03355351480092239,-0.07517762444861731,-0.05582514528854776,-0.06491264846638622,-0.0029949734399601358,-0.016375346217145648,0.09525710386291353,20.0,NASDAQ-100 Index x $20,89683.6,2767277161.6000004,927507791.2,1839769370.4,,,224567734.4,3036327961.6000004,-2811760227.2000003,,,1576189270.0,750651732.0,825537538.0,,,449135468.8,340977047.20000005,108158421.60000001,,,202953986.8,164659089.60000002,38294897.2,,
dealer,highest_short_oi_pct,2016-01-05,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,60436,30856,10342,20514,33.943345026143355,17.11231716195645,2504,33856,-31352,-51.876365080415646,56.01959097226818,17575,8370,9205,15.230988152756636,13.849361307829772,2263,1836,427,0.7065325302799655,3.0379244159110463,5008,3802,1206,1.9954993712356872,6.290952412469389,4484.18,2016-01-11,2016-01-11,4283.55,-0.044741736504779084,2016-01-12,2016-01-12,4333.72,-0.03355351480092239,2016-01-13,2016-01-13,4183.12,-0.06713825047165822,2016-01-14,2016-01-14,4272.97,-0.0471011422378228,2016-01-15,2016-01-15,4141.08,-0.07651343166420621,-0.044741736504779084,0.011712248018582727,-0.03475074531811018,0.02147918300216123,-0.030866118882182714,,,,,,,,,,,,-0.03355351480092239,-0.07517762444861731,-0.05582514528854776,-0.06491264846638622,-0.0029949734399601358,-0.016375346217145648,0.09525710386291353,20.0,NASDAQ-100 Index x $20,89683.6,2767277161.6000004,927507791.2,1839769370.4,,,224567734.4,3036327961.6000004,-2811760227.2000003,,,1576189270.0,750651732.0,825537538.0,,,449135468.8,340977047.20000005,108158421.60000001,,,202953986.8,164659089.60000002,38294897.2,,
dealer,latest,2026-08-04,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,334748,100767,35515,65252,19.492872250170276,10.609473394911992,78508,59894,18614,5.560600810161674,17.892265226379248,40114,140754,-100640,-30.06440665814284,42.047749351751165,13782,7937,5845,1.7460895957556133,2.371037317624004,55140,44211,10929,3.2648440020552774,13.207248437630694,29733.16,2026-08-10,,,,2026-08-11,,,,2026-08-12,,,,2026-08-13,,,,2026-08-14,,,,,,,,,0.07095845926023259,-4.8178952871058165,-12488.0,11.126997287695946,36414.0,-5.99755986538791,-23680.0,-2.350962062189694,-7029.0,2.0394199269874758,6783.0,,,,,,,,20.0,NASDAQ-100 Index x $20,594663.2,59922426674.399994,21119463548.0,38802963126.399994,-7426154041.599999,-8688029352.0,46685818505.6,35616757700.799995,11069060804.8,21654065764.8,24771290259.199997,23854319604.8,83701224052.79999,-59846904447.99999,-14081624575.999998,-19124963175.199997,32789728847.999996,26290654735.199997,6499074112.799999,-4179887632.7999997,-2474393575.2,8195648222.4,4719841818.4,3475806403.9999995,4033600485.6,5516690506.4
lev_money,highest_net_oi_pct,2016-11-01,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,63297,14340,5946,8394,13.261292004360396,9.393810133181667,3024,35126,-32102,-50.7164636554655,55.493941261039225,36734,13028,23706,37.45201194369401,20.582334075864576,1793,1814,-21,-0.033176927816484195,2.865854621862016,5608,5585,23,0.03633663522757792,8.823482945479249,4766.94,2016-11-07,2016-11-07,4773.73,0.0014243938459472805,2016-11-08,2016-11-08,4804.92,0.00796737529736058,2016-11-09,2016-11-09,4825.18,0.012217481235341943,2016-11-10,2016-11-10,4747.03,-0.004176683574787954,2016-11-11,2016-11-11,4751.95,-0.0031445749264726874,0.0014243938459472805,0.00653367492505863,0.004216511409139034,-0.016196286977895213,0.0010364375198808062,-0.02545461979576613,-4.721919870629726,-2982.0,-1.3084742784598546,-847.0,6.387657464489468,4055.0,-0.5928228519600159,-375.0,0.23714033929175338,150.0,0.00796737529736058,-0.0005181521059630656,0.022425287500996482,0.022293127247248856,0.07338670090246602,0.18400273550747448,0.3108115478692832,20.0,NASDAQ-100 Index x $20,95338.79999999999,1367158391.9999998,566884504.8,800273887.1999999,-284300301.59999996,-198018687.59999996,288304531.2,3348870688.7999997,-3060566157.5999994,-80751963.6,-615316615.1999999,3502175479.2,1242073886.3999999,2260101592.7999997,386598833.99999994,910199523.5999999,534659990.3999999,532467197.99999994,2192792.4,-35752049.99999999,-36228743.99999999,170942468.39999998,172944583.2,-2002114.7999999998,14300819.999999998,-60540137.99999999
lev_money,lowest_net_oi_pct,2021-01-12,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,46458,15552,4862,10690,23.010030565241724,10.465366567652504,10662,6298,4364,9.393430625511215,13.556330449007707,9371,23490,-14119,-30.39089069697361,50.56179775280899,1852,2711,-859,-1.848981876103147,5.835378191054286,6947,7022,-75,-0.16143613586465194,15.11472728055448,12892.09,2021-01-18,2021-01-19,12996.54,0.008101867113865957,2021-01-19,2021-01-19,12996.54,0.008101867113865957,2021-01-20,2021-01-20,13296.45,0.03136496875215733,2021-01-21,2021-01-21,13404.99,0.03978408465966332,2021-01-22,2021-01-22,13366.4,0.03679077635976791,0.008101867113865957,0.0,0.02307614180389539,0.008163081123156779,-0.002878778723445552,0.007007290831861024,-3.0560626896247314,-826.0,7.944811340766987,3724.0,-4.551144205348439,-2703.0,-1.1935773762449144,-531.0,0.8558619446302165,336.0,0.008101867113865957,0.04639278813598113,0.04375008241487621,0.06166494338776718,0.08488926155495347,0.15377258458481147,0.228979940413075,20.0,NASDAQ-100 Index x $20,257841.8,4009955673.6,1253626831.6,2756328842.0,-212977326.79999998,898836514.8,2749109271.6,1623887656.3999999,1125221615.2,960202863.1999999,127889532.8,2416235507.7999997,6056703882.0,-3640468374.2,-696946385.4,-262482952.39999998,1791226984.6,1810565119.6,-19338135.0,-136913995.79999998,-586074411.4,477523013.59999996,699009119.8,-221486106.2,86634844.8,-177910842.0
