category,extreme,date,contract,open_interest,asset_mgr_long,asset_mgr_short,asset_mgr_net,asset_mgr_net_oi_pct,asset_mgr_short_oi_pct,dealer_long,dealer_short,dealer_net,dealer_net_oi_pct,dealer_short_oi_pct,lev_money_long,lev_money_short,lev_money_net,lev_money_net_oi_pct,lev_money_short_oi_pct,other_reportable_long,other_reportable_short,other_reportable_net,other_reportable_net_oi_pct,other_reportable_short_oi_pct,non_reportable_long,non_reportable_short,non_reportable_net,non_reportable_net_oi_pct,non_reportable_short_oi_pct,price,next_week_monday_target,next_week_monday_date,next_week_monday_price,next_week_monday_return,next_week_tuesday_target,next_week_tuesday_date,next_week_tuesday_price,next_week_tuesday_return,next_week_wednesday_target,next_week_wednesday_date,next_week_wednesday_price,next_week_wednesday_return,next_week_thursday_target,next_week_thursday_date,next_week_thursday_price,next_week_thursday_return,next_week_friday_target,next_week_friday_date,next_week_friday_price,next_week_friday_return,next_week_monday_daily_return,next_week_tuesday_daily_return,next_week_wednesday_daily_return,next_week_thursday_daily_return,next_week_friday_daily_return,price_return_1w,asset_mgr_net_oi_pct_change,asset_mgr_net_change,dealer_net_oi_pct_change,dealer_net_change,lev_money_net_oi_pct_change,lev_money_net_change,non_reportable_net_oi_pct_change,non_reportable_net_change,other_reportable_net_oi_pct_change,other_reportable_net_change,forward_return_1w,forward_return_2w,forward_return_3w,forward_return_4w,forward_return_13w,forward_return_26w,forward_return_52w,contract_multiplier,contract_unit,contract_notional_usd,asset_mgr_long_notional_usd,asset_mgr_short_notional_usd,asset_mgr_net_notional_usd,asset_mgr_net_flow_1w_notional_usd,asset_mgr_net_flow_4w_notional_usd,dealer_long_notional_usd,dealer_short_notional_usd,dealer_net_notional_usd,dealer_net_flow_1w_notional_usd,dealer_net_flow_4w_notional_usd,lev_money_long_notional_usd,lev_money_short_notional_usd,lev_money_net_notional_usd,lev_money_net_flow_1w_notional_usd,lev_money_net_flow_4w_notional_usd,non_reportable_long_notional_usd,non_reportable_short_notional_usd,non_reportable_net_notional_usd,non_reportable_net_flow_1w_notional_usd,non_reportable_net_flow_4w_notional_usd,other_reportable_long_notional_usd,other_reportable_short_notional_usd,other_reportable_net_notional_usd,other_reportable_net_flow_1w_notional_usd,other_reportable_net_flow_4w_notional_usd
asset_mgr,highest_net_oi_pct,2024-11-12,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,480846,251387,85725,165662,34.45219467355452,17.827953232427845,50152,198965,-148813,-30.94816219746031,41.37811274295721,59207,112197,-52990,-11.020160300803168,23.33325014661659,24801,10695,14106,2.933579566014899,2.224204838971313,39360,17325,22035,4.582548258694052,3.603024669020851,2391.85009765625,2024-11-18,2024-11-18,2306.340087890625,-0.035750572265969116,2024-11-19,2024-11-19,2324.830078125,-0.028020158787092186,2024-11-20,2024-11-20,2325.530029296875,-0.027727518720492283,2024-11-21,2024-11-21,2364.02001953125,-0.0116353772137604,2024-11-22,2024-11-22,2406.669921875,0.006195966976890288,-0.035750572265969116,0.008017026773916136,0.00030107627153519445,0.016551061370732922,0.018041261068595604,0.05794749061082771,7.29227014811082,43743.0,-7.7312708670096235,-44594.0,-0.1645666515370845,-4260.0,1.2978011140515648,7290.0,-0.6942337436156811,-2179.0,-0.028020158787092186,0.013571068257708596,0.010243116834122379,-0.0037962571876463125,-0.04856079676489311,-0.12103601320320123,0.026673830751357208,50.0,Russell 2000 Index x $50,119592.5048828125,30064001024.975586,10252067481.079102,19811933543.896484,5231334941.088867,7217288077.172852,5997803304.8828125,23794722734.00879,-17796919429.125977,-5333108162.744141,-6108426371.899414,7080713436.59668,13417920270.336914,-6337206833.740234,-509464070.80078125,-4028712711.9873047,4707160992.1875,2071940147.0947266,2635220845.0927734,871829360.5957031,1119027068.1884766,2966013713.598633,1279041839.7216797,1686971873.8769531,-260592068.13964844,1800823938.5253906
asset_mgr,lowest_net_oi_pct,2022-05-10,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,524949,142206,263769,-121563,-23.157106690364206,50.246595383551536,225906,11946,213960,40.75824508666556,2.2756496345359265,59608,116888,-57280,-10.911536168275395,22.266543988082653,15419,45624,-30205,-5.7538922828693835,8.691129995485277,20099,25011,-4912,-0.9357099451565771,4.7644628335324,1761.7900390625,2022-05-16,2022-05-16,1783.4300537109375,0.01228297025674685,2022-05-17,2022-05-17,1840.300048828125,0.04456263687777606,2022-05-18,2022-05-18,1774.8499755859375,0.007412879079726764,2022-05-19,2022-05-19,1776.219970703125,0.008190494508814261,2022-05-20,2022-05-20,1773.27001953125,0.006516088872235315,0.01228297025674685,0.03188798742000176,-0.03556489241190053,0.0007718934760867491,-0.0016608028400374453,-0.07218538878404179,-3.8722925055825854,-26221.0,1.8672098896850429,21687.0,2.8998552664045842,11002.0,-0.40576287918221277,-2292.0,-0.48900977132483003,-4176.0,0.04456263687777606,0.001725470643372029,0.05803756278155037,0.08955097715003779,0.08576503001818647,0.026756885669260377,-0.0068736824951096676,50.0,Russell 2000 Index x $50,88089.501953125,12526855714.746094,23235279840.67383,-10708424125.927734,-2309794830.7128906,-8257950360.595703,19899947028.222656,1052317190.3320312,18847629837.890625,1910397028.8574219,6144418940.234375,5250839032.421875,10296605704.296875,-5045766671.875,969160700.4882812,1939995101.5136719,1770510899.7558594,2203206533.3496094,-432695633.59375,-201901138.4765625,-309722688.8671875,1358252030.6152344,4018995437.109375,-2660743406.4941406,-367861760.15625,483259007.71484375
asset_mgr,highest_short_oi_pct,2022-05-10,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,524949,142206,263769,-121563,-23.157106690364206,50.246595383551536,225906,11946,213960,40.75824508666556,2.2756496345359265,59608,116888,-57280,-10.911536168275395,22.266543988082653,15419,45624,-30205,-5.7538922828693835,8.691129995485277,20099,25011,-4912,-0.9357099451565771,4.7644628335324,1761.7900390625,2022-05-16,2022-05-16,1783.4300537109375,0.01228297025674685,2022-05-17,2022-05-17,1840.300048828125,0.04456263687777606,2022-05-18,2022-05-18,1774.8499755859375,0.007412879079726764,2022-05-19,2022-05-19,1776.219970703125,0.008190494508814261,2022-05-20,2022-05-20,1773.27001953125,0.006516088872235315,0.01228297025674685,0.03188798742000176,-0.03556489241190053,0.0007718934760867491,-0.0016608028400374453,-0.07218538878404179,-3.8722925055825854,-26221.0,1.8672098896850429,21687.0,2.8998552664045842,11002.0,-0.40576287918221277,-2292.0,-0.48900977132483003,-4176.0,0.04456263687777606,0.001725470643372029,0.05803756278155037,0.08955097715003779,0.08576503001818647,0.026756885669260377,-0.0068736824951096676,50.0,Russell 2000 Index x $50,88089.501953125,12526855714.746094,23235279840.67383,-10708424125.927734,-2309794830.7128906,-8257950360.595703,19899947028.222656,1052317190.3320312,18847629837.890625,1910397028.8574219,6144418940.234375,5250839032.421875,10296605704.296875,-5045766671.875,969160700.4882812,1939995101.5136719,1770510899.7558594,2203206533.3496094,-432695633.59375,-201901138.4765625,-309722688.8671875,1358252030.6152344,4018995437.109375,-2660743406.4941406,-367861760.15625,483259007.71484375
asset_mgr,latest,2026-08-04,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,417259,154623,148425,6198,1.485408343498882,35.57143165276243,131697,51784,79913,19.151893667961627,12.41051720873606,51445,136590,-85145,-20.405791127333384,32.73506383325465,3511,14895,-11384,-2.728281475055062,3.5697252785440217,29146,18728,10418,2.4967705909279365,4.488339376742023,3036.97998046875,2026-08-10,,,,2026-08-11,,,,2026-08-12,,,,2026-08-13,,,,2026-08-14,,,,,,,,,0.0281603122302152,1.2571564128280084,5246.0,1.2863848843382222,5399.0,-2.514867737984023,-10525.0,0.8548911568584587,3570.0,-0.8835647160406692,-3690.0,,,,,,,,50.0,Russell 2000 Index x $50,151848.9990234375,23479347776.000977,22538187680.05371,941160095.9472656,796599848.8769531,996736829.5898438,19998057624.38965,7863348565.4296875,12134709058.95996,819832745.7275391,1490701623.413086,7811871754.760742,20741054776.61133,-12929183021.850586,-1598210714.7216797,-1956270654.4189453,4425790925.537109,2843828053.7109375,1581962871.8261719,542100926.5136719,124971726.19628906,533141835.57128906,2261790840.4541016,-1728649004.8828125,-560322806.3964844,-656139524.7802734
dealer,highest_net_oi_pct,2022-05-31,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,540537,148764,264010,-115246,-21.32064965025521,48.84216991621295,244861,22281,222580,41.17756971308162,4.122011999178595,40112,132781,-92669,-17.143877292396265,24.564645898430634,24175,35851,-11676,-2.160074148485673,6.6324784427338,19773,22762,-2989,-0.5529686219444737,4.210997582034162,1864.0400390625,2022-06-06,2022-06-06,1889.8900146484373,0.013867714772338502,2022-06-07,2022-06-07,1919.56005859375,0.029784778420947067,2022-06-08,2022-06-08,1891.010009765625,0.014468557615687994,2022-06-09,2022-06-09,1850.8599853515625,-0.007070692385752753,2022-06-10,2022-06-10,1800.280029296875,-0.034205279087080376,0.013867714772338502,0.015699349546979935,-0.014873225091503794,-0.021232052821887892,-0.027327813262481904,0.05621509464265806,0.9830719119793265,4742.0,2.8046402166199016,16144.0,-3.7604918808607426,-20670.0,-0.09197894402383455,-509.0,0.06475869628534703,293.0,0.029784778420947067,-0.08380189252070824,-0.09120512768123257,-0.06716597852970774,-0.004533203721545309,-0.014747532058485668,-0.05190339154338097,50.0,Russell 2000 Index x $50,93202.001953125,13865102618.554688,24606260535.64453,-10741157917.089844,441963893.26171875,-1855092646.875,22821535400.24414,2076633805.5175781,20744901594.726562,1504653119.53125,2824673073.1933594,3738518702.34375,12375455021.33789,-8636936318.99414,-1926485380.3710938,-2272917221.6308594,1842883184.6191406,2121463968.4570312,-278580783.8378906,-47439818.994140625,-34391538.720703125,2253158397.216797,3341384972.0214844,-1088226574.8046875,27308186.572265625,1337728334.0332031
dealer,lowest_net_oi_pct,2024-11-12,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,480846,251387,85725,165662,34.45219467355452,17.827953232427845,50152,198965,-148813,-30.94816219746031,41.37811274295721,59207,112197,-52990,-11.020160300803168,23.33325014661659,24801,10695,14106,2.933579566014899,2.224204838971313,39360,17325,22035,4.582548258694052,3.603024669020851,2391.85009765625,2024-11-18,2024-11-18,2306.340087890625,-0.035750572265969116,2024-11-19,2024-11-19,2324.830078125,-0.028020158787092186,2024-11-20,2024-11-20,2325.530029296875,-0.027727518720492283,2024-11-21,2024-11-21,2364.02001953125,-0.0116353772137604,2024-11-22,2024-11-22,2406.669921875,0.006195966976890288,-0.035750572265969116,0.008017026773916136,0.00030107627153519445,0.016551061370732922,0.018041261068595604,0.05794749061082771,7.29227014811082,43743.0,-7.7312708670096235,-44594.0,-0.1645666515370845,-4260.0,1.2978011140515648,7290.0,-0.6942337436156811,-2179.0,-0.028020158787092186,0.013571068257708596,0.010243116834122379,-0.0037962571876463125,-0.04856079676489311,-0.12103601320320123,0.026673830751357208,50.0,Russell 2000 Index x $50,119592.5048828125,30064001024.975586,10252067481.079102,19811933543.896484,5231334941.088867,7217288077.172852,5997803304.8828125,23794722734.00879,-17796919429.125977,-5333108162.744141,-6108426371.899414,7080713436.59668,13417920270.336914,-6337206833.740234,-509464070.80078125,-4028712711.9873047,4707160992.1875,2071940147.0947266,2635220845.0927734,871829360.5957031,1119027068.1884766,2966013713.598633,1279041839.7216797,1686971873.8769531,-260592068.13964844,1800823938.5253906
dealer,highest_short_oi_pct,2024-12-31,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,470377,244893,89652,155241,33.00352695816334,19.05960538036511,67494,210630,-143136,-30.430059292865085,44.77897516247606,46960,87449,-40489,-8.607776315593663,18.591257650777994,25977,18686,7291,1.550033271184603,3.9725581820539695,37792,16699,21093,4.484275379110798,3.5501310650818385,2230.159912109375,2025-01-06,2025-01-06,2266.64990234375,0.016362051006405753,2025-01-07,2025-01-07,2249.800048828125,0.008806604679829189,2025-01-08,2025-01-08,2238.9599609375,0.003945927276489236,2025-01-09,2025-01-10,2189.22998046875,-0.018352913357639777,2025-01-10,2025-01-10,2189.22998046875,-0.018352913357639777,0.016362051006405753,-0.007433813884624163,-0.004818245024161727,-0.022211196866569693,0.0,-0.01313812167349837,1.027538920864302,7479.0,-1.8325388266486762,-10986.0,0.5523027144061423,1840.0,-0.566330221805015,-2246.0,0.8190274131832482,3913.0,0.008806604679829189,-0.004896474829319097,0.039373884409345195,0.026321070069356134,-0.09771493097500916,-0.014626696888305979,0.12126044160011218,50.0,Russell 2000 Index x $50,111507.99560546875,27307527567.81006,9996914822.021484,17310612745.788574,833968299.1333008,-1728819963.8671875,7526120655.395508,23486929114.379883,-15960808458.984375,-1225026839.7216797,-1148086322.7539062,5236415473.6328125,9751262707.702637,-4514847234.069824,205174711.9140625,4020755305.541992,4214110169.921875,1862072018.6157227,2352038151.3061523,-250446958.1298828,-630800731.1401367,2896643201.8432617,2083638405.883789,813004795.9594727,436330786.8041992,-513048287.7807617
dealer,latest,2026-08-04,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,417259,154623,148425,6198,1.485408343498882,35.57143165276243,131697,51784,79913,19.151893667961627,12.41051720873606,51445,136590,-85145,-20.405791127333384,32.73506383325465,3511,14895,-11384,-2.728281475055062,3.5697252785440217,29146,18728,10418,2.4967705909279365,4.488339376742023,3036.97998046875,2026-08-10,,,,2026-08-11,,,,2026-08-12,,,,2026-08-13,,,,2026-08-14,,,,,,,,,0.0281603122302152,1.2571564128280084,5246.0,1.2863848843382222,5399.0,-2.514867737984023,-10525.0,0.8548911568584587,3570.0,-0.8835647160406692,-3690.0,,,,,,,,50.0,Russell 2000 Index x $50,151848.9990234375,23479347776.000977,22538187680.05371,941160095.9472656,796599848.8769531,996736829.5898438,19998057624.38965,7863348565.4296875,12134709058.95996,819832745.7275391,1490701623.413086,7811871754.760742,20741054776.61133,-12929183021.850586,-1598210714.7216797,-1956270654.4189453,4425790925.537109,2843828053.7109375,1581962871.8261719,542100926.5136719,124971726.19628906,533141835.57128906,2261790840.4541016,-1728649004.8828125,-560322806.3964844,-656139524.7802734
lev_money,highest_net_oi_pct,2025-03-18,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,502107,168086,132583,35503,7.07080363348848,26.405327948027015,87088,138230,-51142,-10.185478394047484,27.529988627921938,110912,92643,18269,3.6384674979635814,18.450848125997048,2779,9975,-7196,-1.4331606609746528,1.9866283481409341,29881,25315,4566,0.9093679235700758,5.041754048439874,2049.93994140625,2025-03-24,2025-03-24,2109.3798828125,0.02899594285941598,2025-03-25,2025-03-25,2095.3798828125,0.0221664744846517,2025-03-26,2025-03-26,2073.830078125,0.011654066656392681,2025-03-27,2025-03-27,2065.699951171875,0.007688034877165073,2025-03-28,2025-03-28,2023.27001953125,-0.013010099143053178,0.02899594285941598,-0.00663702167356095,-0.010284438093666859,-0.0039203438309061145,-0.020540220091768147,0.013021400595478738,-3.0648020338408104,-12527.0,2.0703111196207065,6935.0,0.44690180750578046,3145.0,-0.9858616100190218,-4415.0,1.5334507167333458,6862.0,0.0221664744846517,-0.018390758875605373,-0.14109192890321431,-0.08147550769041678,0.025376362731663438,0.17224411347798152,0.22929942450200413,50.0,Russell 2000 Index x $50,102496.9970703125,17228310249.560547,13589359362.573242,3638950886.9873047,-1283979882.2998047,-6732515252.563477,8926258480.859375,14168159905.029297,-5241901424.169922,710816674.6826172,291603956.66503906,11368146939.0625,9495629299.58496,1872517639.477539,322353055.7861328,7318080596.826172,3062712769.458008,2594711480.834961,468001288.6230469,-452524242.0654297,-1008877942.1630859,284839154.85839844,1022407545.7763672,-737568390.9179688,703334393.8964844,131708641.23535156
lev_money,lowest_net_oi_pct,2025-08-05,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,427309,141877,125318,16559,3.875181660110131,29.32725498409816,147007,49321,97686,22.860740120147245,11.54223290405772,63719,180841,-117122,-27.409205048337387,42.32089658771521,5331,5761,-430,-0.1006297550484544,1.3482046949631297,26820,23513,3307,0.7739130231284621,5.5025754196611825,2225.669921875,2025-08-11,2025-08-11,2216.510009765625,-0.0041155752788617495,2025-08-12,2025-08-12,2282.780029296875,0.02565973815819156,2025-08-13,2025-08-13,2328.06005859375,0.046004187643643,2025-08-14,2025-08-14,2299.080078125,0.032983397730493635,2025-08-15,2025-08-15,2286.52001953125,0.027340126699913814,-0.0041155752788617495,0.02989836239821786,0.01983547635591587,-0.012448124077286571,-0.005463080087229177,-0.007708581233555889,0.1178319528698859,1267.0,5.265424276230085,26075.0,-5.137350035056933,-26478.0,-0.9782227839818038,-3824.0,0.7323165899387565,2960.0,0.02565973815819156,0.022887574229318197,0.05972591644194214,0.05685480934023546,0.09061099493393399,0.18997878974290572,0.36452398022716115,50.0,Russell 2000 Index x $50,111283.49609375,15788568575.292969,13945825163.476562,1842743411.8164062,140996189.55078125,-1237249909.5703125,16359452910.253906,5488613310.839844,10870839599.414062,2901717160.6445312,4994180737.6953125,7090873087.597656,20124618717.089844,-13033745629.492188,-2946564409.5703125,-4398480183.105469,2984623365.234375,2616608843.6523438,368014521.58203125,-425548089.0625,-239036949.609375,593252317.6757812,641104220.9960938,-47851903.3203125,329399148.4375,880586304.5898438
