category,extreme,date,contract,open_interest,noncommercial_long,noncommercial_short,noncommercial_net,noncommercial_net_oi_pct,noncommercial_long_oi_pct,noncommercial_short_oi_pct,noncommercial_spreading,noncommercial_spreading_oi_pct,commercial_long,commercial_short,commercial_net,commercial_net_oi_pct,commercial_long_oi_pct,commercial_short_oi_pct,total_reportable_long,total_reportable_short,total_reportable_net,total_reportable_net_oi_pct,total_reportable_long_oi_pct,total_reportable_short_oi_pct,nonreportable_long,nonreportable_short,nonreportable_net,nonreportable_net_oi_pct,nonreportable_long_oi_pct,nonreportable_short_oi_pct,price,next_week_monday_target,next_week_monday_date,next_week_monday_price,next_week_monday_return,next_week_tuesday_target,next_week_tuesday_date,next_week_tuesday_price,next_week_tuesday_return,next_week_wednesday_target,next_week_wednesday_date,next_week_wednesday_price,next_week_wednesday_return,next_week_thursday_target,next_week_thursday_date,next_week_thursday_price,next_week_thursday_return,next_week_friday_target,next_week_friday_date,next_week_friday_price,next_week_friday_return,next_week_monday_daily_return,next_week_tuesday_daily_return,next_week_wednesday_daily_return,next_week_thursday_daily_return,next_week_friday_daily_return,next_week_mon_fri_return,price_return_1w,noncommercial_net_oi_pct_change,noncommercial_net_change,noncommercial_long_oi_pct_change,noncommercial_short_oi_pct_change,commercial_net_oi_pct_change,commercial_net_change,commercial_long_oi_pct_change,commercial_short_oi_pct_change,total_reportable_net_oi_pct_change,total_reportable_net_change,total_reportable_long_oi_pct_change,total_reportable_short_oi_pct_change,nonreportable_net_oi_pct_change,nonreportable_net_change,nonreportable_long_oi_pct_change,nonreportable_short_oi_pct_change,forward_return_1w,forward_return_2w,forward_return_3w,forward_return_4w,forward_return_13w,forward_return_26w,forward_return_52w,contract_multiplier,contract_unit,contract_notional_usd,noncommercial_long_notional_usd,noncommercial_short_notional_usd,noncommercial_net_notional_usd,noncommercial_net_flow_1w_notional_usd,noncommercial_net_flow_4w_notional_usd,commercial_long_notional_usd,commercial_short_notional_usd,commercial_net_notional_usd,commercial_net_flow_1w_notional_usd,commercial_net_flow_4w_notional_usd,total_reportable_long_notional_usd,total_reportable_short_notional_usd,total_reportable_net_notional_usd,total_reportable_net_flow_1w_notional_usd,total_reportable_net_flow_4w_notional_usd,nonreportable_long_notional_usd,nonreportable_short_notional_usd,nonreportable_net_notional_usd,nonreportable_net_flow_1w_notional_usd,nonreportable_net_flow_4w_notional_usd
noncommercial,highest_net_oi_pct,2024-09-17,GOLD - COMMODITY EXCHANGE INC.,537627,369734,59668,310066,57.673070734914724,68.77147167087962,11.098400935964897,40270,7.490323216653925,74647,409774,-335127,-62.334480969147755,13.884533328869272,76.21901429801703,484651,509712,-25061,-4.661410234233028,90.14632821640282,94.80773845063585,52976,27915,25061,4.661410234233028,9.853671783597177,5.19226154936415,2592.39990234375,2024-09-23,2024-09-23,2652.5,0.023183189291865913,2024-09-24,2024-09-24,2677.0,0.032633891700028395,2024-09-25,2024-09-25,2684.699951171875,0.03560409362177408,2024-09-26,2024-09-26,2694.89990234375,0.03953865293210801,2024-09-27,2024-09-27,2668.10009765625,0.029200817066865614,0.023183189291865913,0.009236569274269524,0.0028763358878876044,0.003799289066706679,-0.009944638264371974,0.005881280926013144,0.01938571145230794,2.443266687610816,27565.0,2.2992653604325284,-0.14400132717828384,-2.3347937740103006,-28228.0,-1.4100604255906397,0.9247333484196645,0.10847291360050537,-663.0,0.1046665187717224,-0.003806394828771431,-0.10847291360050537,663.0,-0.10466651877173305,0.0038063948287732075,0.032633891700028395,0.03776429184242169,0.016586947083713666,0.033366765645144625,0.026847747368500263,0.17296719772245917,0.43693112096187114,100.0,100 troy oz,259239.990234375,95849838549.3164,15468331737.304688,80381506812.01172,7145950330.810547,4877081936.279297,19351487551.02539,106229807758.30078,-86878320207.27539,-7317826444.3359375,-4827307858.154297,125640920507.08008,132137733902.34375,-6496813395.263672,-171876113.52539062,49774078.125,13733497722.65625,7236684327.392578,6496813395.263672,171876113.52539062,-49774078.125
noncommercial,lowest_net_oi_pct,2018-10-09,GOLD - COMMODITY EXCHANGE INC.,465253,179746,217921,-38175,-8.205213077615834,38.634033525845076,46.83924660346091,63757,13.703726789510224,174309,148443,25866,5.559555768581825,37.46542203919158,31.905866270609756,417812,430121,-12309,-2.6456573090340094,89.80318235454689,92.4488396635809,47441,35132,12309,2.6456573090340094,10.196817645453118,7.551160336419109,1187.199951171875,2018-10-15,2018-10-15,1226.4000244140625,0.03301893097577491,2018-10-16,2018-10-16,1227.300048828125,0.03377703782472996,2018-10-17,2018-10-17,1223.699951171875,0.030744610428909747,2018-10-18,2018-10-18,1226.5,0.033103142220762605,2018-10-19,2018-10-19,1225.300048828125,0.03209240163684446,0.03301893097577491,0.0007338750783967285,-0.0029333476028844396,0.00228818251193319,-0.000978353992560077,-0.0008969141911612244,-0.012641444555521075,-3.4589888292862128,-16353.0,-3.232005588854257,0.22698324043194873,3.6292679762655666,16991.0,0.6277010620200869,-3.0015669142454797,0.17027914697935342,638.0,0.5227501440791826,0.35247099709982876,-0.17027914697935342,-638.0,-0.5227501440791773,-0.35247099709982166,0.03377703782472996,0.038915157633374164,0.029818081089979298,0.030828924495930332,0.08086253701850232,0.0979616354543531,0.26111860912224727,100.0,100 troy oz,118719.9951171875,21339444242.333984,25871580055.932617,-4532135813.598633,-1941428080.1513672,-3631051050.6591797,20693963628.881836,17623152235.180664,3070811393.701172,2017171437.0361328,3069268033.7646484,49602638599.90234,51063963019.799805,-1461324419.897461,75743356.88476562,-561783016.8945312,5632195288.354492,4170870868.4570312,1461324419.897461,-75743356.88476562,561783016.8945312
noncommercial,highest_long_oi_pct,2024-10-01,GOLD - COMMODITY EXCHANGE INC.,533107,370051,70120,299931,56.26093823566376,69.41402007476924,13.153081839105472,42766,8.022029348704857,67099,394623,-327524,-61.436822251442955,12.586403855136025,74.02322610657897,479916,507509,-27593,-5.175884015779196,90.02245327861012,95.1983372943893,53191,25598,27593,5.175884015779196,9.97754672138989,4.801662705610694,2690.300048828125,2024-10-07,2024-10-07,2666.0,-0.009032467898407837,2024-10-08,2024-10-08,2635.39990234375,-0.020406700177658332,2024-10-09,2024-10-09,2626.0,-0.02390069793744143,2024-10-10,2024-10-10,2639.300048828125,-0.018956993299767855,2024-10-11,2024-10-11,2676.300048828125,-0.005203880513661829,-0.009032467898407837,-0.011477906097618118,-0.0035667840525418493,0.005064755837062007,0.014018868380057281,0.003863484181592325,0.004968266278716937,0.4041091055985788,-15459.0,0.7734703439673183,0.36936123836871815,-1.2735323676231758,12182.0,-0.9997749490577963,0.27375741856538127,-0.8694232620245907,-3277.0,-0.5124007876976151,0.35702247432696765,0.8694232620245907,3277.0,0.5124007876976275,-0.3570224743269659,-0.020406700177658332,-0.004237500010209172,0.025833549692821034,0.03375090033830119,-0.018325111672803818,0.16938629256999582,0.43969069652993253,100.0,100 troy oz,269030.0048828125,99554822336.88965,18864383942.382812,80690438394.50684,-4158934845.4833984,3328708250.415039,18051644297.631836,106165427616.87012,-88113783319.23828,3277323519.482422,-4206822186.352539,129111803823.33984,136535148748.07129,-7423344924.731445,-881611326.0009766,-878113935.9375,14309974989.72168,6886630064.990234,7423344924.731445,881611326.0009766,878113935.9375
noncommercial,lowest_long_oi_pct,2018-11-13,GOLD - COMMODITY EXCHANGE INC.,539520,168416,177663,-9247,-1.7139309015421114,31.215895610913403,32.92982651245552,122818,22.764309015421116,201354,203177,-1823,-0.3378929418742586,37.32095195729537,37.65884489916963,492588,503658,-11070,-2.0518238434163703,91.30115658362989,93.35298042704626,46932,35862,11070,2.0518238434163703,8.698843416370106,6.647019572953737,1199.199951171875,2018-11-19,2018-11-19,1223.0999755859375,0.01992997447231981,2018-11-20,2018-11-20,1219.0,0.01651104872775888,2018-11-21,2018-11-21,1225.800048828125,0.02218153664053779,2018-11-22,2018-11-23,1221.0,0.018178827314679014,2018-11-23,2018-11-23,1221.0,0.018178827314679014,0.01992997447231981,-0.0033521181160790503,0.005578382959905648,-0.003915849760908308,0.0,-0.00171692881028096,-0.0201014027412455,-5.558258467508518,-28273.0,-2.960148162613553,2.59811030489497,7.367734938694167,36313.0,2.1839273205425016,-5.183807618151668,1.8094764711856492,8040.0,1.124134856491068,-0.685341614694579,-1.8094764711856492,-8040.0,-1.1241348564910751,0.6853416146945754,0.01651104872775888,0.010006671521520127,0.03493998175459989,0.03560713390661863,0.09172782228060172,0.07963642752543154,0.2108906226746632,100.0,100 troy oz,119919.9951171875,20196445897.65625,21305346092.504883,-1108900194.8486328,-3390498021.948242,-3227526748.5839844,24146370696.82617,24364984847.924805,-218614151.0986328,4354654782.69043,3618346012.6708984,59071150554.78516,60398664900.73242,-1327514345.9472656,964156760.7421875,390819264.08691406,5628085210.839844,4300570864.892578,1327514345.9472656,-964156760.7421875,-390819264.08691406
noncommercial,highest_short_oi_pct,2018-10-09,GOLD - COMMODITY EXCHANGE INC.,465253,179746,217921,-38175,-8.205213077615834,38.634033525845076,46.83924660346091,63757,13.703726789510224,174309,148443,25866,5.559555768581825,37.46542203919158,31.905866270609756,417812,430121,-12309,-2.6456573090340094,89.80318235454689,92.4488396635809,47441,35132,12309,2.6456573090340094,10.196817645453118,7.551160336419109,1187.199951171875,2018-10-15,2018-10-15,1226.4000244140625,0.03301893097577491,2018-10-16,2018-10-16,1227.300048828125,0.03377703782472996,2018-10-17,2018-10-17,1223.699951171875,0.030744610428909747,2018-10-18,2018-10-18,1226.5,0.033103142220762605,2018-10-19,2018-10-19,1225.300048828125,0.03209240163684446,0.03301893097577491,0.0007338750783967285,-0.0029333476028844396,0.00228818251193319,-0.000978353992560077,-0.0008969141911612244,-0.012641444555521075,-3.4589888292862128,-16353.0,-3.232005588854257,0.22698324043194873,3.6292679762655666,16991.0,0.6277010620200869,-3.0015669142454797,0.17027914697935342,638.0,0.5227501440791826,0.35247099709982876,-0.17027914697935342,-638.0,-0.5227501440791773,-0.35247099709982166,0.03377703782472996,0.038915157633374164,0.029818081089979298,0.030828924495930332,0.08086253701850232,0.0979616354543531,0.26111860912224727,100.0,100 troy oz,118719.9951171875,21339444242.333984,25871580055.932617,-4532135813.598633,-1941428080.1513672,-3631051050.6591797,20693963628.881836,17623152235.180664,3070811393.701172,2017171437.0361328,3069268033.7646484,49602638599.90234,51063963019.799805,-1461324419.897461,75743356.88476562,-561783016.8945312,5632195288.354492,4170870868.4570312,1461324419.897461,-75743356.88476562,561783016.8945312
noncommercial,lowest_short_oi_pct,2020-04-28,GOLD - COMMODITY EXCHANGE INC.,500816,287382,24653,262729,52.46018497811572,57.38275134979713,4.922566371681416,44448,8.875115810996453,114902,408531,-293629,-58.63011565125716,22.942957094022557,81.5730727452797,446732,477632,-30900,-6.169930673141433,89.20082425481614,95.37075492795756,54084,23184,30900,6.169930673141433,10.79917574518386,4.629245072042427,1710.5,2020-05-04,2020-05-04,1706.9000244140625,-0.0021046334907556252,2020-05-05,2020-05-05,1704.4000244140625,-0.0035661944378471144,2020-05-06,2020-05-06,1684.199951171875,-0.015375649709514772,2020-05-07,2020-05-07,1721.800048828125,0.006606284026965836,2020-05-08,2020-05-08,1709.9000244140625,-0.0003507603542458604,-0.0021046334907556252,-0.0014646434848216705,-0.01185172081250807,0.022325198163132498,-0.006911385803573311,0.0017575721817859602,0.01924684171607205,1.853482866419263,13158.0,0.1469364588291242,-1.7065464075901362,-1.838377506484079,-13556.0,-0.742758234533401,1.0956192719506674,0.015105359935187579,-398.0,-0.020074524074189526,-0.03517988400939487,-0.015105359935187579,398.0,0.020074524074194855,0.03517988400938332,-0.0035661944378471144,-0.0035661944378471144,0.01970181302068119,-0.0033323304132563125,0.13686055281259124,0.11774336417074682,0.03992987362065192,100.0,100 troy oz,171050.0,49156691100.0,4216895650.0,44939795450.0,2250675900.0,663674000.0,19653987100.0,69879227550.0,-50225240450.0,-2318753800.0,-1654053500.0,76413508600.0,81698953600.0,-5285445000.0,-68077900.0,-990379500.0,9251068200.0,3965623200.0,5285445000.0,68077900.0,990379500.0
noncommercial,latest,2026-09-22,GOLD - COMMODITY EXCHANGE INC.,412800,253982,28129,225853,54.7124515503876,61.5266472868217,6.814195736434109,48923,11.851501937984496,57458,320361,-262903,-63.687742248062015,13.919089147286822,77.60683139534883,360363,397413,-37050,-8.975290697674419,87.29723837209302,96.27252906976744,52437,15387,37050,8.975290697674419,12.702761627906977,3.7274709302325584,4376.39990234375,2026-09-28,,,,2026-09-29,,,,2026-09-30,,,,2026-10-01,,,,2026-10-02,,,,,,,,,,0.01006279994960324,-1.4813913231007447,-4485.0,-1.4300810779706055,0.051310245130154364,0.16237692763736788,-1182.0,0.15545469099393117,-0.006922236643433166,-1.3190143954633866,-5667.0,-1.124299616533449,0.19471477892993505,1.3190143954633866,5667.0,1.1242996165334436,-0.1947147789299426,,,,,,,,100.0,100 troy oz,437639.990234375,111152679999.70703,12310375285.302734,98842304714.4043,-1962815356.2011719,-7650384669.287109,25145918558.88672,140202784911.4746,-115056866352.58789,-517290468.45703125,7300710317.089844,157709259800.83008,173923821439.01367,-16214561638.183594,-2480105824.658203,-349674352.1972656,22948528167.91992,6733966529.736328,16214561638.183594,2480105824.658203,349674352.1972656
commercial,highest_net_oi_pct,2018-10-09,GOLD - COMMODITY EXCHANGE INC.,465253,179746,217921,-38175,-8.205213077615834,38.634033525845076,46.83924660346091,63757,13.703726789510224,174309,148443,25866,5.559555768581825,37.46542203919158,31.905866270609756,417812,430121,-12309,-2.6456573090340094,89.80318235454689,92.4488396635809,47441,35132,12309,2.6456573090340094,10.196817645453118,7.551160336419109,1187.199951171875,2018-10-15,2018-10-15,1226.4000244140625,0.03301893097577491,2018-10-16,2018-10-16,1227.300048828125,0.03377703782472996,2018-10-17,2018-10-17,1223.699951171875,0.030744610428909747,2018-10-18,2018-10-18,1226.5,0.033103142220762605,2018-10-19,2018-10-19,1225.300048828125,0.03209240163684446,0.03301893097577491,0.0007338750783967285,-0.0029333476028844396,0.00228818251193319,-0.000978353992560077,-0.0008969141911612244,-0.012641444555521075,-3.4589888292862128,-16353.0,-3.232005588854257,0.22698324043194873,3.6292679762655666,16991.0,0.6277010620200869,-3.0015669142454797,0.17027914697935342,638.0,0.5227501440791826,0.35247099709982876,-0.17027914697935342,-638.0,-0.5227501440791773,-0.35247099709982166,0.03377703782472996,0.038915157633374164,0.029818081089979298,0.030828924495930332,0.08086253701850232,0.0979616354543531,0.26111860912224727,100.0,100 troy oz,118719.9951171875,21339444242.333984,25871580055.932617,-4532135813.598633,-1941428080.1513672,-3631051050.6591797,20693963628.881836,17623152235.180664,3070811393.701172,2017171437.0361328,3069268033.7646484,49602638599.90234,51063963019.799805,-1461324419.897461,75743356.88476562,-561783016.8945312,5632195288.354492,4170870868.4570312,1461324419.897461,-75743356.88476562,561783016.8945312
commercial,lowest_net_oi_pct,2026-09-08,GOLD - COMMODITY EXCHANGE INC.,411227,261007,29047,231960,56.40680208254808,63.47029742696856,7.063495344420478,43263,10.520466798143117,54403,324677,-270274,-65.72379731875581,13.229432892295495,78.95323021105132,358673,396987,-38314,-9.31699523620774,87.22019711740717,96.53719235361491,52554,14240,38314,9.31699523620774,12.779802882592826,3.462807646385087,4439.0,2026-09-14,2026-09-14,4351.89990234375,-0.019621558381673787,2026-09-15,2026-09-15,4332.7998046875,-0.02392435127562509,2026-09-16,2026-09-16,4387.5,-0.011601712097319195,2026-09-17,2026-09-17,4399.7001953125,-0.008853301348839882,2026-09-18,2026-09-18,4424.89990234375,-0.0031764130786776645,-0.019621558381673787,-0.004388910150705305,0.01262467637053577,0.002780671296296333,0.005727596407159252,0.01677428287371341,0.009689768583958758,1.4631128369869515,3836.0,0.732457948746223,-0.7306548882407222,-1.9664393480624511,-5556.0,-1.570806031008198,0.3956333170542763,-0.5033265110755121,-1720.0,-0.24837194395179552,0.25495456712371833,0.5033265110755121,1720.0,0.2483719439517973,-0.25495456712371345,-0.02392435127562509,-0.014102297286832655,,,,,,100.0,100 troy oz,443900.0,115861007300.0,12893963300.0,102967044000.0,1702800400.0,6223478000.0,24149491700.0,144124120300.0,-119974628600.0,-2466308400.0,-7827732600.0,159214944700.0,176222529300.0,-17007584600.0,-763508000.0,-1604254600.0,23328720600.0,6321136000.0,17007584600.0,763508000.0,1604254600.0
commercial,highest_long_oi_pct,2018-05-22,GOLD - COMMODITY EXCHANGE INC.,502942,189677,98720,90957,18.084987931013913,37.71349380246629,19.628505871452372,55606,11.056145639059773,203101,318676,-115575,-22.979786933682213,40.38258884722294,63.362375780905154,448384,473002,-24618,-4.8947990026683,89.152228288749,94.0470272914173,54558,29940,24618,4.8947990026683,10.847771711251,5.9529727085827,1291.699951171875,2018-05-28,2018-05-29,1298.699951171875,0.005419215192854487,2018-05-29,2018-05-29,1298.699951171875,0.005419215192854487,2018-05-30,2018-05-30,1301.5,0.00758693907144159,2018-05-31,2018-05-31,1300.0999755859375,0.0065030771321479275,2018-06-01,2018-06-01,1294.800048828125,0.002400013759725983,0.005419215192854487,0.0,0.0021560398347582055,-0.0010757006638973943,-0.004076553232318814,-0.0030029279205184833,0.0021723381990665924,0.3060519400300237,-1486.0,-1.0334819148031826,-1.3395338548332134,-0.26852948596528137,2514.0,2.7016607722630397,2.970190258228321,0.037522454064743194,1028.0,0.1619636904545274,0.12444123638977089,-0.037522454064743194,-1028.0,-0.16196369045452386,-0.124441236389778,0.005419215192854487,0.004490244675524613,0.0026322091372519285,-0.012464176042842667,-0.07672058475811705,-0.05628238284434328,-0.015251182098445115,100.0,100 troy oz,129169.9951171875,24500577163.842773,12751661917.96875,11748915245.874023,-191946612.74414062,-5901647906.90918,26234555178.2959,41163377363.96484,-14928822185.668945,324733367.7246094,5970883024.291992,57917759090.625,61097666030.41992,-3179906939.794922,132786754.98046875,69235117.3828125,7047256593.603516,3867349653.8085938,3179906939.794922,-132786754.98046875,-69235117.3828125
