market,market_label,horizon,bucket_type,bucket,observations,avg_return_pct,median_return_pct,hit_rate_pct,avg_drawdown_pct,worst_drawdown_pct,volatility_pct,sharpe_like,unconditional_avg_return_pct,diff_vs_unconditional_pct,welch_t_stat_vs_rest,approx_p_value_vs_rest
sp500,S&P 500,1d,regime,Mixed,295,0.094308,0.123237,58.305085,-0.321482,-7.596968,1.10654,0.085228,0.059798,0.034511,0.720337,0.471318
sp500,S&P 500,1d,regime,Caution,33,-0.118524,-0.039507,48.484848,-0.468446,-2.95181,1.129058,-0.104976,0.059798,-0.178322,-0.932952,0.350845
sp500,S&P 500,1d,regime,Risk-On,99,0.016404,0.04521,53.535354,-0.458093,-11.98405,1.756359,0.00934,0.059798,-0.043394,-0.302356,0.762381
sp500,S&P 500,1d,score_sign,Negative,130,0.047879,0.107367,56.923077,-0.322317,-2.99688,0.96658,0.049534,0.059798,-0.011919,-0.145709,0.884151
sp500,S&P 500,1d,score_sign,Zero,186,0.093019,0.131575,58.064516,-0.34635,-7.596968,1.204652,0.077217,0.059798,0.033222,0.475287,0.634582
sp500,S&P 500,1d,score_sign,Positive,111,0.018089,0.039832,53.153153,-0.444368,-11.98405,1.692938,0.010685,0.059798,-0.041709,-0.326872,0.743764
sp500,S&P 500,1d,score_intensity,Mild Negative,97,0.10449,0.125666,59.793814,-0.272603,-2.99688,0.904297,0.115548,0.059798,0.044692,0.485365,0.627417
sp500,S&P 500,1d,score_intensity,Zero,186,0.093019,0.131575,58.064516,-0.34635,-7.596968,1.204652,0.077217,0.059798,0.033222,0.475287,0.634582
sp500,S&P 500,1d,score_intensity,Extreme Negative,27,-0.016065,0.096905,51.851852,-0.404262,-2.711225,1.08393,-0.014821,0.059798,-0.075863,-0.37065,0.710898
sp500,S&P 500,1d,score_intensity,Caution,6,-0.579591,-0.339114,33.333333,-0.757276,-2.95181,1.318048,-0.439734,0.059798,-0.639389,-1.197109,0.231264
sp500,S&P 500,1d,score_intensity,Extreme Positive,84,0.037514,0.06981,55.952381,-0.483674,-11.98405,1.884445,0.019907,0.059798,-0.022284,-0.129669,0.896829
sp500,S&P 500,1d,score_intensity,Mild Positive,12,0.03199,0.01507,50.0,-0.331139,-2.775638,1.085085,0.029481,0.059798,-0.027808,-0.089525,0.928665
