market,market_label,horizon,observations,score_return_corr,score_return_ols_slope,score_return_hac_t,score_return_hac_p_value,hac_lags,corr_permutation_p_value,positive_score_observations,negative_score_observations,positive_minus_negative_avg_return_pct,positive_minus_negative_welch_t,positive_minus_negative_bootstrap_ci_low_pct,positive_minus_negative_bootstrap_ci_high_pct,risk_on_observations,caution_observations,risk_on_minus_caution_avg_return_pct,risk_on_minus_caution_welch_t,risk_on_minus_caution_hac_t,risk_on_minus_caution_hac_p_value,minimum_directional_bucket_observations,drift_adjusted_observations,drift_adjusted_accuracy_pct,evidence_grade,extreme_score_observations,mild_score_observations,extreme_avg_abs_return_pct,mild_avg_abs_return_pct,extreme_minus_mild_abs_return_pct
sp500,S&P 500,1d,427,0.013426,0.007799,0.236755,0.812847,1,0.784608,111,130,-0.02979,-0.163972,-0.392139,0.324782,99,33,0.134928,0.510749,0.551858,0.581046,33,216,48.611111,Unclear,111,109,0.953196,0.654603,0.298593
sp500,S&P 500,2d,427,-0.031216,-0.020696,-0.537595,0.590857,1,0.513743,111,130,-0.140676,-0.684791,-0.537676,0.277101,99,33,-0.04175,-0.120044,-0.126087,0.899663,33,216,46.759259,Unclear,111,109,1.42005,0.868533,0.551517
sp500,S&P 500,3d,427,-0.015723,-0.014033,-0.290401,0.771509,1,0.755622,111,130,-0.100756,-0.388676,-0.604089,0.448329,99,33,-0.302193,-0.687674,-0.772807,0.439637,33,216,50.462963,Unclear,111,109,1.832893,1.089209,0.743684
sp500,S&P 500,1w,427,-0.000858,-0.000989,-0.016278,0.987012,1,0.98051,111,130,-0.06637,-0.203489,-0.72876,0.566827,99,33,-0.100143,-0.189826,-0.211917,0.832172,33,216,51.388889,Unclear,111,109,2.309862,1.285176,1.024686
sp500,S&P 500,2w,426,0.062267,0.095187,1.031011,0.302535,1,0.206397,111,129,0.416106,1.041967,-0.352599,1.199027,99,33,0.52418,0.80993,0.735219,0.462206,33,215,54.883721,Unclear,111,108,2.7534,2.06783,0.68557
sp500,S&P 500,4w,424,0.101015,0.23099,1.369982,0.170693,3,0.043478,111,127,1.137885,1.993017,0.062739,2.259116,99,33,1.650843,1.584611,1.275206,0.202236,33,213,53.051643,Unclear,111,106,4.456318,2.905848,1.55047
sp500,S&P 500,13w,414,0.107471,0.3766,0.94047,0.346976,12,0.022489,110,122,1.809073,1.862829,-0.168223,3.802672,98,33,3.885465,2.501182,1.453875,0.145981,33,207,56.038647,Unclear,111,101,6.742682,5.996826,0.745856
sp500,S&P 500,26w,401,0.151497,0.6875,1.164285,0.244308,25,0.002499,109,119,3.135259,2.494038,0.755909,5.497865,98,33,7.220886,3.440594,1.658695,0.097177,33,203,56.650246,Tentative,111,97,10.417085,9.518812,0.898273
sp500,S&P 500,52w,374,0.290103,1.95727,2.000857,0.045408,51,0.0005,107,100,9.901346,5.528662,6.248712,13.320359,96,33,15.195375,5.69877,2.907284,0.003646,33,182,70.879121,Supported,111,78,21.535135,17.098901,4.436235
nq,NASDAQ-100,1d,449,0.016435,0.014697,0.322686,0.746933,1,0.730635,120,86,0.221196,0.881763,-0.24973,0.714838,72,86,0.219942,0.787204,0.83133,0.405787,72,186,51.612903,Unclear,44,48,1.215808,1.07311,0.142698
