dataset,market,category,position_change_metric,horizon,increase_n,increase_mean_return,increase_median_return,increase_hit_rate,increase_stdev,decrease_n,decrease_mean_return,decrease_median_return,decrease_hit_rate,decrease_stdev,mean_diff_up_minus_down,welch_t,normal_p_approx,mean_diff_pct_points
tff_disaggregated,sp500,other_reportable,net_oi_pct_change,1w_post_release,263,0.005264675777420349,0.005334122877512559,0.6463878326996197,0.024443832649380506,266,0.000491533946031137,0.0017122606369949223,0.5413533834586466,0.022624776097030563,0.0047731418313892125,2.3301008743979974,0.019800820233209192,0.47731418313892127
tff_disaggregated,nq,asset_mgr,net_oi_pct_change,1w_post_release,254,0.006472727919325615,0.00787398748281476,0.6220472440944882,0.029072244818068374,297,0.002273378452648143,0.002568472498308161,0.5454545454545454,0.02781820236683008,0.0041993494666774725,1.7240149018100996,0.08470515303026287,0.4199349466677472
tff_disaggregated,nq,other_reportable,net_oi_pct_change,1w_post_release,278,0.006099607496089431,0.00634341013077,0.60431654676259,0.028843590957204724,273,0.0022841590037814756,0.0026098297657448644,0.5567765567765568,0.02797405901327856,0.003815448492307955,1.5762666980018323,0.11496435299186782,0.3815448492307955
legacy,sp500,noncommercial,net_oi_pct_change,1w_post_release,273,0.0037224356035554804,0.004264814133235095,0.6007326007326007,0.02330319744839122,256,0.0019497376536530796,0.003721252523400609,0.5859375,0.0240167219744223,0.0017726979499024008,0.8606658039707333,0.3894221321388933,0.1772697949902401
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,1w_post_release,236,0.0036351035063926316,0.005057511219714539,0.6059322033898306,0.02268905840290924,293,0.0022439362853145847,0.003226667520847215,0.5836177474402731,0.02440926026227536,0.001391167221078047,0.6776259572022078,0.49800888372438995,0.13911672210780468
tff_disaggregated,nq,lev_money,net_oi_pct_change,1w_post_release,293,0.0035809846561749344,0.0042691477417351464,0.5699658703071673,0.029225778533463215,258,0.004922627084054065,0.005695803466497229,0.5930232558139535,0.027591481311028718,-0.0013416424278791302,-0.5539480961991814,0.5796143679059076,-0.13416424278791303
tff_disaggregated,nq,dealer,net_oi_pct_change,1w_post_release,288,0.004735173437142139,0.005938503469922862,0.5902777777777778,0.029355978411372906,263,0.0036332180306017825,0.004027379474335735,0.5703422053231939,0.02747748542394403,0.0011019554065403564,0.45509563692306865,0.6490404367984413,0.11019554065403564
legacy,sp500,commercial,net_oi_pct_change,1w_post_release,261,0.00256102064160172,0.004747088753854323,0.6015325670498084,0.024578770977973327,268,0.0031601916852529305,0.003618606467985175,0.585820895522388,0.02274174291314981,-0.0005991710436512106,-0.29083155072742506,0.7711801538353759,-0.05991710436512106
legacy,nq,total_reportable,net_oi_pct_change,1w_post_release,285,0.004413550441469138,0.004554236496336461,0.5754385964912281,0.02894748420822942,266,0.003990242165889098,0.005558403594299266,0.5864661654135338,0.02796930340996443,0.00042330827558003953,0.17455293103120176,0.8614309362365864,0.04233082755800395
tff_disaggregated,nq,non_reportable,net_oi_pct_change,1w_post_release,266,0.003990242165889098,0.005558403594299266,0.5864661654135338,0.02796930340996443,285,0.004413550441469138,0.004554236496336461,0.5754385964912281,0.02894748420822942,-0.00042330827558003953,-0.17455293103120176,0.8614309362365864,-0.04233082755800395
legacy,nq,nonreportable,net_oi_pct_change,1w_post_release,266,0.003990242165889098,0.005558403594299266,0.5864661654135338,0.02796930340996443,285,0.004413550441469138,0.004554236496336461,0.5754385964912281,0.02894748420822942,-0.00042330827558003953,-0.17455293103120176,0.8614309362365864,-0.04233082755800395
legacy,nq,noncommercial,net_oi_pct_change,1w_post_release,277,0.00437788445911995,0.004027379474335735,0.5703971119133574,0.027467378550219152,274,0.004038658017405032,0.006363547056579488,0.5912408759124088,0.02946800328069155,0.0003392264417149179,0.13974166143463826,0.8888641082770428,0.03392264417149179
tff_disaggregated,sp500,dealer,net_oi_pct_change,1w_post_release,292,0.00299752979842885,0.004610982000229913,0.613013698630137,0.024172929357435518,237,0.0027007555188380177,0.0025331367052392473,0.569620253164557,0.02302861325687208,0.00029677427959083234,0.14414747043399848,0.8853840201327958,0.029677427959083236
tff_disaggregated,sp500,lev_money,net_oi_pct_change,1w_post_release,264,0.002935117535819303,0.0038428408237667355,0.6022727272727273,0.023888345745635683,265,0.0027942895458473145,0.003946044466406784,0.5849056603773585,0.023445790308452865,0.00014082798997198855,0.06842501950672945,0.9454473058144801,0.014082798997198855
legacy,nq,commercial,net_oi_pct_change,1w_post_release,269,0.004257324616051021,0.007222722201967402,0.5947955390334573,0.02963486444708568,282,0.004163283582366951,0.0032292112768700365,0.5673758865248227,0.027333679563500607,9.404103368406986e-05,0.03866965612444341,0.9691537662113238,0.009404103368406986
tff_disaggregated,sp500,non_reportable,net_oi_pct_change,1w_post_release,273,0.002860171437694241,0.004474875246605503,0.6043956043956044,0.021498377458630376,256,0.002869261549278541,0.0029477974321057143,0.58203125,0.02578139516466895,-9.090111584300186e-06,-0.004389066725573105,0.9964980426668985,-0.0009090111584300186
legacy,sp500,nonreportable,net_oi_pct_change,1w_post_release,273,0.002860171437694241,0.004474875246605503,0.6043956043956044,0.021498377458630376,256,0.002869261549278541,0.0029477974321057143,0.58203125,0.02578139516466895,-9.090111584300186e-06,-0.004389066725573105,0.9964980426668985,-0.0009090111584300186
legacy,sp500,total_reportable,net_oi_pct_change,1w_post_release,256,0.002869261549278541,0.0029477974321057143,0.58203125,0.02578139516466895,273,0.002860171437694241,0.004474875246605503,0.6043956043956044,0.021498377458630376,9.090111584300186e-06,0.004389066725573105,0.9964980426668985,0.0009090111584300186
