dataset,market,category,position_change_metric,horizon,pearson_r,observations,abs_r
tff_disaggregated,sp500,other_reportable,net_oi_pct_change,1d_post_release,-0.15509625840354713,529,0.15509625840354713
legacy,sp500,noncommercial,net_oi_pct_change,2d_post_release,0.12383571666536104,529,0.12383571666536104
legacy,sp500,noncommercial,net_oi_pct_change,3d_post_release,0.11467603901519345,529,0.11467603901519345
legacy,sp500,commercial,net_oi_pct_change,2d_post_release,-0.1023238703795517,529,0.1023238703795517
legacy,sp500,commercial,net_oi_pct_change,3d_post_release,-0.10017471524954223,529,0.10017471524954223
legacy,sp500,noncommercial,net_oi_pct_change,1d_post_release,0.09168144446029976,529,0.09168144446029976
legacy,sp500,commercial,net_oi_pct_change,1d_post_release,-0.08727707844723373,529,0.08727707844723373
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,2w_post_release,0.08510274025387807,528,0.08510274025387807
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,1d_post_release,0.07972901276311804,529,0.07972901276311804
tff_disaggregated,nq,asset_mgr,net_oi_pct_change,1d_post_release,0.07898814662208908,551,0.07898814662208908
tff_disaggregated,nq,other_reportable,net_oi_pct_change,2d_post_release,-0.078399569096687,551,0.078399569096687
tff_disaggregated,nq,non_reportable,net_oi_pct_change,4w_post_release,-0.07719431468907162,548,0.07719431468907162
legacy,nq,nonreportable,net_oi_pct_change,4w_post_release,-0.07719431468907162,548,0.07719431468907162
legacy,nq,total_reportable,net_oi_pct_change,4w_post_release,0.07716447747906012,548,0.07716447747906012
tff_disaggregated,sp500,lev_money,net_oi_pct_change,2d_post_release,0.07620334289182888,529,0.07620334289182888
legacy,nq,nonreportable,net_oi_pct_change,2w_post_release,-0.07462699803324517,550,0.07462699803324517
tff_disaggregated,nq,non_reportable,net_oi_pct_change,2w_post_release,-0.07462699803324517,550,0.07462699803324517
legacy,nq,total_reportable,net_oi_pct_change,2w_post_release,0.0746197292775286,550,0.0746197292775286
tff_disaggregated,sp500,dealer,net_oi_pct_change,1d_post_release,-0.07386144273930685,529,0.07386144273930685
tff_disaggregated,nq,other_reportable,net_oi_pct_change,1d_post_release,-0.07369586385855367,551,0.07369586385855367
legacy,nq,commercial,net_oi_pct_change,4w_post_release,0.06421604676950401,548,0.06421604676950401
legacy,sp500,commercial,net_oi_pct_change,1w_post_release,-0.06079010057269816,529,0.06079010057269816
tff_disaggregated,sp500,other_reportable,net_oi_pct_change,13w_post_release,-0.05930191781475949,516,0.05930191781475949
legacy,sp500,noncommercial,net_oi_pct_change,1w_post_release,0.058964552345272044,529,0.058964552345272044
legacy,sp500,noncommercial,net_oi_pct_change,2w_post_release,0.05710262556809813,528,0.05710262556809813
