market,market_label,horizon,bucket_type,bucket,observations,avg_return_pct,median_return_pct,hit_rate_pct,avg_drawdown_pct,worst_drawdown_pct,volatility_pct,sharpe_like,unconditional_avg_return_pct,diff_vs_unconditional_pct,welch_t_stat_vs_rest,approx_p_value_vs_rest
sp500,S&P 500,1d,regime,Mixed,250,0.050045,0.078644,54.4,-0.401064,-11.98405,1.462367,0.034222,0.056473,-0.006428,-0.130036,0.896538
sp500,S&P 500,1d,regime,Caution,172,0.045837,0.114338,57.55814,-0.315914,-3.351359,0.969814,0.047264,0.056473,-0.010636,-0.151685,0.879435
sp500,S&P 500,1d,regime,Risk-On,9,0.438308,0.274224,66.666667,-0.248623,-1.081856,1.152437,0.380332,0.056473,0.381835,1.00202,0.316334
sp500,S&P 500,1d,score_sign,Zero,69,0.11981,0.178222,53.623188,-0.361012,-7.596968,1.417614,0.084515,0.056473,0.063336,0.412162,0.680221
sp500,S&P 500,1d,score_sign,Negative,266,0.005265,0.099286,56.766917,-0.364877,-11.98405,1.225415,0.004297,0.056473,-0.051208,-1.027839,0.304026
sp500,S&P 500,1d,score_sign,Positive,96,0.15284,0.06981,55.208333,-0.363269,-3.876837,1.33312,0.114648,0.056473,0.096367,0.81229,0.416626
sp500,S&P 500,1d,score_intensity,Zero,69,0.11981,0.178222,53.623188,-0.361012,-7.596968,1.417614,0.084515,0.056473,0.063336,0.412162,0.680221
sp500,S&P 500,1d,score_intensity,Caution,77,0.008041,0.14074,55.844156,-0.384489,-3.351359,1.099217,0.007315,0.056473,-0.048433,-0.410851,0.681182
sp500,S&P 500,1d,score_intensity,Extreme Negative,95,0.076472,0.103128,58.947368,-0.260332,-2.99688,0.855545,0.089384,0.056473,0.019999,0.22195,0.824353
sp500,S&P 500,1d,score_intensity,Mild Negative,94,-0.068973,0.087111,55.319149,-0.454468,-11.98405,1.594012,-0.04327,0.056473,-0.125447,-0.908944,0.36338
sp500,S&P 500,1d,score_intensity,Mild Positive,87,0.123309,0.04521,54.022989,-0.375128,-3.876837,1.352864,0.091147,0.056473,0.066835,0.522586,0.601263
sp500,S&P 500,1d,score_intensity,Risk-On,9,0.438308,0.274224,66.666667,-0.248623,-1.081856,1.152437,0.380332,0.056473,0.381835,1.00202,0.316334
sp500,S&P 500,2d,regime,Mixed,250,0.09583,0.162801,56.4,-0.625389,-11.98405,1.490137,0.064309,0.159731,-0.063901,-1.072738,0.283389
sp500,S&P 500,2d,regime,Caution,172,0.200223,0.219409,58.139535,-0.524009,-6.277882,1.381371,0.144945,0.159731,0.040492,0.476541,0.633689
sp500,S&P 500,2d,regime,Risk-On,9,1.16091,0.501949,77.777778,-0.306942,-1.081856,1.998019,0.581031,0.159731,1.001179,1.526814,0.126807
sp500,S&P 500,2d,score_sign,Zero,69,0.198626,0.235769,57.971014,-0.482818,-7.596968,1.15823,0.171491,0.159731,0.038895,0.288336,0.77309
sp500,S&P 500,2d,score_sign,Negative,266,0.141602,0.203072,56.766917,-0.570552,-11.98405,1.422905,0.099516,0.159731,-0.018129,-0.320523,0.748572
sp500,S&P 500,2d,score_sign,Positive,96,0.182008,0.248383,59.375,-0.668312,-4.800735,1.757604,0.103555,0.159731,0.022277,0.147433,0.88279
sp500,S&P 500,2d,score_intensity,Zero,69,0.198626,0.235769,57.971014,-0.482818,-7.596968,1.15823,0.171491,0.159731,0.038895,0.288336,0.77309
