market,market_label,horizon,observations,score_return_corr,score_return_ols_slope,score_return_hac_t,score_return_hac_p_value,hac_lags,corr_permutation_p_value,positive_score_observations,negative_score_observations,positive_minus_negative_avg_return_pct,positive_minus_negative_welch_t,positive_minus_negative_bootstrap_ci_low_pct,positive_minus_negative_bootstrap_ci_high_pct,risk_on_observations,caution_observations,risk_on_minus_caution_avg_return_pct,risk_on_minus_caution_welch_t,risk_on_minus_caution_hac_t,risk_on_minus_caution_hac_p_value,minimum_directional_bucket_observations,drift_adjusted_observations,drift_adjusted_accuracy_pct,evidence_grade,extreme_score_observations,mild_score_observations,extreme_avg_abs_return_pct,mild_avg_abs_return_pct,extreme_minus_mild_abs_return_pct
sp500,S&P 500,1d,431,0.005408,0.004266,0.123651,0.901591,1,0.916042,96,266,0.147575,0.949475,-0.160222,0.457087,9,172,0.392471,1.003253,1.05207,0.292767,9,330,46.666667,Insufficient,95,181,0.597137,0.856114,-0.258978
sp500,S&P 500,2d,431,-0.006094,-0.005495,-0.127625,0.898446,1,0.908046,96,266,0.040406,0.202562,-0.354181,0.415308,9,172,0.960687,1.424752,1.467224,0.142315,9,330,49.69697,Insufficient,95,181,0.908718,1.152604,-0.243886
sp500,S&P 500,3d,431,-0.002212,-0.002681,-0.049047,0.960882,1,0.965017,96,266,0.124184,0.497965,-0.368722,0.620247,9,172,1.39679,2.173415,2.349993,0.018774,9,330,51.212121,Insufficient,95,181,1.263799,1.510552,-0.246753
sp500,S&P 500,1w,431,0.023199,0.036322,0.499849,0.617181,1,0.631184,96,266,0.212346,0.676087,-0.402371,0.833461,9,172,0.720038,0.954844,1.137662,0.255262,9,330,51.212121,Insufficient,95,181,1.550814,1.93461,-0.383796
sp500,S&P 500,2w,430,0.022274,0.046263,0.402285,0.687474,1,0.644178,96,265,0.300405,0.741444,-0.462285,1.057508,9,172,1.293569,1.447528,1.704968,0.0882,9,329,49.240122,Insufficient,95,180,2.268938,2.442286,-0.173348
sp500,S&P 500,4w,428,0.077215,0.239361,1.190125,0.233997,3,0.110945,96,263,0.989216,1.679786,-0.151911,2.10744,9,172,3.364015,2.394714,2.090825,0.036544,9,327,46.17737,Insufficient,95,178,3.197552,3.856137,-0.658585
sp500,S&P 500,13w,418,0.085544,0.408854,0.908272,0.363734,12,0.067466,94,255,1.45555,1.609901,-0.370495,3.149878,9,166,4.929389,5.011476,3.507956,0.000452,9,317,49.842271,Insufficient,89,174,6.071132,7.068933,-0.997802
sp500,S&P 500,26w,405,0.058211,0.362615,0.454328,0.649593,25,0.227386,94,242,2.052057,1.564686,-0.551482,4.535813,9,159,10.297487,6.23137,5.453296,0.0,9,304,48.026316,Insufficient,86,168,8.832573,10.890409,-2.057837
sp500,S&P 500,52w,378,0.148049,1.410128,1.082944,0.278833,51,0.004498,94,215,8.582117,4.505315,4.898439,12.191553,9,138,20.22321,7.682494,7.356448,0.0,9,277,53.068592,Insufficient,72,162,16.407224,20.459359,-4.052135
nq,NASDAQ-100,1d,453,0.027496,0.029726,0.637039,0.524099,1,0.554223,208,110,0.181246,0.932222,-0.199319,0.577914,88,24,0.274889,0.862537,0.883935,0.376731,24,293,53.583618,Unclear,38,206,1.065479,1.009985,0.055495
nq,NASDAQ-100,2d,453,0.056505,0.071741,1.372505,0.169906,1,0.234383,208,110,0.281431,1.413183,-0.102555,0.685874,88,24,0.327056,0.844774,0.900023,0.368108,24,293,54.607509,Unclear,38,206,1.456503,1.302059,0.154443
nq,NASDAQ-100,3d,453,0.023059,0.036736,0.520319,0.602841,1,0.613693,208,110,0.191293,0.692632,-0.347961,0.701536,88,24,-0.23714,-0.410391,-0.433657,0.664538,24,293,51.194539,Unclear,38,206,1.762457,1.699873,0.062584
nq,NASDAQ-100,1w,453,0.035605,0.074467,0.807774,0.419221,1,0.442779,208,110,0.301781,0.868386,-0.343264,0.980553,88,24,0.012009,0.018901,0.020843,0.983371,24,293,52.901024,Unclear,38,206,2.541708,2.235952,0.305756
nq,NASDAQ-100,2w,452,0.064025,0.181327,1.299499,0.193773,1,0.184908,208,109,0.541139,1.224204,-0.291976,1.420836,88,24,1.354693,1.63984,1.513366,0.130187,24,292,53.767123,Unclear,38,205,3.324299,2.967655,0.356644
nq,NASDAQ-100,4w,450,0.048714,0.203467,0.84746,0.396739,3,0.317841,206,109,0.357468,0.565223,-0.868327,1.534863,88,24,1.649625,1.159447,0.841385,0.400132,24,290,57.241379,Unclear,38,203,4.829801,4.319254,0.510547
nq,NASDAQ-100,13w,440,0.095353,0.652801,1.18702,0.23522,12,0.045477,198,108,0.567124,0.539037,-1.390776,2.6153,88,24,5.065609,2.047194,1.088184,0.276514,24,281,52.313167,Unclear,38,194,10.569486,7.792257,2.777228
nq,NASDAQ-100,26w,427,0.130018,1.204575,1.841407,0.065562,25,0.005997,192,108,1.445729,1.037025,-1.354789,4.038063,85,24,3.033724,1.318424,0.651068,0.515002,24,275,58.909091,Weak,38,191,17.514589,13.216647,4.297943
nq,NASDAQ-100,52w,400,0.153029,2.212214,2.099868,0.03574,51,0.001499,189,91,2.631139,1.302261,-1.271376,6.625616,85,24,6.030428,2.228363,1.408472,0.158991,24,255,56.862745,Weak,38,171,34.75516,24.499026,10.256134
rty,Russell 2000,1d,135,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
rty,Russell 2000,2d,135,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
rty,Russell 2000,3d,135,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
rty,Russell 2000,1w,135,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
rty,Russell 2000,2w,134,,,,,1,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
rty,Russell 2000,4w,132,,,,,3,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
rty,Russell 2000,13w,122,,,,,12,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
rty,Russell 2000,26w,109,,,,,25,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
rty,Russell 2000,52w,82,,,,,51,,0,0,,,,,0,0,,,,,0,0,,Insufficient,0,0,,,
