date,source_url,g_fund_assets,g_fund_share,g_fund_underlying_assets,g_fund_underlying_share,f_fund_assets,f_fund_share,f_fund_underlying_assets,f_fund_underlying_share,c_fund_assets,c_fund_share,c_fund_underlying_assets,c_fund_underlying_share,s_fund_assets,s_fund_share,s_fund_underlying_assets,s_fund_underlying_share,i_fund_assets,i_fund_share,i_fund_underlying_assets,i_fund_underlying_share,total_assets,total_share,total_underlying_assets,total_underlying_share,l_fund_assets,l_fund_share,mfw_assets,mfw_share,mfw_underlying_assets,mfw_underlying_share,g_fund_ift_m,f_fund_ift_m,c_fund_ift_m,s_fund_ift_m,i_fund_ift_m,l_fund_ift_m,mfw_ift_m,equity_assets,equity_share,safe_assets,safe_share,g_fund_1m_change,equity_1m_change,equity_ift_m,safe_ift_m,retirement_flow_signal,score_retirement_proxy
2022-10-31,https://www.frtib.gov/pdf/minutes/2022/Nov/Att2-October-2022-Investment-Program-Review.pdf,240.5,33.4,292.0,40.6,18.9,2.6,29.4,4.1,211.3,29.3,261.9,36.4,66.0,9.2,79.6,11.1,22.3,3.1,56.8,7.9,719.9,100.0,719.9,100.0,160.7,22.3,0.1,0.0,0.1,0.0,840.0,-174.0,170.0,-4.0,-64.0,-777.0,11.0,299.6,41.6,259.4,36.0,,,102.0,666.0,-738.0,50.0
2022-11-30,https://www.frtib.gov/pdf/minutes/2022/Dec/Att2-November-2022-Investment-Program-Review.pdf,239.9,32.1,292.8,39.1,19.6,2.6,30.5,4.1,223.5,29.9,278.2,37.2,69.3,9.3,83.9,11.2,25.6,3.4,62.6,8.4,748.1,100.0,748.1,100.0,170.2,22.7,0.1,0.0,0.1,0.0,-790.0,4.0,161.0,575.0,108.0,-68.0,10.0,318.40000000000003,42.6,259.5,34.7,-1.2999999999999972,1.0,844.0,-786.0,1634.0,50.0
2022-12-31,https://www.frtib.gov/pdf/minutes/2023/Jan/Att4-December-2022-Investment-Program-Review.pdf,240.1,33.1,292.6,40.3,19.5,2.7,30.2,4.2,210.0,28.9,262.9,36.2,64.4,8.9,78.5,10.8,25.7,3.5,61.6,8.5,725.9,100.0,725.9,100.0,166.0,22.9,0.1,0.0,0.1,0.0,800.0,600.0,400.0,200.0,0.0,-200.0,-400.0,300.09999999999997,41.3,259.6,35.800000000000004,1.0,-1.3000000000000043,600.0,1400.0,-200.0,50.0
2023-01-31,https://www.frtib.gov/pdf/minutes/2023/Feb/Att4-January-2023-Investment-Program-Review.pdf,241.2,31.8,295.5,38.9,20.2,2.7,31.5,4.1,222.2,29.3,278.5,36.7,72.2,9.5,87.3,11.5,28.2,3.7,66.2,8.7,759.1,100.0,759.1,100.0,175.0,23.1,0.2,0.0,0.2,0.0,53.0,97.0,-961.0,691.0,227.0,-120.0,12.0,322.59999999999997,42.5,261.4,34.5,-1.3000000000000007,1.2000000000000028,-43.0,150.0,-96.0,50.0
2023-02-28,https://www.frtib.gov/pdf/minutes/2023/Mar/Att3-February-2023-Investment-Program-Review.pdf,239.8,32.0,293.8,39.3,19.6,2.6,30.8,4.1,216.7,29.0,272.2,36.4,72.1,9.6,86.9,11.6,27.0,3.6,64.6,8.6,748.5,100.0,748.5,100.0,173.1,23.1,0.2,0.0,0.2,0.0,-689.0,-27.0,24.0,982.0,-452.0,151.0,11.0,315.79999999999995,42.2,259.40000000000003,34.6,0.1999999999999993,-0.29999999999999716,554.0,-716.0,1243.0,50.0
2023-03-31,https://www.frtib.gov/pdf/minutes/2023/April/Att4-March-2023-Investment-Program-Review.pdf,240.9,31.7,295.4,38.8,20.2,2.7,31.5,4.1,224.1,29.5,281.4,37.0,69.9,9.2,85.1,11.2,28.1,3.7,66.7,8.8,760.3,100.0,760.3,100.0,177.0,23.3,0.2,0.0,0.2,0.0,1031.0,128.0,-599.0,-365.0,245.0,-447.0,7.0,322.1,42.400000000000006,261.1,34.4,-0.3000000000000007,0.20000000000000284,-719.0,1159.0,-1750.0,50.0
2023-04-30,https://www.frtib.gov/pdf/minutes/2023/May/Att2-April-2023-Investment-Program-Review.pdf,241.0,31.5,296.3,38.7,20.3,2.6,31.8,4.2,227.4,29.7,285.7,37.3,66.4,8.7,81.8,10.7,30.8,4.0,70.1,9.2,766.0,100.0,766.0,100.0,180.0,23.5,0.2,0.0,0.2,0.0,374.0,-2.0,-225.0,-2122.0,1790.0,176.0,8.0,324.6,42.4,261.3,34.1,-0.1999999999999993,-7.105427357601002e-15,-557.0,372.0,-931.0,50.0
2023-05-31,https://www.frtib.gov/pdf/minutes/2023/June/Att3-June-2023-Investment-Program-Review.pdf,242.9,31.7,298.3,38.9,20.1,2.6,31.7,4.1,227.5,29.7,285.5,37.2,66.4,8.7,81.7,10.7,30.0,3.9,69.2,9.0,766.7,100.0,766.7,100.0,179.5,23.4,0.2,0.0,0.2,0.0,1023.0,55.0,-855.0,-475.0,425.0,-182.0,10.0,323.9,42.3,263.0,34.3,0.1999999999999993,-0.10000000000000142,-905.0,1078.0,-1928.0,50.0
2023-06-30,https://www.frtib.gov/pdf/minutes/2023/July/Att2-June-2023-Investment-Program-Review.pdf,237.1,29.8,294.1,37.0,20.2,2.5,32.1,4.0,246.3,30.9,307.8,38.7,72.7,9.1,88.8,11.2,30.9,3.9,72.6,9.1,795.8,100.0,795.8,100.0,188.3,23.7,0.2,0.0,0.2,0.0,5000.0,4000.0,3000.0,2000.0,1000.0,0.0,-1000.0,349.9,43.9,257.3,32.3,-1.8999999999999986,1.6000000000000014,6000.0,9000.0,1000.0,50.0
2023-07-31,https://www.frtib.gov/pdf/minutes/2023/Aug/Att2-July-2023-Investment-Program-Review.pdf,233.9,28.7,292.5,35.9,19.8,2.4,32.1,3.9,256.9,31.6,320.3,39.3,77.1,9.5,93.9,11.5,32.1,3.9,75.1,9.2,814.2,100.0,814.2,100.0,194.1,23.8,0.2,0.0,0.2,0.0,4000.0,3000.0,2000.0,1000.0,0.0,-1000.0,-2000.0,366.1,45.0,253.70000000000002,31.099999999999998,-1.1000000000000014,1.1000000000000014,3000.0,7000.0,-1000.0,50.0
