feature,target,n,pearson,pearson_p,spearman,spearman_p,hac_p,hac_t,oos_r2,oos_pred_spearman,era_23_24_rho,era_25_26_rho,spearman_q_global,hac_q_global
vix,NQ_4W,164,0.3204381706550646,2.876045543008064e-05,0.2480680051497192,0.0013612949542548,0.0008152999134812,3.347547578492326,0.1145828346027103,0.3000312133208936,0.1881765197927379,0.3568773641401995,0.0175455794103952,0.0675534214027358
vix,SPX_4W,164,0.3138436457883339,4.271152323735218e-05,0.2393021013046612,0.0020280878972613,0.0013550635025987,3.204055504550158,0.1175313168969061,0.3271146967256607,0.1675510061709414,0.3915213194318599,0.0235258196082316,0.0785936831507249
vix,NQ_13W,154,0.5322655613870781,1.2096145113630262e-12,0.4407946402165718,1.0574086226169192e-08,5.5324173195984e-07,5.0068633526785264,0.3465202251956121,0.4322511637780935,0.3383563809819447,0.6458609686014456,1.2265940022356262e-06,0.0003208802045367
vix,SPX_13W,154,0.4408416748271898,1.0531747976793892e-08,0.3387390377402085,1.730241390323811e-05,5.572556006264671e-05,4.030216258091319,0.3344948290351494,0.5148159928143585,0.1662884417487101,0.6582575631592319,0.0005981110357566,0.0161604124181675
hy_oas,NQ_26W,141,0.5413387175656945,4.184641454750945e-12,0.5391184122609706,5.316342977825213e-12,0.0012915168613688,3.217858120566442,-0.1160349695256619,0.5987835791190624,0.6894010750886066,0.6981946678115942,1.0278263090462079e-09,0.0785936831507249
hy_oas,SPX_26W,141,0.6133336042379365,6.21869683753815e-16,0.6523966440875331,1.885194756571272e-18,0.0006109949296477,3.426686098536789,0.1100672027588426,0.7459102359268381,0.6173338076436429,0.8191507541070953,1.0934129588113377e-15,0.0671092129832685
net_liquidity_13w_change,NQ_13W,141,0.3158848007182933,0.0001357929306222,0.3699901536880859,6.314279856473603e-06,0.002428485587779,3.0321126466623705,0.1966014330302202,0.5709755360918152,0.228425283156741,0.4509936330310631,0.0003329347560686,0.1083478185316807
net_liquidity_13w_change,SPX_13W,141,0.2743056755809375,0.0009962737153102,0.3744595230960229,4.775003443033951e-06,0.001237977430087,3.229982620961683,0.2222172662699783,0.5907580791301722,0.2870661308001462,0.4169078397324587,0.0002769501996959,0.0785936831507249
net_liquidity_13w_change,SPX_26W,128,0.3574509503703494,3.4410229131900944e-05,0.3798182567295367,9.785073912876047e-06,0.0017784472531954,3.124934384438914,0.060695831114097,0.3402834008097166,0.2811472415052978,0.4460549386323788,0.0004729452391223,0.0937726733503039
real_yield_10y,SPX_26W,141,0.3758145007822993,4.383560708530832e-06,0.3530648686472252,1.753084070321136e-05,0.0004561603984676,3.505260683287097,0.2837257488034377,0.6919388864526631,0.4154156173165326,0.2975874461056148,0.0005981110357566,0.0661432577778079
tga_4w_change,NQ_2W,162,0.2178323158324322,0.0053593331286482,0.1868364191650401,0.0172832055125464,0.0118270776247942,2.517262202940169,0.0599293386776925,0.3040816326530611,0.0753044423930499,0.2886099017920421,0.1152213700836427,0.2355791007964983
tga_4w_change,SPX_2W,162,0.2222462741283868,0.0044765938453602,0.1807000385287928,0.0213858454346273,0.0190138825851771,2.345258681542142,0.0611055861634046,0.2765306122448979,0.0939946129819547,0.2783233775437886,0.1378198928009318,0.322682357577218
