current_net,current_net_oi_pct,delta_net,delta_net_oi_pct,key,label,market,previous_net,previous_net_oi_pct,previous_report_date,report_date
-89371.0,-4.2984,-11196.0,-0.5308,legacy_noncommercial,Legacy Non-commercial,sp500,-78175.0,-3.7676,2026-08-25,2026-09-01
936311.0,45.0334,-18665.0,-0.9911,asset_manager,Asset Manager,sp500,954976.0,46.0245,2026-08-25,2026-09-01
-334436.0,-16.0852,-5904.0,-0.2518,leveraged_money,Leveraged Money,sp500,-328532.0,-15.8334,2026-08-25,2026-09-01
-6031.0,-0.2901,3123.0,0.1511,other_reportables,Other Reportables,sp500,-9154.0,-0.4412,2026-08-25,2026-09-01
105389.0,5.0689,-21812.0,-1.0615,nonreportables,Retail proxy (Nonreportables),sp500,127201.0,6.1304,2026-08-25,2026-09-01
27077.0,8.451,15950.0,4.9974,legacy_noncommercial,Legacy Non-commercial,nq,11127.0,3.4536,2026-08-25,2026-09-01
72886.0,22.7484,-1345.0,-0.2911,asset_manager,Asset Manager,nq,74231.0,23.0395,2026-08-25,2026-09-01
-18034.0,-5.6286,26282.0,8.126,leveraged_money,Leveraged Money,nq,-44316.0,-13.7546,2026-08-25,2026-09-01
1454.0,0.4538,-2676.0,-0.828,other_reportables,Other Reportables,nq,4130.0,1.2819,2026-08-25,2026-09-01
13409.0,4.1851,-7222.0,-2.2183,nonreportables,Retail proxy (Nonreportables),nq,20631.0,6.4034,2026-08-25,2026-09-01
-71663.0,-16.8753,-20085.0,-4.3866,legacy_noncommercial,Legacy Non-commercial,russell2000,-51578.0,-12.4886,2026-08-25,2026-09-01
17498.0,4.1204,5167.0,1.1347,asset_manager,Asset Manager,russell2000,12331.0,2.9857,2026-08-25,2026-09-01
-109499.0,-25.7849,-11799.0,-2.1287,leveraged_money,Leveraged Money,russell2000,-97700.0,-23.6562,2026-08-25,2026-09-01
-8154.0,-1.9201,-950.0,-0.1758,other_reportables,Other Reportables,russell2000,-7204.0,-1.7443,2026-08-25,2026-09-01
3562.0,0.8388,-5103.0,-1.2593,nonreportables,Retail proxy (Nonreportables),russell2000,8665.0,2.0981,2026-08-25,2026-09-01
17625.0,19.3265,2068.0,1.7388,legacy_noncommercial,Legacy Non-commercial,dow,15557.0,17.5877,2026-08-25,2026-09-01
5527.0,6.0606,15.0,-0.1709,asset_manager,Asset Manager,dow,5512.0,6.2315,2026-08-25,2026-09-01
-1735.0,-1.9025,-100.0,-0.0541,leveraged_money,Leveraged Money,dow,-1635.0,-1.8484,2026-08-25,2026-09-01
-1.0,-0.0011,-6.0,-0.0067,other_reportables,Other Reportables,dow,5.0,0.0057,2026-08-25,2026-09-01
5375.0,5.8939,-238.0,-0.4518,nonreportables,Retail proxy (Nonreportables),dow,5613.0,6.3457,2026-08-25,2026-09-01
228124.0,54.9437,-15210.0,-1.9158,legacy_noncommercial,Legacy Non-commercial,gold,243334.0,56.8595,2026-08-25,2026-09-01
136771.0,32.9413,-7976.0,-0.8815,managed_money,Managed Money,gold,144747.0,33.8228,2026-08-25,2026-09-01
-233429.0,-56.2214,11598.0,1.0337,swap_dealer,Swap Dealer,gold,-245027.0,-57.2551,2026-08-25,2026-09-01
-31289.0,-7.536,3269.0,0.5392,producer_merchant,Producer/Merchant,gold,-34558.0,-8.0751,2026-08-25,2026-09-01
91353.0,22.0024,-7234.0,-1.0343,other_reportables,Other Reportables,gold,98587.0,23.0367,2026-08-25,2026-09-01
36594.0,8.8137,343.0,0.343,nonreportables,Nonreportables,gold,36251.0,8.4707,2026-08-25,2026-09-01
