directional_agreement_pct,directional_overlap_n,left_model,market,neutral_disagreement_n,overlap_n,right_model
,0,old_tff,dow,0,454,old_legacy
,0,old_tff,dow,276,454,new_structural
,0,old_tff,dow,257,454,new_structural_tactical
,0,old_tff,dow,22,42,new_release_decision
,0,old_legacy,dow,276,454,new_structural
,0,old_legacy,dow,257,454,new_structural_tactical
,0,old_legacy,dow,22,42,new_release_decision
100.0,257,new_structural,dow,19,454,new_structural_tactical
100.0,22,new_structural,dow,20,42,new_release_decision
100.0,22,new_structural_tactical,dow,20,42,new_release_decision
,0,old_tff,gold,0,0,old_legacy
,0,old_tff,gold,0,0,new_structural
,0,old_tff,gold,0,0,new_structural_tactical
,0,old_tff,gold,0,0,new_release_decision
,0,old_legacy,gold,320,454,new_structural
,0,old_legacy,gold,290,454,new_structural_tactical
,0,old_legacy,gold,35,109,new_release_decision
100.0,290,new_structural,gold,30,454,new_structural_tactical
100.0,35,new_structural,gold,74,109,new_release_decision
100.0,35,new_structural_tactical,gold,74,109,new_release_decision
86.91099476439791,191,old_tff,nq,139,454,old_legacy
81.38297872340425,188,old_tff,nq,201,454,new_structural
84.88372093023256,172,old_tff,nq,208,454,new_structural_tactical
82.75862068965517,29,old_tff,nq,45,80,new_release_decision
77.61194029850746,134,old_legacy,nq,192,454,new_structural
80.15873015873017,126,old_legacy,nq,183,454,new_structural_tactical
42.857142857142854,14,old_legacy,nq,42,80,new_release_decision
100.0,233,new_structural,nq,25,454,new_structural_tactical
100.0,35,new_structural,nq,45,80,new_release_decision
100.0,35,new_structural_tactical,nq,45,80,new_release_decision
,0,old_tff,russell2000,0,0,old_legacy
,0,old_tff,russell2000,0,0,new_structural
,0,old_tff,russell2000,0,0,new_structural_tactical
,0,old_tff,russell2000,0,0,new_release_decision
,0,old_legacy,russell2000,0,0,new_structural
,0,old_legacy,russell2000,0,0,new_structural_tactical
,0,old_legacy,russell2000,0,0,new_release_decision
100.0,107,new_structural,russell2000,6,136,new_structural_tactical
100.0,46,new_structural,russell2000,61,107,new_release_decision
100.0,46,new_structural_tactical,russell2000,61,107,new_release_decision
88.8412017167382,233,old_tff,sp500,142,432,old_legacy
42.524916943521596,301,old_tff,sp500,102,432,new_structural
43.79310344827586,290,old_tff,sp500,111,432,new_structural_tactical
9.30232558139535,86,old_tff,sp500,44,132,new_release_decision
66.98113207547169,212,old_legacy,sp500,162,432,new_structural
67.94258373205741,209,old_legacy,sp500,155,432,new_structural_tactical
26.229508196721312,61,old_legacy,sp500,52,132,new_release_decision
100.0,328,new_structural,sp500,13,432,new_structural_tactical
100.0,89,new_structural,sp500,43,132,new_release_decision
100.0,89,new_structural_tactical,sp500,43,132,new_release_decision
