series	actor_role	horizon	predictor	predictor_family	classification	holdout_n	independent_n	holdout_spearman_rho	independent_spearman_rho	oos_r2	p90_minus_p10_spread_pp	global_fdr_q	family_fdr_q	best_incremental_oi_model	incremental_oi_r2_gain	augmented_oos_r2
disaggregated:gold:managed_money	PRIMARY_DIRECTIONAL	monday	delta_short_contracts	raw_position_flow	POSITIVE_OOS_GAIN_NOT_OVERLAP_CONFIRMED	204	111	0.070236	0.192796	0.001048	0.319187	0.870842	0.965112	position_ratio_plus_oi_level	-0.002779	-0.002851
disaggregated:gold:managed_money	PRIMARY_DIRECTIONAL	tuesday	delta_1w_net_oi_pp	oi_normalized_flow	POSITIVE_OOS_GAIN_NOT_OVERLAP_CONFIRMED	203	111	-0.083332	-0.097052	0.010436	-0.871508	0.978377	0.96862	position_ratio_plus_oi_level	0.00017	2.4e-05
disaggregated:gold:managed_money	PRIMARY_DIRECTIONAL	wednesday	signed_change_percentile	oi_normalized_flow	OVERLAP_CONFIRMED_NOT_FDR	200	109	-0.140966	-0.138004	0.017973	-1.082772	0.978377	0.96862	position_ratio_plus_oi_level	0.005416	0.007603
disaggregated:gold:managed_money	PRIMARY_DIRECTIONAL	thursday	delta_net_contracts	raw_position_flow	OVERLAP_CONFIRMED_NOT_FDR	192	105	-0.131526	-0.100093	0.009978	-1.958774	0.978377	0.98761	signed_flow_percentiles	0.002295	0.0114
disaggregated:gold:managed_money	PRIMARY_DIRECTIONAL	friday	signed_change_percentile	oi_normalized_flow	OVERLAP_CONFIRMED_NOT_FDR	185	101	-0.159799	-0.114607	0.019547	-1.966446	0.978377	0.96862	position_ratio_plus_oi_level	0.00064	-0.000119
disaggregated:gold:managed_money	PRIMARY_DIRECTIONAL	1w	signed_delta_net_contracts_percentile	raw_position_flow_normalized	OVERLAP_CONFIRMED_NOT_FDR	239	121	-0.148579	-0.268873	0.009917	-2.272279	0.522649	0.343089	position_ratio_plus_oi_level	0.001324	0.000326
disaggregated:gold:managed_money	PRIMARY_DIRECTIONAL	2w	signed_delta_net_contracts_percentile	raw_position_flow_normalized	OVERLAP_CONFIRMED_NOT_FDR	238	80	-0.111293	-0.158486	0.007541	-4.283073	0.978377	0.998913	position_ratio_plus_oi_level	0.002668	-0.001135
disaggregated:gold:managed_money	PRIMARY_DIRECTIONAL	3w	signed_delta_net_contracts_percentile	raw_position_flow_normalized	POSITIVE_OOS_GAIN_NOT_OVERLAP_CONFIRMED	237	60	-0.078292	-0.243901	0.009867	-5.01019	0.91958	0.998913	position_ratio_plus_oi_level	0.003389	-0.003295
disaggregated:gold:managed_money	PRIMARY_DIRECTIONAL	4w	signed_change_percentile	oi_normalized_flow	POSITIVE_OOS_GAIN_NOT_OVERLAP_CONFIRMED	236	48	-0.069976	-0.177377	0.009876	-4.096706	0.978377	0.96862	position_ratio_plus_oi_level	0.005808	-0.003662
disaggregated:gold:managed_money	PRIMARY_DIRECTIONAL	6w	net_contracts_percentile	raw_position_level_normalized	OVERLAP_CONFIRMED_NOT_FDR	233	34	0.207019	0.152636	0.017867	1.097082	0.978377	0.971823	position_ratio_plus_oi_level	0.008879	0.003672
